plate_id_fk,full_path,plate_folder,fish_folder_name,roi_name,roi_anatomy_name,note
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi4,aang,fish1_24hpf_roi4,fish1_24hpf_roi4,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250819_mem_ER/fish1_24hpf_roi4,aang,fish1_24hpf_roi4,fish1_24hpf_roi4,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250819_mem_mito/fish1_24hpf_roi4,aang,fish1_24hpf_roi4,fish1_24hpf_roi4,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250904_lifeact-mSG/fish1_24hpf_roi4,aang,fish1_24hpf_roi4,fish1_24hpf_roi4,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish1_24hpf_roi4,aang,fish1_24hpf_roi4,fish1_24hpf_roi4,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250924_mem-mito/fish1_24hpf_roi4,aang,fish1_24hpf_roi4,fish1_24hpf_roi4,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish1_24hpf_roi4,aang,fish1_24hpf_roi4,fish1_24hpf_roi4,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi5,aang,fish1_24hpf_roi5,fish1_24hpf_roi5,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250819_mem_ER/fish1_24hpf_roi5,aang,fish1_24hpf_roi5,fish1_24hpf_roi5,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250819_mem_mito/fish1_24hpf_roi5,aang,fish1_24hpf_roi5,fish1_24hpf_roi5,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250904_lifeact-mSG/fish1_24hpf_roi5,aang,fish1_24hpf_roi5,fish1_24hpf_roi5,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250924_mem-mito/fish1_24hpf_roi5,aang,fish1_24hpf_roi5,fish1_24hpf_roi5,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250819_mem_mito/fish1_24hpf_roi6,aang,fish1_24hpf_roi6,fish1_24hpf_roi6,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250924_mem-mito/fish1_24hpf_roi6,aang,fish1_24hpf_roi6,fish1_24hpf_roi6,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250819_mem_mito/fish1_24hpf_roi7,aang,fish1_24hpf_roi7,fish1_24hpf_roi7,,
