plate_code,slot_code,roi_code,roi_index,roi_name,roi_dir,date_imaged,notes
aang,fish3_72hpf_roi5,fish3_72hpf_roi5_2,2,fish3_72hpf_roi5,/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi5,,nan
aang,fish3_72hpf_roi5,fish3_72hpf_roi5_3,3,fish3_72hpf_roi5,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi5,,nan
aang,fish3_72hpf_roi6,fish3_72hpf_roi6_1,1,fish3_72hpf_roi6,/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi6,,nan
aang,fish3_72hpf_roi6,fish3_72hpf_roi6_2,2,fish3_72hpf_roi6,/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi6,,nan
aang,fish3_72hpf_roi6,fish3_72hpf_roi6_3,3,fish3_72hpf_roi6,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi6,,nan
aang,fish3_72hpf_roi7,fish3_72hpf_roi7_1,1,fish3_72hpf_roi7,/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi7,,nan
aang,fish3_72hpf_roi7,fish3_72hpf_roi7_2,2,fish3_72hpf_roi7,/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi7,,nan
aang,fish3_72hpf_roi7,fish3_72hpf_roi7_3,3,fish3_72hpf_roi7,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi7,,nan
aang,fish3_72hpf_roi8,fish3_72hpf_roi8_1,1,fish3_72hpf_roi8,/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi8,,nan
aang,fish3_72hpf_roi8,fish3_72hpf_roi8_2,2,fish3_72hpf_roi8,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi8,,nan
aang,fish3_72hpf_roi9,fish3_72hpf_roi9_1,1,fish3_72hpf_roi9,/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi9,,nan
