clutch_code,clutch_date,mount_id,mom_genotype_text,dad_genotype_text,mom_genotype_code,dad_genotype_code,additional_plasmids_raw,additional_rnas_raw,additional_proteins_raw,additional_dyes_raw,imaged_locations_raw,data_location,notes
LG_CLUTCH_20250220_nan,2025-02-20,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),,,nan,phiC mRNA (120 pg),nan,nan,skittles test,U:\Data\20240911_Korra_Foundation\20250220_tg_mem_skittles\fish1_phic_24hpf,nan
LG_CLUTCH_20250221_nan,2025-02-21,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),,,nan,phiC mRNA (120 pg),nan,nan,skittles test,U:\Data\20240911_Korra_Foundation\20250220_tg_mem_skittles\fish2_phic_48hpf,nan
LG_CLUTCH_20250221_nan,2025-02-21,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),,,nan,phiC-NLS mRNA (120 pg),nan,nan,skittles test,U:\Data\20240911_Korra_Foundation\20250220_tg_mem_skittles\fish3_phic-nls_48hpf,nan
LG_CLUTCH_20250225_nan,2025-02-25,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,"hindbrain, spinal cord, muscle",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish1_24hpf,nan
LG_CLUTCH_20250225_nan,2025-02-25,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,nan,nan,nan
LG_CLUTCH_20250225_nan,2025-02-25,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,"spinal cord, muscle",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish2_24hpf,nan
LG_CLUTCH_20250225_nan,2025-02-25,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,nan,nan,nan
LG_CLUTCH_20250226_nan,2025-02-26,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250225_mem_nuc\fish3_48hpf,nan
LG_CLUTCH_20250226_nan,2025-02-26,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250225_mem_nuc\fish4_48hpf,nan
LG_CLUTCH_20250226_nan,2025-02-26,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,"hindbrain, spinal cord, muscle",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish5_6_48hpf (roi1-2),nan
LG_CLUTCH_20250226_nan,2025-02-26,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,"spinal cord, muscle",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish5_6_48hpf (roi3-4),nan
LG_CLUTCH_20250227_nan,2025-02-27,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish8_24hpf,nan
LG_CLUTCH_20250227_nan,2025-02-27,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish7_24hpf,nan
LG_CLUTCH_20250227_nan,2025-02-27,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,"eye, brain",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish9_24hpf,nan
LG_CLUTCH_20250227_nan,2025-02-27,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,"eye, brain",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish10_24hpf,nan
LG_CLUTCH_20250227_nan,2025-02-27,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,"hindbrain, spinal cord, muscle",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish11_24hpf,nan
LG_CLUTCH_20250227_nan,2025-02-27,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,"hindbrain, spinal cord, muscle",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish12_24hpf,nan
LG_CLUTCH_20250228_nan,2025-02-28,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,"hindbrain, spinal cord, muscle",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish13_48hpf,nan
LG_CLUTCH_20250228_nan,2025-02-28,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,"hindbrain, spinal cord, muscle",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish14_48hpf,nan
LG_CLUTCH_20250303_nan,2025-03-03,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,"ear, neuromast, muscle, skin",U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish1_72hpf,nan
LG_CLUTCH_20250303_nan,2025-03-03,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,"ear, muscle",U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish2_72hpf,nan
LG_CLUTCH_20250303_nan,2025-03-03,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,muscle,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish3_72hpf,nan
LG_CLUTCH_20250304_nan,2025-03-04,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B,nan,nan,"hindbrain, brain",U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish4_24hpf,nan
LG_CLUTCH_20250304_nan,2025-03-04,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B,nan,nan,"tail, spinal_cord, muscle",U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish5_24hpf,nan
LG_CLUTCH_20250305_nan,2025-03-05,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B,nan,nan,"hindbrain, brain, skin, spinal_cord, muscle",U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish6_48hpf,nan
LG_CLUTCH_20250305_nan,2025-03-05,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B,nan,nan,nan,nan,nan
