plate_code,slot_code,legacy_fish_label,fish_code,imaging_nickname,timepoint,notes
korra,fish1_48hpf_roi1_test,fish1_48hpf_roi1_test,,,,
korra,fish1_48hpf_roi1test,fish1_48hpf_roi1test,,,,
korra,fish1_48hpf_roi2,fish1_48hpf_roi2,,,,
korra,fish1_48hpf_roi3,fish1_48hpf_roi3,,,,
korra,fish1_48hpf_roi4,fish1_48hpf_roi4,,,,
korra,fish1_48hpf_roi5,fish1_48hpf_roi5,,,,
korra,fish1_72hpf,fish1_72hpf,,,,
korra,fish1_72hpf_roi1,fish1_72hpf_roi1,,,,
korra,fish1_72hpf_roi1-ear,fish1_72hpf_roi1-ear,,,,
korra,fish1_72hpf_roi2,fish1_72hpf_roi2,,,,
korra,fish1_72hpf_roi2_muscle,fish1_72hpf_roi2_muscle,,,,
korra,fish1_72hpf_roi3,fish1_72hpf_roi3,,,,
korra,fish1_72hpf_roi4,fish1_72hpf_roi4,,,,
korra,fish1_72hpf_roi5,fish1_72hpf_roi5,,,,
korra,fish1_96hpf_roi0_test,fish1_96hpf_roi0_test,,,,
korra,fish1_96hpf_roi1,fish1_96hpf_roi1,,,,
korra,fish1_96hpf_roi2,fish1_96hpf_roi2,,,,
korra,fish1_96hpf_roi3,fish1_96hpf_roi3,,,,
korra,fish1_mem_sg_mito_msc3,fish1_mem_sg_mito_msc3,,,,
korra,fish1_roi1,fish1_roi1,,,,
korra,fish1_roi1-2,fish1_roi1-2,,,,
korra,fish1_roi1_1,fish1_roi1_1,,,,
korra,fish1_roi1_2,fish1_roi1_2,,,,
korra,fish1_roi2,fish1_roi2,,,,
korra,fish1_roi3,fish1_roi3,,,,
korra,fish2,fish2,,,,
korra,fish2_24hpf_mem_mito_msc3_er_halo,fish2_24hpf_mem_mito_msc3_er_halo,,,,
korra,fish2_24hpf_roi1,fish2_24hpf_roi1,,,,
korra,fish2_24hpf_roi1_brain,fish2_24hpf_roi1_brain,,,,
korra,fish2_24hpf_roi1_test,fish2_24hpf_roi1_test,,,,
korra,fish2_24hpf_roi2,fish2_24hpf_roi2,,,,
korra,fish2_24hpf_roi3,fish2_24hpf_roi3,,,,
korra,fish2_48hpf,fish2_48hpf,,,,
korra,fish2_48hpf_roi1,fish2_48hpf_roi1,,,,
