parent_female,parent_male,genotype_base_codes,genotype_allele_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fusion_labels,genotype_marker_fusion_loc_labels,all_unique_organelles,all_fluor_organelles,n_rows
membrane Halo,membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",pDQM140,,mGold2s,,,mGold2s,8
casper/rnf,mem:tdmChilada,pDQM082,pDQM082:315,,MGCO-23,mStayGold::lifeact(N),tdmChilada::2xLynk(N)(membrane),"actin,membrane",tdmChilada(membrane)|mStayGold(actin),8
casper/rnf,mem:tdmChilada,pDQM082,pDQM082:315,,MGCO-04,mStayGold::sec61b(N),tdmChilada::2xLynk(N)(membrane),"ER,membrane",tdmChilada(membrane)|mStayGold(ER),8
membrane Halo,membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",,MGCO-01,mStayGold::2Xcox8A(N),,mitochondria,mStayGold(mitochondria),7
Ken (F2 of allele 320),Isaac (F2 of allele 314),"pDQM059,pDQM064","pDQM059:320,pDQM064:314",,pDQM117,mScarlet3S2::H2B(N),"Electra2,GFP,gfp,mCitrine,mKate2,mKoK,mTFP1",histone,"Electra2,GFP,gfp,mCitrine,mKate2,mKoK,mTFP1|mScarlet3S2(histone)",5
casper/rnf,ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),pDQM136,pDQM136:325,,HC-9,mStayGold::lifeact(N),tdmScarlet3::2xLynk(N)(membrane),"actin,membrane",tdmScarlet3(membrane)|mStayGold(actin),5
membrane Halo,membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",,MGCO-23,mStayGold::lifeact(N),,actin,mStayGold(actin),5
Dennis (F2 of allele 318),Abe (F2 of allele 309),"pDQM034,pDQM036","pDQM036:318,pDQM034:309","pDQM034,pDQM036",,Electra2; mCitrine; mKOK; mKate2; mTFP1,"Electra2,mCitrine,mKOK,mKate2,mTFP1",skittles test,"Electra2,mCitrine,mKOK,mKate2,mTFP1|Electra2; mCitrine; mKOK; mKate2; mTFP1",5
ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,"pDQM005:301,pDQM005:301",,pDQM037,tdmChilada::pcna(C); tdmSG::dhb(N),tdmSG::2xLynk(N)(membrane),"membrane,nucleus",tdmSG(membrane)|tdmChilada(nucleus); tdmSG,5
casper/rnf,casper/rnf,,,,MGCO-01,mStayGold::2Xcox8A(N),,mitochondria,mStayGold(mitochondria),2
casper/rnf,casper/rnf,,,,pDQM117,mScarlet3S2::H2B(N),,histone,mScarlet3S2(histone),1
casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),pDQM005,pDQM005:302,,pDQM117,mScarlet3S2::H2B(N),tdmSG::2xLynk(N)(membrane),"histone,membrane",tdmSG(membrane)|mScarlet3S2(histone),1
