date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,run_key,mount_key,date_mount,date_mount_yyyymmdd,plate_id_filled,slot_id_filled,roi_index_within_slot,roi_code
20250522_skittlez,fish5,roi1,roi1,90,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish5/roi1,korra,Korra_Foundation/20250522_skittlez,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,30,20250404-plate1-slot1-roi30
20250522_skittlez,fish6,roi1,roi1,90,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish6/roi1,korra,Korra_Foundation/20250522_skittlez,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,31,20250404-plate1-slot1-roi31
20250522_skittlez,fish7,roi1,roi1,90,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi1,korra,Korra_Foundation/20250522_skittlez,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,32,20250404-plate1-slot1-roi32
20250522_skittlez,fish8,roi1,roi1,90,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi1,korra,Korra_Foundation/20250522_skittlez,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,33,20250404-plate1-slot1-roi33
20250522_skittlez,fish9,roi1,roi1,120,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish9/roi1,korra,Korra_Foundation/20250522_skittlez,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,34,20250404-plate1-slot1-roi34
20250523_mem_histone,fish1,roi1,roi1,4000,/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish1/roi1,korra,Korra_Foundation/20250523_mem_histone,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,35,20250404-plate1-slot1-roi35
20250523_mem_histone,fish2,roi1,roi1,8600,/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish2/roi1,korra,Korra_Foundation/20250523_mem_histone,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,36,20250404-plate1-slot1-roi36
20250523_mem_histone,fish3,roi1,roi1,4000,/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish3/roi1,korra,Korra_Foundation/20250523_mem_histone,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,37,20250404-plate1-slot1-roi37
20250523_mem_histone,fish4,roi1,roi1,4000,/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish4/roi1,korra,Korra_Foundation/20250523_mem_histone,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,38,20250404-plate1-slot1-roi38
20250523_mem_histone,fish5,roi1,roi1,7900,/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish5/roi1,korra,Korra_Foundation/20250523_mem_histone,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,39,20250404-plate1-slot1-roi39
20250528_skittlez,fish1,roi1,roi1,24,/clusterfs/vast/abcabc/Korra_Foundation/20250528_skittlez/fish1/roi1,korra,Korra_Foundation/20250528_skittlez,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,40,20250404-plate1-slot1-roi40
