roi_dir,parent_female,parent_male,genotype_pretty,genotype_base_codes,genotype_allele_codes,genotype_marker_fluor_codes,genotype_marker_tag_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,all_marker_fluor_codes,plate_id_filled,slot_id_filled,roi_index_within_slot,roi_code
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish2/roi1,,,,,,,,,,,,,,,,,,,,,20250522-plate1,20250522-plate1-slot1,3.0,20250522-plate1-slot1-roi03
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish2/roi2,,,,,,,,,,,,,,,,,,,,,20250522-plate1,20250522-plate1-slot1,4.0,20250522-plate1-slot1-roi04
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi1,,,,,,,,,,,,,,,,,,,,,20250522-plate1,20250522-plate1-slot1,5.0,20250522-plate1-slot1-roi05
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi2,,,,,,,,,,,,,,,,,,,,,20250522-plate1,20250522-plate1-slot1,6.0,20250522-plate1-slot1-roi06
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi3,,,,,,,,,,,,,,,,,,,,,20250522-plate1,20250522-plate1-slot1,7.0,20250522-plate1-slot1-roi07
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish4/roi1,,,,,,,,,,,,,,,,,,,,,20250522-plate1,20250522-plate1-slot1,8.0,20250522-plate1-slot1-roi08
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish4/roi2,,,,,,,,,,,,,,,,,,,,,20250522-plate1,20250522-plate1-slot1,9.0,20250522-plate1-slot1-roi09
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish5/roi1,,,,,,,,,,,,,,,,,,,,,20250522-plate1,20250522-plate1-slot1,10.0,20250522-plate1-slot1-roi10
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish6/roi1,,,,,,,,,,,,,,,,,,,,,20250522-plate1,20250522-plate1-slot1,11.0,20250522-plate1-slot1-roi11
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish6/roi2,,,,,,,,,,,,,,,,,,,,,20250522-plate1,20250522-plate1-slot1,12.0,20250522-plate1-slot1-roi12
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi1,,,,,,,,,,,,,,,,,,,,,20250522-plate1,20250522-plate1-slot1,13.0,20250522-plate1-slot1-roi13
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi2,,,,,,,,,,,,,,,,,,,,,20250522-plate1,20250522-plate1-slot1,14.0,20250522-plate1-slot1-roi14
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi3,,,,,,,,,,,,,,,,,,,,,20250522-plate1,20250522-plate1-slot1,15.0,20250522-plate1-slot1-roi15
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi1,,,,,,,,,,,,,,,,,,,,,20250522-plate1,20250522-plate1-slot1,16.0,20250522-plate1-slot1-roi16
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi2,,,,,,,,,,,,,,,,,,,,,20250522-plate1,20250522-plate1-slot1,17.0,20250522-plate1-slot1-roi17
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi3,,,,,,,,,,,,,,,,,,,,,20250522-plate1,20250522-plate1-slot1,18.0,20250522-plate1-slot1-roi18
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish9/roi1,,,,,,,,,,,,,,,,,,,,,20250522-plate1,20250522-plate1-slot1,19.0,20250522-plate1-slot1-roi19
/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish1/roi1,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302) x ef1a:2xLynk:tdmSG(J) (F2 of allele 302),pDQM005,"pDQM005:302,pDQM005:302",tdmSG,,tdmSG,,tdmSG,tdmSG,,pDQM117,mScarlet3S2,H2B,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"mScarlet3S2,tdmSG",20250523-plate1,20250523-plate1-slot1,1.0,20250523-plate1-slot1-roi01
/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish2/roi1,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302) x ef1a:2xLynk:tdmSG(J) (F2 of allele 302),pDQM005,"pDQM005:302,pDQM005:302",tdmSG,,tdmSG,,tdmSG,tdmSG,,pDQM117,mScarlet3S2,H2B,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"mScarlet3S2,tdmSG",20250523-plate1,20250523-plate1-slot1,2.0,20250523-plate1-slot1-roi02
/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish3/roi1,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302) x ef1a:2xLynk:tdmSG(J) (F2 of allele 302),pDQM005,"pDQM005:302,pDQM005:302",tdmSG,,tdmSG,,tdmSG,tdmSG,,pDQM117,mScarlet3S2,H2B,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"mScarlet3S2,tdmSG",20250523-plate1,20250523-plate1-slot1,3.0,20250523-plate1-slot1-roi03
/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish4/roi1,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302) x ef1a:2xLynk:tdmSG(J) (F2 of allele 302),pDQM005,"pDQM005:302,pDQM005:302",tdmSG,,tdmSG,,tdmSG,tdmSG,,pDQM117,mScarlet3S2,H2B,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"mScarlet3S2,tdmSG",20250523-plate1,20250523-plate1-slot1,4.0,20250523-plate1-slot1-roi04
/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish5/roi1,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302) x ef1a:2xLynk:tdmSG(J) (F2 of allele 302),pDQM005,"pDQM005:302,pDQM005:302",tdmSG,,tdmSG,,tdmSG,tdmSG,,pDQM117,mScarlet3S2,H2B,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"mScarlet3S2,tdmSG",20250523-plate1,20250523-plate1-slot1,5.0,20250523-plate1-slot1-roi05
/clusterfs/vast/abcabc/Korra_Foundation/20250528_skittlez/fish1/roi1,,,,,,,,,,,,,,,,,,,,,20250528-plate1,20250528-plate1-slot1,1.0,20250528-plate1-slot1-roi01
/clusterfs/vast/abcabc/Korra_Foundation/20250528_skittlez/fish1/roi2,,,,,,,,,,,,,,,,,,,,,20250528-plate1,20250528-plate1-slot1,2.0,20250528-plate1-slot1-roi02
/clusterfs/vast/abcabc/Korra_Foundation/20250528_mem-histone/fish1/roi1_spine,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302) x ef1a:2xLynk:tdmSG(J) (F2 of allele 302),pDQM005,"pDQM005:302,pDQM005:302",tdmSG,,tdmSG,,tdmSG,tdmSG,,pDQM117,mScarlet3S2,H2B,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"mScarlet3S2,tdmSG",20250529-plate1,20250529-plate1-slot1,1.0,20250529-plate1-slot1-roi01
/clusterfs/vast/abcabc/Korra_Foundation/20250528_mem-histone/fish2/roi1_brain,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302) x ef1a:2xLynk:tdmSG(J) (F2 of allele 302),pDQM005,"pDQM005:302,pDQM005:302",tdmSG,,tdmSG,,tdmSG,tdmSG,,pDQM117,mScarlet3S2,H2B,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"mScarlet3S2,tdmSG",20250529-plate1,20250529-plate1-slot1,2.0,20250529-plate1-slot1-roi02
/clusterfs/vast/abcabc/Korra_Foundation/20250528_mem-histone/fish3/roi2_spine,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302) x ef1a:2xLynk:tdmSG(J) (F2 of allele 302),pDQM005,"pDQM005:302,pDQM005:302",tdmSG,,tdmSG,,tdmSG,tdmSG,,pDQM117,mScarlet3S2,H2B,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"mScarlet3S2,tdmSG",20250529-plate1,20250529-plate1-slot1,3.0,20250529-plate1-slot1-roi03
/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish10_roi1,Jim (F2 of allele 316),Ben (F2 of allele 310),Jim (F2 of allele 316) x Ben (F2 of allele 310),"pDQM034,pDQM059","pDQM059:316,pDQM034:310","Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1","Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,pDQM117,,,mScarlet3S2::H2B(N),,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",20250529-plate1,20250529-plate1-slot2,1.0,20250529-plate1-slot2-roi01
/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish11_roi1_eye,Jim (F2 of allele 316),Ben (F2 of allele 310),Jim (F2 of allele 316) x Ben (F2 of allele 310),"pDQM034,pDQM059","pDQM059:316,pDQM034:310","Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1","Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,pDQM117,,,mScarlet3S2::H2B(N),,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",20250529-plate1,20250529-plate1-slot2,2.0,20250529-plate1-slot2-roi02
/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish11_roi1_eye_2,Jim (F2 of allele 316),Ben (F2 of allele 310),Jim (F2 of allele 316) x Ben (F2 of allele 310),"pDQM034,pDQM059","pDQM059:316,pDQM034:310","Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1","Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,pDQM117,,,mScarlet3S2::H2B(N),,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",20250529-plate1,20250529-plate1-slot2,3.0,20250529-plate1-slot2-roi03
/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish12_roi1,Jim (F2 of allele 316),Ben (F2 of allele 310),Jim (F2 of allele 316) x Ben (F2 of allele 310),"pDQM034,pDQM059","pDQM059:316,pDQM034:310","Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1","Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,pDQM117,,,mScarlet3S2::H2B(N),,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",20250529-plate1,20250529-plate1-slot2,4.0,20250529-plate1-slot2-roi04
/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish13_roi1,Jim (F2 of allele 316),Ben (F2 of allele 310),Jim (F2 of allele 316) x Ben (F2 of allele 310),"pDQM034,pDQM059","pDQM059:316,pDQM034:310","Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1","Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,pDQM117,,,mScarlet3S2::H2B(N),,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",20250529-plate1,20250529-plate1-slot2,5.0,20250529-plate1-slot2-roi05
/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish14_roi1,Jim (F2 of allele 316),Ben (F2 of allele 310),Jim (F2 of allele 316) x Ben (F2 of allele 310),"pDQM034,pDQM059","pDQM059:316,pDQM034:310","Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1","Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,pDQM117,,,mScarlet3S2::H2B(N),,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",20250529-plate1,20250529-plate1-slot2,6.0,20250529-plate1-slot2-roi06
/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish14_roi2,Jim (F2 of allele 316),Ben (F2 of allele 310),Jim (F2 of allele 316) x Ben (F2 of allele 310),"pDQM034,pDQM059","pDQM059:316,pDQM034:310","Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1","Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",,pDQM117,,,mScarlet3S2::H2B(N),,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"Electra2,gfp,mCitrine,mKOK,mKate2,mTFP1",20250529-plate1,20250529-plate1-slot2,7.0,20250529-plate1-slot2-roi07
