parent_female,parent_male,genotype_base_codes,genotype_allele_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,n_trasngenic_parents,are_parents_same,n_genotype_base_codes,n_treatment_basecodes,n_total_base_codes,n_total_organelles,treatment_marker_fusion_labels,genotype_marker_fusion_loc_labels,all_unique_organelles,all_fluor_organelles,n_rows
Jim (F2 of allele 316),Dennis (F2 of allele 318),"pDQM036,pDQM059","pDQM059:316,pDQM036:318",,pDQM117,2,False,1,1,2,1,mScarlet3S2::H2B(N),gfp,histone,gfp|mScarlet3S2(histone),12
ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),pDQM005,"pDQM005:302,pDQM005:302|302",,pDQM117,2,True,1,1,2,2,mScarlet3S2::H2B(N),tdmSG::2xLynk(N)(membrane),membrane|histone,tdmSG(membrane)|mScarlet3S2(histone),11
casper/rnf,mem:tdmChilada,pDQM082,pDQM082:315,,HC-9,1,False,1,1,2,2,mStayGold::lifeact(N),tdmChilada::2xLynk(N)(membrane),membrane|actin,tdmChilada(membrane)|mStayGold(actin),10
membrane Halo,membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",,MGCO-04,2,True,1,1,2,1,mStayGold::sec61b(N),,ER,mStayGold(ER),9
casper,memrane tdmScarlet3S2 (F1 of allele 325),pDQM136,pDQM136:325,,pDQM117,1,False,1,1,2,2,mScarlet3S2::H2B(N),tdmScarlet3::2xLynk(N)(membrane),membrane|histone,tdmScarlet3(membrane)|mScarlet3S2(histone),9
casper/rnf,mem:tdmChilada,pDQM082,pDQM082:315,,MGCO-23,1,False,1,1,2,2,mStayGold::lifeact(N),tdmChilada::2xLynk(N)(membrane),membrane|actin,tdmChilada(membrane)|mStayGold(actin),8
membrane Halo,membrane Halo,Swinburne|pSWIN01,"Swinburne:Swinburne,Swinburne:Swinburne|is01",pDQM140,,2,True,2,1,3,0,mGold2s,,,mGold2s,8
casper/rnf,mem:tdmChilada,pDQM082,pDQM082:315,,MGCO-04,1,False,1,1,2,2,mStayGold::sec61b(N),tdmChilada::2xLynk(N)(membrane),membrane|ER,tdmChilada(membrane)|mStayGold(ER),8
membrane Halo,membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",,MGCO-01,2,True,1,1,2,1,mStayGold::2Xcox8A(N),,mitochondria,mStayGold(mitochondria),7
membrane Halo,membrane Halo,Swinburne|pSWIN01,"Swinburne:Swinburne,Swinburne:Swinburne|is01",,MGCO-04,2,True,2,1,3,1,mStayGold::sec61b(N),,ER,mStayGold(ER),6
Ken (F2 of allele 320),Isaac (F2 of allele 314),"pDQM059,pDQM064","pDQM059:320,pDQM064:314",,pDQM117,2,False,1,1,2,1,mScarlet3S2::H2B(N),"Electra2,GFP,gfp,mCitrine,mKate2,mKoK,mTFP1",histone,"Electra2,GFP,gfp,mCitrine,mKate2,mKoK,mTFP1|mScarlet3S2(histone)",5
Dennis (F2 of allele 318),Abe (F2 of allele 309),"pDQM034,pDQM036","pDQM036:318,pDQM034:309","pDQM034,pDQM036",,2,False,1,1,1,0,Electra2; mCitrine; mKOK; mKate2; mTFP1,"Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1|Electra2; mCitrine; mKOK; mKate2; mTFP1",5
casper/rnf,ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),pDQM136,pDQM136:325,,HC-9,1,False,1,1,2,2,mStayGold::lifeact(N),tdmScarlet3::2xLynk(N)(membrane),membrane|actin,tdmScarlet3(membrane)|mStayGold(actin),5
membrane Halo,membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",,MGCO-23,2,True,1,1,2,1,mStayGold::lifeact(N),,actin,mStayGold(actin),5
ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,"pDQM005:301,pDQM005:301|301",,pDQM037,2,True,1,1,2,2,tdmChilada::pcna(C); tdmSG::dhb(N),tdmSG::2xLynk(N)(membrane),membrane|nucleus,tdmSG(membrane)|tdmChilada(nucleus); tdmSG,3
casper/rnf,casper/rnf,,,,MGCO-01,0,True,0,1,1,1,mStayGold::2Xcox8A(N),,mitochondria,mStayGold(mitochondria),2
ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,"pDQM005:301,pDQM005:301",,pDQM037,2,True,1,1,2,2,tdmChilada::pcna(C); tdmSG::dhb(N),tdmSG::2xLynk(N)(membrane),membrane|nucleus,tdmSG(membrane)|tdmChilada(nucleus); tdmSG,2
casper/rnf,casper/rnf,,,,pDQM117,0,True,0,1,1,1,mScarlet3S2::H2B(N),,histone,mScarlet3S2(histone),1
casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),pDQM005,pDQM005:302,,pDQM117,1,False,1,1,2,2,mScarlet3S2::H2B(N),tdmSG::2xLynk(N)(membrane),membrane|histone,tdmSG(membrane)|mScarlet3S2(histone),1
