clutch_code,roi_code,plate_id_filled,slot_id_filled,date_born,parent_female,parent_male,roi_dir
LCL-0056,20250523-plate1-slot1-roi03,20250523-plate1,20250523-plate1-slot1,,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish3/roi1
LCL-0056,20250523-plate1-slot1-roi04,20250523-plate1,20250523-plate1-slot1,,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish4/roi1
LCL-0056,20250523-plate1-slot1-roi05,20250523-plate1,20250523-plate1-slot1,,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish5/roi1
LCL-0066,20250528-plate1-slot1-roi01,20250528-plate1,20250528-plate1-slot1,2025-05-27,,,/clusterfs/vast/abcabc/Korra_Foundation/20250528_skittlez/fish1/roi1
LCL-0066,20250528-plate1-slot1-roi02,20250528-plate1,20250528-plate1-slot1,2025-05-27,,,/clusterfs/vast/abcabc/Korra_Foundation/20250528_skittlez/fish1/roi2
LCL-0054,20250529-plate1-slot1-roi01,20250529-plate1,20250529-plate1-slot1,2025-05-27,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),/clusterfs/vast/abcabc/Korra_Foundation/20250528_mem-histone/fish1/roi1_spine
LCL-0054,20250529-plate1-slot1-roi02,20250529-plate1,20250529-plate1-slot1,2025-05-27,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),/clusterfs/vast/abcabc/Korra_Foundation/20250528_mem-histone/fish2/roi1_brain
LCL-0054,20250529-plate1-slot1-roi03,20250529-plate1,20250529-plate1-slot1,2025-05-27,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),/clusterfs/vast/abcabc/Korra_Foundation/20250528_mem-histone/fish3/roi2_spine
LCL-0007,20250529-plate1-slot2-roi01,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish10_roi1
LCL-0007,20250529-plate1-slot2-roi02,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish11_roi1_eye
