plasmid_code,plasmid_name,plasmid_nickname,resistance,plasmid_notes,used_for_injection_plasmid,used_for_injection_rna,used_for_injection_crispr,n_fluors_per_plasmid,fluor_code,tag_code,tag_pos
pDQM040,hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),Amp,hsp driven cdk/pcna cell cycle sensor clone 3 (pIGLET),FALSE,FALSE,FALSE,2,tdmSG,dhb,N
pDQM040,hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),Amp,hsp driven cdk/pcna cell cycle sensor clone 3 (pIGLET),FALSE,FALSE,FALSE,2,tdmChilada,pcna,C
pDQM041,sox10:mChilada (pCM268),sox10:mChilada (pCM268),Amp,sox10p-driven mChilada (pIGLET) clone 1,FALSE,FALSE,FALSE,1,mChilada,,
pDQM042,sox10:mChilada (pCM268),sox10:mChilada (pCM268),Amp,sox10p-driven mChilada (pIGLET) clone 2,FALSE,FALSE,FALSE,1,mChilada,,
pDQM043,pCM268_ccdB-mCitrine,pCM268_ccdB-mCitrine,Amp,Clone 1 - pIGLET backbone in NEB Turbo cells (for ccdB survival),FALSE,FALSE,FALSE,1,mCitrine,,
pDQM044,pCM268_ccdB-mCitrine,pCM268_ccdB-mCitrine,Amp,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival),FALSE,FALSE,FALSE,1,mCitrine,,
pDQM045,pTwist-SP6:2xLynk:mScarlet3,pTwist-SP6:2xLynk:mScarlet3,Amp,,FALSE,FALSE,FALSE,1,mScarlet3,2xLynk,N
pDQM046,pTwist-SP6:2xLynk:mScarlet3,pTwist-SP6:2xLynk:mScarlet3,Amp,,FALSE,FALSE,FALSE,1,mScarlet3,2xLynk,N
pDQM047,pTwist-SP6-2xLynk:mSG(J)-iCodon,pTwist-SP6-2xLynk:mSG(J)-iCodon,Amp,Clone 1,FALSE,FALSE,FALSE,1,mSG,2xLynk,N
pDQM048,pTwist-SP6-2xLynk:mSG(J)-iCodon,pTwist-SP6-2xLynk:mSG(J)-iCodon,Amp,Clone 2,FALSE,FALSE,FALSE,1,mSG,2xLynk,N
pDQM049,pTwist-SP6-2xLynk:mSG(B)-iCodon,pTwist-SP6-2xLynk:mSG(B)-iCodon,Amp,Clone 1,FALSE,FALSE,FALSE,1,mSG,2xLynk,N
pDQM050,pTwist-SP6-2xLynk:mSG(B)-iCodon,pTwist-SP6-2xLynk:mSG(B)-iCodon,Amp,Clone 2,FALSE,FALSE,FALSE,1,mSG,2xLynk,N
pDQM051,ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,Clone 1 - pIGLET,FALSE,FALSE,FALSE,2,tdmSG,dhb,N
pDQM051,ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,Clone 1 - pIGLET,FALSE,FALSE,FALSE,2,tdmChilada,h2b,C
pDQM052,ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,Clone 2 - pIGLET,FALSE,FALSE,FALSE,2,tdmSG,dhb,N
pDQM052,ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,Clone 2 - pIGLET,FALSE,FALSE,FALSE,2,tdmChilada,h2b,C
pDQM053,hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,Clone 2 - pIGLET,FALSE,FALSE,FALSE,2,tdmSG,dhb,N
