date_experiment,fish_label,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,experiment_name,mount_row_index_scored,date_mount,mount_id,zf_female_genotype,zf_male_genotype,additional_plasmids_injected,additional_mrnas_injected,additonal_dye_and_chemicals,data_location,female_plasmid_base_code,female_allele,male_plasmid_base_code,male_allele,additional_plasmids_plasmid_base_code,additional_mrnas_plasmid_base_code
20250513_skittles,fish14,roi2_tailbud,roi2_tailbud,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi2_tailbud,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish15,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi1,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish15,roi2,roi2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi2,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish15,roi3,roi3,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi3,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish15,roi4,roi4,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi4,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish16,roi1_brain,roi1_brain,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish16/roi1_brain,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish2,roi1,roi1,17,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi1,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish2,roi2,roi2,10,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi2,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish3,roi1,roi1,72,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi1,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish3,roi2,roi2,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi2,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish3,roi3,roi3,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi3,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish3,roi4,roi4,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi4,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish4,roi1,roi1,38,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi1,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish4,roi2,roi2,72,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi2,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish4,roi3,roi3,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi3,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish5,roi1,roi1,186,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi1,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish5,roi2,roi2,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi2,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish5,roi3,roi3,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi3,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish5,roi4,roi4,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi4,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish5,roi5,roi5,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi5,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish5,roi6,roi6,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi6,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish5,roi7,roi7,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi7,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish6,roi1,roi1,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi1,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish6,roi2,roi2,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi2,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
