plasmid_code,nickname,resistance,supports_invitro_rna,notes,fusion_name
pDQM096,ef1a:mSG:CDT1-tPT2A-mYH:GMN (endogenous) [FUCCI],Amp,FALSE,Clone 2,mSG|mYH
pDQM097,cryaa skittles 3.1 5FP (new phiC (full length)),Amp,FALSE,Clone 2,GFP|mKate2|Electra2|mCitrine|mKoK|mTFP1
pDQM098,exorH:GFP; hsp:phiC(iC),Amp,FALSE,new phiC cloned into Erin's plasmid,gfp
pDQM099,exorH:GFP; hsp:phiC(iC),Amp,FALSE,new phiC cloned into Erin's plasmid,gfp
pDQM100,exorH:mScarlet; hsp:phiC(iC),Amp,FALSE,new phiC cloned into Erin's plasmid,mScarlet
pDQM101,ef1a:linker:Halo:linker-attB,Amp,FALSE,Clone 1,Halo
pDQM102,efa1:linker:mStayGold(J):linker-attB,Amp,FALSE,Clone 1,mStayGold
pDQM103,efa1:linker:mStayGold(J):linker-attB,Amp,FALSE,Clone 2,mStayGold
pDQM104,SP6:mchilada-MAGPV-h2b,Amp,FALSE,Clone 1,mchilada
pDQM105,SP6:mYH:h2b,Amp,FALSE,Clone 4,mYH::h2b
pDQM106,efa1:linker:miRFP670-2:linker-attB,Amp,FALSE,Clone 2,miRFP670
pDQM107,efa1:linker:miRFP670-2:linker-attB,Amp,FALSE,Clone 5,miRFP670
pDQM108,ccdB:linker:mChilada-MAGPV:linker,Amp,FALSE,Clone 1,mChilada
pDQM109,ccdB:linker:mChilada-MAGPV:linker,Amp,FALSE,Clone 3,mChilada
pDQM110,exorH:GFP; hsp:phiC(iC)-NLS,Amp,FALSE,Clone 1,gfp
pDQM111,exorH:GFP; hsp:phiC(iC)-NLS,Amp,FALSE,Clone 3,gfp
pDQM112,exorH:mScarlet; hsp:phiC(iC)-NLS,Amp,FALSE,Clone 1,mScarlet
pDQM113,exorH:mScarlet; hsp:phiC(iC)-NLS,Amp,FALSE,Clone 2,mScarlet
pDQM114,ef1a:mSG:CDT1-P2A-mYH:GMN (iCodon) [FUCCI],Amp,FALSE,clone 2,mSG|mYH
pDQM115,SP6:2xLynk:mScarlet3S2,Amp,FALSE,Clone 1,2xLynk::mScarlet3S2
pDQM116,SP6:2xLynk:mScarlet3S2,Amp,FALSE,Clone 2,2xLynk::mScarlet3S2
pDQM117,SP6:mScarlet3S2:H2B,Amp,FALSE,Clone 2,mScarlet3S2::H2B
pDQM118,SP6:mScarlet3S2:H2B,Amp,FALSE,Clone 3,mScarlet3S2::H2B
pDQM119,SP6:mBeRFP:H2B,Amp,FALSE,Clone 3,mBeRFP::H2B
pDQM120,ef1a:linker:mBeRFP:linker-attB,Amp,FALSE,Clone 1,mBeRFP
pDQM121,ef1a:2xLynk:tdmScarlet3-S2-tol2,Amp,FALSE,Clones 1-4,2xLynk::tdmScarlet3
pDQM122,ef1a:skittles 3.5 (2xLynk:mSG-attP-Halo-attP-3FPs),Amp,FALSE,Clone 3,2xLynk::mSG
pDQM123,ef1a:skittles 3.5 (2xLynk:mSG-attP-Halo-attP-3FPs),Amp,FALSE,Clone 4,2xLynk::mSG
pDQM124,ef1a:linker:mScarlet3-S2:linker-attB (tol2),Amp,FALSE,Clone 1 and 2,mScarlet3
pDQM125,ef1a:2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B,Amp,FALSE,clone 65-1,2xLynk::tdmSG
pDQM126,ef1a:2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B,Amp,FALSE,clone 94-1,2xLynk::tdmSG
pDQM127,ef1a:skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),Amp,FALSE,Clone 1 & 2,2xLynk::mSG
pDQM128,A2UCOE-ef1a-2xLynk:tdmSG-tol2,Amp,FALSE,TBD (missing ~96bp?),2xLynk::tdmSG
pDQM129,ef1a-extended-2xLynk:tdmSG-tol2,Amp,FALSE,Clones 1-4,2xLynk::tdmSG
pDQM130,MBP-TEV-phiC-NLS,Amp,FALSE,TBD,
pDQM131,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,FALSE,"Clones 2,3",dhb::tdmSG|tdmChilada::h2b
pDQM132,ef1a-extended::2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B-tol2,Amp,FALSE,Clones 1-3,2xLynk::tdmSG
pDQM133,ef1a-extened::tdmScarlet3-S2:H2B-tol2,Amp,FALSE,Clones 1-3,tdmScarlet3
pDQM134,A2UCOE-ef1a:2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B-tol2,Amp,FALSE,still missing ~100bp,2xLynk::tdmSG
pDQM135,A2UCOE-ef1a-2xLynk:tdmSG-tol2,Amp,FALSE,still missing ~100bp,2xLynk::tdmSG
pDQM136,ef1a-extended:2xLynk:tdmScarlet3-S2-tol2,Amp,FALSE,clone 3,2xLynk::tdmScarlet3
pDQM137,ef1a:-extended-skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),Amp,FALSE,clone 3,2xLynk::mSG
pDQM138,SP6:2xLynk:mGold2s,Amp,FALSE,TBD,2xLynk::mGold2s
pDQM139,SP6:2xLynk:mGold2t,Amp,FALSE,TBD,2xLynk::mGold2t
pDQM140,ef1a:linker:mGold2s:linker-attB (tol2),Amp,FALSE,clones 1-3,mGold2s
pDQM141,ef1a:linker:mGold2t:linker-attB (tol2),Amp,FALSE,clones 2-3,mGold2t
pDQM142,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmScarlet3-S2-h2b (pCM268),Amp,FALSE,TBD,dhb::tdmSG
pDQM143,SP6:tol2(iCodon),Amp,FALSE,"Clones 1,2 and 4",
pDQM144,ef1a:E2Crimson (iCodon),Amp,FALSE,Clones 1-4,E2Crimson
pDQM145,ef1a:mCardinal (iCodon),Amp,FALSE,Clones 1-4,mCardinal
pDQM146,ef1a-extended:linker:mScarlet3-S2:linker-attB (tol2),Amp,FALSE,made by Erin (Janelia),mScarlet3
pDQM147,ef1a-extended:linker:mStayGold:linker-attB (tol2),Amp,FALSE,made by Erin (Janelia),mStayGold
pDQM148,ef1a-extended:linker:mStayGold-c4:linker-attB (tol2),Amp,FALSE,made by Erin (Janelia),mStayGold
pDQM149,ef1a-extended:linker:Halo:linker-sv40-he1.1-tagbfp2-attB (tol2),Amp,FALSE,made by Erin (Janelia),Halo|tagbfp2
pDQM150,ef1a-extended-mSG:CDT1-tPT2A-mYH:GMN (endogenous),Amp,FALSE,,mSG|mYH
pDQM151,ef1a-extended-mSG:CDT1 (endogenous),Amp,FALSE,Clones 3 & 4,mSG
pDQM152,A2UCOE-ef1a-extended-skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),Amp,FALSE,,2xLynk::mSG
pDQM153,ef1a-extended::DHB:tdmSG:tPT2A:tdmScarlet3-S2:H2B-tol2,Amp,FALSE,clone 1,DHB::tdmSG
