Data location,Date born,Date imaged,Date screened/Initial feedback,End of imaging time,Imaged Locations,Mounting Orientation,Start of imaging time,Time mounted,Time placed in scope,Unique Targets,Unique Targets with blanks,ZF female genotype,ZF male genotype,additional mRNAs injected,additional plasmids injected,additonal dye and chemicals,additonal proteins injected,dataset,date_experiment,date_mount,fish,genotype_allele_codes,genotype_base_codes,mount_id,parent_female,parent_male,roi_dir,roi_name,roi_rel,roi_tiffs,treatment_plasmid_base_codes,treatment_rna_base_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,all_unique_organelles,all_fluor_organelles
U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish7_48hpf,2025-03-03,2025-03-05,2025-03-04 00:00:00,10:30 AM (day+1),"neuromast, skin, muscle, spinal_cord",LHDH,18:10:00,2025-03-05 00:00:00,18:00:00,nuclei,nuclei,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mYH:H2B,,,,korra,20250618_skittlez,2025-03-05,fish7_roi4,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250618_skittlez/fish7_roi4,fish7_roi4,fish7_roi4,48,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"histone,membrane","tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish8_48hpf,2025-03-03,2025-03-05,2025-03-04 00:00:00,10:30 AM (day+1),"spinal_cord, neuromast, skin, muscle",LHDH,18:10:00,2025-03-05 00:00:00,18:00:00,nuclei,nuclei,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mYH:H2B,,,,korra,20250618_skittlez,2025-03-05,fish8_roi1,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250618_skittlez/fish8_roi1,fish8_roi1,fish8_roi1,48,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"histone,membrane","tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish4_24hpf,2025-03-03,2025-03-04,2025-03-04 00:00:00,15:30:00,"hindbrain, brain",DT,14:00:00,2025-03-04 00:00:00,13:40:00,nuclei,nuclei,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mYH:H2B,,,,korra,20250618_skittlez,2025-03-04,fish8_roi2,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250618_skittlez/fish8_roi2,fish8_roi2,fish8_roi2,48,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"histone,membrane","tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish5_24hpf,2025-03-03,2025-03-04,2025-03-04 00:00:00,6:00:00 AM (day+1),"tail, spinal_cord, muscle",DT,15:45:00,2025-03-04 00:00:00,15:35:00,nuclei,nuclei,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mYH:H2B,,,,korra,20250618_skittlez,2025-03-04,fish8_roi3,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250618_skittlez/fish8_roi3,fish8_roi3,fish8_roi3,48,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"histone,membrane","tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish1_72hpf,2025-02-28,2025-03-03,2025-03-02 00:00:00,17:40:00,"ear, neuromast, muscle, skin",lateral,11:00:00,2025-03-03 00:00:00,10:30:00,nuclei,nuclei,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mYH:H2B (80 and 120 pg),,,,korra,20250618_skittlez,2025-03-03,fish8_roi4,pDQM005:301,pDQM005,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250618_skittlez/fish8_roi4,fish8_roi4,fish8_roi4,48,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"histone,membrane","tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish2_72hpf,2025-02-28,2025-03-03,2025-03-02 00:00:00,1:30 PM (day+1),"ear, muscle",lateral,18:00:00,2025-03-03 00:00:00,17:50:00,nuclei,nuclei,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mYH:H2B (80 and 120 pg),,,,korra,20250618_skittlez,2025-03-03,fish9_roi1,pDQM005:301,pDQM005,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250618_skittlez/fish9_roi1,fish9_roi1,fish9_roi1,48,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"histone,membrane","tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish3_72hpf,2025-02-28,2025-03-03,2025-03-02 00:00:00,1:30 PM (day+1),muscle,lateral,18:00:00,2025-03-03 00:00:00,17:50:00,nuclei,nuclei,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mYH:H2B (80 and 120 pg),,,,korra,20250618_skittlez,2025-03-03,fish9_roi2,pDQM005:301,pDQM005,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250618_skittlez/fish9_roi2,fish9_roi2,fish9_roi2,48,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"histone,membrane","tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish13_48hpf,2025-02-26,2025-02-28,2025-02-28 00:00:00,16:00:00,"hindbrain, spinal cord, muscle",DH,12:00:00,2025-02-28 23:35:00,23:45:00,"csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488,nuclei","csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488,nuclei",casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),mYH:H2B (80 and 120 pg),,,,korra,20250619_skittlez,2025-02-28,fish1_roi1,pDQM005:301,pDQM005,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250619_skittlez/fish1_roi1,fish1_roi1,fish1_roi1,72,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"histone,membrane","tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish14_48hpf,2025-02-26,2025-02-28,2025-02-28 00:00:00,19:30:00,"hindbrain, spinal cord, muscle",DH,16:30:00,2025-02-28 23:35:00,23:45:00,"csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488,nuclei","csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488,nuclei",casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),mYH:H2B (80 and 120 pg),,,,korra,20250619_skittlez,2025-02-28,fish1_roi2,pDQM005:301,pDQM005,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250619_skittlez/fish1_roi2,fish1_roi2,fish1_roi2,72,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"histone,membrane","tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish8_24hpf,2025-02-26,2025-02-27,2025-02-27 00:00:00,15:10:00,brain,vertical head up,13:40:00,2025-02-27 10:20:00,11:00:00,"csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488,nuclei","csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488,nuclei",casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),mYH:H2B (80 and 120 pg),,,,korra,20250619_skittlez,2025-02-27,fish2_roi1,pDQM005:301,pDQM005,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250619_skittlez/fish2_roi1,fish2_roi1,fish2_roi1,72,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"histone,membrane","tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish7_24hpf,2025-02-26,2025-02-27,2025-02-27 00:00:00,13:30:00,brain,vertical head up,11:10:00,2025-02-27 10:20:00,11:00:00,"csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488,nuclei","csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488,nuclei",casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),mYH:H2B (80 and 120 pg),,,,korra,20250619_skittlez,2025-02-27,fish3_roi1,pDQM005:301,pDQM005,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250619_skittlez/fish3_roi1,fish3_roi1,fish3_roi1,72,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"histone,membrane","tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish9_24hpf,2025-02-26,2025-02-27,2025-02-27 00:00:00,16:30:00,"eye, brain",lateral,15:40:00,2025-02-27 12:05:00,15:30:00,"csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488,nuclei","csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488,nuclei",casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),mYH:H2B (80 and 120 pg),,,,korra,20250619_skittlez,2025-02-27,fish3_roi2,pDQM005:301,pDQM005,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250619_skittlez/fish3_roi2,fish3_roi2,fish3_roi2,72,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"histone,membrane","tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish10_24hpf,2025-02-26,2025-02-27,2025-02-27 00:00:00,17:30:00,"eye, brain",lateral,16:40:00,2025-02-27 12:05:00,15:30:00,"csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488,nuclei","csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488,nuclei",casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),mYH:H2B (80 and 120 pg),,,,korra,20250619_skittlez,2025-02-27,fish4_roi1,pDQM005:301,pDQM005,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250619_skittlez/fish4_roi1,fish4_roi1,fish4_roi1,108,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"histone,membrane","tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish11_24hpf,2025-02-26,2025-02-27,2025-02-27 00:00:00,7 AM (day+1),"hindbrain, spinal cord, muscle",dorsal,18:00:00,2025-02-27 13:30:00,17:40:00,"csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488,nuclei","csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488,nuclei",casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),mYH:H2B (80 and 120 pg),,,,korra,20250619_skittlez,2025-02-27,fish5_roi1,pDQM005:301,pDQM005,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250619_skittlez/fish5_roi1,fish5_roi1,fish5_roi1,72,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"histone,membrane","tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish12_24hpf,2025-02-26,2025-02-27,2025-02-27 00:00:00,7 AM (day+1),"hindbrain, spinal cord, muscle",dorsal,18:00:00,2025-02-27 13:30:00,17:40:00,"csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488,nuclei","csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488,nuclei",casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),mYH:H2B (80 and 120 pg),,,,korra,20250619_skittlez,2025-02-27,fish5_roi2,pDQM005:301,pDQM005,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250619_skittlez/fish5_roi2,fish5_roi2,fish5_roi2,72,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"histone,membrane","tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250225_mem_nuc\fish3_48hpf,2025-02-24,2025-02-26,2025-02-26 00:00:00,15:00:00,brain,vertical head up,12:10:00,2025-02-26 11:15:00,11:45:00,nuclei,nuclei,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mYH:H2B (80 and 120 pg),,,,korra,20250620_mitomSG,2025-02-26,fish1_roi1,pDQM005:301,pDQM005,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250620_mitomSG/fish1_roi1,fish1_roi1,fish1_roi1,705,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"membrane,mitochondria","tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250225_mem_nuc\fish4_48hpf,2025-02-24,2025-02-26,2025-02-26 00:00:00,16:30:00,brain,vertical head up,15:30:00,2025-02-26 11:15:00,11:45:00,nuclei,nuclei,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mYH:H2B (80 and 120 pg),,,,korra,20250624_skittlez_Chris_x_Liam,2025-02-26,fish2_roi1,pDQM005:301,pDQM005,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250624_skittlez_Chris_x_Liam/fish2_roi1,fish2_roi1,fish2_roi1,72,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),membrane,"tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish5_6_48hpf (roi1-2),2025-02-24,2025-02-26,2025-02-26 00:00:00,10:50:00 AM (day+1),"hindbrain, spinal cord, muscle",dorsal,17:00:00,2025-02-26 14:55:00,16:40:00,nuclei,nuclei,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mYH:H2B (80 and 120 pg),,,,korra,20250624_skittlez_Chris_x_Liam,2025-02-26,fish3_roi1,pDQM005:301,pDQM005,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250624_skittlez_Chris_x_Liam/fish3_roi1,fish3_roi1,fish3_roi1,72,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"histone,membrane","tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish5_6_48hpf (roi3-4),2025-02-24,2025-02-26,2025-02-26 00:00:00,10:50:00 AM (day+1),"spinal cord, muscle",dorsal,17:00:00,2025-02-26 14:55:00,16:40:00,nuclei,nuclei,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mYH:H2B (80 and 120 pg),,,,korra,20250624_skittlez_Chris_x_Liam,2025-02-26,fish3_roi2,pDQM005:301,pDQM005,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250624_skittlez_Chris_x_Liam/fish3_roi2,fish3_roi2,fish3_roi2,72,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"histone,membrane","tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish1_24hpf,2025-02-24,2025-02-25,2025-02-25 00:00:00,16:30:00,"hindbrain, spinal cord, muscle",vertical head up,12:30:00,2025-02-25 12:10:00,12:20:00,nuclei,nuclei,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mYH:H2B (80 and 120 pg),,,,korra,20250624_skittlez_Chris_x_Liam,2025-02-25,fish3_roi3,pDQM005:301,pDQM005,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250624_skittlez_Chris_x_Liam/fish3_roi3,fish3_roi3,fish3_roi3,72,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"histone,membrane","tdmSG(membrane),mYH"
,2025-02-24,2025-02-25,2025-02-25 00:00:00,,,vertical head up,fish not accessible,2025-02-25 12:10:00,12:20:00,nuclei,nuclei,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mYH:H2B (80 and 120 pg),,,,korra,20250624_skittlez_Chris_x_Liam,2025-02-25,fish4_roi1,pDQM005:301,pDQM005,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250624_skittlez_Chris_x_Liam/fish4_roi1,fish4_roi1,fish4_roi1,72,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),membrane,"tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish2_24hpf,2025-02-24,2025-02-25,2025-02-25 00:00:00,11:15 AM (day+1),"spinal cord, muscle",dorsal,17:15:00,2025-02-25 15:40:00,16:40:00,nuclei,nuclei,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mYH:H2B (80 and 120 pg),,,,korra,20250624_skittlez_Chris_x_Liam,2025-02-25,fish4_roi2,pDQM005:301,pDQM005,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250624_skittlez_Chris_x_Liam/fish4_roi2,fish4_roi2,fish4_roi2,72,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),"histone,membrane","tdmSG(membrane),mYH"
,2025-02-24,2025-02-25,2025-02-25 00:00:00,,,dorsal,fish not accessible,2025-02-25 15:40:00,16:40:00,nuclei,nuclei,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),mYH:H2B (80 and 120 pg),,,,korra,20250624_skittlez_Chris_x_Liam,2025-02-25,fish4_roi3,pDQM005:301,pDQM005,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250624_skittlez_Chris_x_Liam/fish4_roi3,fish4_roi3,fish4_roi3,72,,pDQM105,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mYH::h2b(N),,mYH,mYH::h2b(N),membrane,"tdmSG(membrane),mYH"
U:\Data\20240911_Korra_Foundation\20250220_tg_mem_skittles\fish2_phic_48hpf,,2025-02-21,,14:40:00,skittles test,LHUT,11:00:00,,10:30:00,"csp,male #5 25%+ positive rate - currently best founder (but 2 alleles, one dim one bright(er)?,405,445",",csp,male #5 25%+ positive rate - currently best founder (but 2 alleles, one dim one bright(er)?,405,445",ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),phiC mRNA (120 pg),,,,korra,20250624_skittlez_Chris_x_Liam,2025-02-21,fish4_roi4,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250624_skittlez_Chris_x_Liam/fish4_roi4,fish4_roi4,fish4_roi4,72,,nan,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,membrane,tdmSG(membrane)
U:\Data\20240911_Korra_Foundation\20250220_tg_mem_skittles\fish3_phic-nls_48hpf,,2025-02-21,,17:40:00,skittles test,LHUT,14:50:00,,10:30:00,"csp,male #5 25%+ positive rate - currently best founder (but 2 alleles, one dim one bright(er)?,405,445",",csp,male #5 25%+ positive rate - currently best founder (but 2 alleles, one dim one bright(er)?,405,445",ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),phiC-NLS mRNA (120 pg),,,,korra,20250624_skittlez_Chris_x_Liam,2025-02-21,fish5_roi1,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250624_skittlez_Chris_x_Liam/fish5_roi1,fish5_roi1,fish5_roi1,2,,nan,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,membrane,tdmSG(membrane)
U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish3_72hpf_halo_jfx649,2025-02-17,2025-02-20,2025-02-19 00:00:00,15:10:00,"muscle, spinal cord, blood vessle",dorsal,10:30:00,15:00:00,10:00:00,"csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488","csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488",ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),JF635 3uM,,,,korra,20250624_skittlez_Chris_x_Liam,2025-02-20,fish5_roi1-1,Swinburne:Swinburne,Swinburne,,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250624_skittlez_Chris_x_Liam/fish5_roi1-1,fish5_roi1-1,fish5_roi1-1,48,,nan,,,,,,,,,"histone,membrane",
U:\Data\20240911_Korra_Foundation\20250220_tg_mem_skittles\fish1_phic_24hpf,,2025-02-20,,18:00:00,skittles test,,15:30:00,,15:20:00,"csp,male #5 25%+ positive rate - currently best founder (but 2 alleles, one dim one bright(er)?,405,445",",csp,male #5 25%+ positive rate - currently best founder (but 2 alleles, one dim one bright(er)?,405,445",ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),phiC mRNA (120 pg),,,,korra,20250624_skittlez_Chris_x_Liam,2025-02-20,fish6_roi1,pDQM005:301,pDQM005,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250624_skittlez_Chris_x_Liam/fish6_roi1,fish6_roi1,fish6_roi1,48,,nan,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,membrane,tdmSG(membrane)
"U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish2_48hpf_halo_jfx649 (roi1,2,2-2)",2025-02-17,2025-02-19,2025-02-18 00:00:00,8 AM (day+1),"brain, ear",dorsal,13:50:00,17:00:00,13:40:00,"csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488","csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488",ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),JF635 3uM,,,,korra,20250624_skittlez_Chris_x_Liam,2025-02-19,fish6_roi2,Swinburne:Swinburne,Swinburne,,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250624_skittlez_Chris_x_Liam/fish6_roi2,fish6_roi2,fish6_roi2,48,,nan,,,,,,,,,"histone,membrane",
U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish2_48hpf_halo_jfx649 (roi 3-9),2025-02-17,2025-02-19,2025-02-18 00:00:00,8 AM (day+1),"brain, spinal cord, muscle",dorsal,13:50:00,17:00:00,13:40:00,"csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488","csp,male #8 - best founder (40-50% transmission, multiple alleles, bright!!!),488",ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),JF635 3uM,,,,korra,20250624_skittlez_Chris_x_Liam,2025-02-19,fish6_roi3,Swinburne:Swinburne,Swinburne,,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250624_skittlez_Chris_x_Liam/fish6_roi3,fish6_roi3,fish6_roi3,48,,nan,,,,,,,,,"histone,membrane",
