Data location,Date born,Date imaged,Date screened/Initial feedback,End of imaging time,Imaged Locations,Mounting Orientation,Start of imaging time,Time mounted,Time placed in scope,Unique Targets,Unique Targets with blanks,ZF female genotype,ZF male genotype,additional mRNAs injected,additional plasmids injected,additonal dye and chemicals,additonal proteins injected,dataset,date_experiment,date_mount,fish,genotype_allele_codes,genotype_base_codes,mount_id,parent_female,parent_male,roi_dir,roi_name,roi_rel,roi_tiffs,treatment_plasmid_base_codes,treatment_rna_base_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,all_unique_organelles,all_fluor_organelles
X:\abcabc\Exploratory_fish\20251023_mScarlet3S2_2Xcox8A,2025-10-21,2025-10-23,,,,DH,,10:00:00,,,,MGCO35 (F1 of allele 336),casper/rnf,,,,,korra,20250513_skittles,2025-10-22,fish13,MGCO-35:336,MGCO-35,3,MGCO35 (F1 of allele 336),casper/rnf,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi2,roi2,roi2,18,,,mScarlet3S2::2Xcox8A(N),mitochondria,mScarlet3S2(mitochondria),mScarlet3S2::2Xcox8A(N)(mitochondria),,,,,mitochondria,mScarlet3S2(mitochondria)
X:\abcabc\Aang_Foundation\20251021_mem-mito,2025-10-20,2025-10-21,,,,DH,,10:00:00,,,"membrane, mitochondria",ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,2xCox8A:mSG,,,,korra,20250513_skittles,2025-10-21,fish13,pDQM082:315,pDQM082,1,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi3,roi3,roi3,18,,MGCO-01,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmChilada(membrane),mStayGold(mitochondria)"
X:\abcabc\Aang_Foundation\20251021_mem-mito_v2,2025-10-20,2025-10-22,,,,DH,,10:00:00,,,"membrane, mitochondria",casper/rnf,tdmScarlet3S2 (F1 of allele 325),2xCox8A:mSG,,,,korra,20250513_skittles,2025-10-21,fish13,pDQM136:325,pDQM136,2,casper/rnf,tdmScarlet3S2 (F1 of allele 325),/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi4,roi4,roi4,18,,MGCO-01,tdmScarlet3::2xLynk(N),membrane,tdmScarlet3(membrane),tdmScarlet3::2xLynk(N)(membrane),mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmScarlet3(membrane),mStayGold(mitochondria)"
X:\abcabc\Aang_Foundation\20251020_mem-histone,2025-10-17,2025-10-20,,,"muscle, hindbrain, skin, blood vessel",DH,,10:00:00,,,"membrane, nuclei",ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,korra,20250513_skittles,2025-10-20,fish14,pDQM005:301,pDQM005,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi1_brain,roi1_brain,roi1_brain,36,,,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,"histone,membrane",tdmSG(membrane)
X:\abcabc\Korra_Foundation\20251020_mem-histone,2025-10-17,2025-10-20,,,"skin, hindbrain, muscle, blood vessel",DH,,10:00:00,,,"membrane, nuclei",ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,korra,20250513_skittles,2025-10-20,fish14,pDQM005:301,pDQM005,2,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi2_tailbud,roi2_tailbud,roi2_tailbud,18,,,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,"histone,membrane",tdmSG(membrane)
X:\abcabc\Korra_Foundation\20251017_microtubules,2025-10-16,2025-10-17,,,,DH,,10:00:00,,,,casper/rnf,casper/rnf,,MGCO50(microtubule-A2UCOE-attb_entire+pDQM147-EB3-mStayGold),,,korra,20250513_skittles,2025-10-17,fish15,,,1,casper/rnf,casper/rnf,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi1,roi1,roi1,18,MGCO-50,,,,,,,Microtubule EBP,,,Microtubule EBP,
X:\abcabc\Aang_Foundation\20251017_nuclear_envelope,2025-10-16,2025-10-17,,,,DH,,10:00:00,,,,casper/rnf,casper/rnf,,MGCO54(nuclearenvelope-A2UCOE-attb_entire+pDQM147-LEMD2-mStayGold),,,korra,20250513_skittles,2025-10-17,fish15,,,2,casper/rnf,casper/rnf,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi2,roi2,roi2,18,MGCO-54,,,,,,,Nuclear Envelope,,,Nuclear Envelope,
X:\abcabc\Korra_Foundation\20251016_mem-histone,2025-10-13,2025-10-16,,,"skin, muscle, tail, blood vessel",DH,,10:00:00,,,"membrane, nuclei",ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,korra,20250513_skittles,2025-10-16,fish15,pDQM005:302,pDQM005,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi3,roi3,roi3,18,,,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,"histone,membrane",tdmSG(membrane)
X:\abcabc\Aang_Foundation\20251016_mem-mito_v2,2025-10-08,2025-10-16,,,blood vessel,DH,,11:00:00,,,"membrane, mitochondria",ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,,MGCO-28(ef1a-extended-2Xcox8A-linker-mStayGold-SV40-attb-tol2),,,korra,20250513_skittles,2025-10-16,fish15,pDQM082:315,pDQM082,2,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi4,roi4,roi4,18,MGCO-28,,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmChilada(membrane),mStayGold(mitochondria)"
X:\abcabc\Korra_Foundation\20251015_mem-histone,2025-10-13,2025-10-15,,,,DH,,10:00:00,,,"membrane, nuclei",ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,korra,20250513_skittles,2025-10-15,fish16,pDQM005:302,pDQM005,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish16/roi1_brain,roi1_brain,roi1_brain,18,,,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,"histone,membrane",tdmSG(membrane)
