roi_dir,date_experiment,fish,roi_name,date_born,parent_female,parent_male,genotype_base_codes,genotype_allele_codes,genotype_pretty,genotype_marker_fluor_codes,genotype_marker_tag_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,additional plasmids injected,additional mRNAs injected,additonal proteins injected,additonal dye and chemicals,Date born,ZF female genotype,ZF male genotype,Data location
/clusterfs/vast/abcabc/Korra_Foundation/20250625_skittlez/fish8_roi2,20250625_skittlez,fish8_roi2,fish8_roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250625_skittlez/fish9_roi1,20250625_skittlez,fish9_roi1,fish9_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish10_roi1,20250627_skittlez,fish10_roi1,fish10_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish1_roi1,20250627_skittlez,fish1_roi1,fish1_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish1_roi2,20250627_skittlez,fish1_roi2,fish1_roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish1_roi3,20250627_skittlez,fish1_roi3,fish1_roi3,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish2_roi1,20250627_skittlez,fish2_roi1,fish2_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish3_roi1,20250627_skittlez,fish3_roi1,fish3_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish4_roi1,20250627_skittlez,fish4_roi1,fish4_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish4_roi2,20250627_skittlez,fish4_roi2,fish4_roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish5_roi1,20250627_skittlez,fish5_roi1,fish5_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish7_roi1,20250627_skittlez,fish7_roi1,fish7_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish8_roi1,20250627_skittlez,fish8_roi1,fish8_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish9_roi1,20250627_skittlez,fish9_roi1,fish9_roi1,,,,,,,,,,,,,,,,,,,,,
