roi_dir,parent_female,parent_male,genotype_pretty,genotype_base_codes,genotype_allele_codes,genotype_marker_fluor_codes,genotype_marker_tag_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,date_born,plate_id_filled,slot_id_filled,roi_index_within_slot,roi_code
U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish1_72hpf,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-03-14,SYN_20250317_plate1,SYN_20250317_plate1-slot1,1,SYN_20250317_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish2_72hpf,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-03-14,SYN_20250317_plate1,SYN_20250317_plate1-slot1,1,SYN_20250317_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish3_96hpf,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-03-14,SYN_20250318_plate1,SYN_20250318_plate1-slot1,1,SYN_20250318_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish4_24hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-03-17,SYN_20250318_plate1,SYN_20250318_plate1-slot1,1,SYN_20250318_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish5_48hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-03-17,SYN_20250319_plate1,SYN_20250319_plate1-slot1,1,SYN_20250319_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish6_48hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-03-17,SYN_20250319_plate1,SYN_20250319_plate1-slot1,1,SYN_20250319_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish7_48hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-03-17,SYN_20250320_plate1,SYN_20250320_plate1-slot1,1,SYN_20250320_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish8_48hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-03-17,SYN_20250320_plate1,SYN_20250320_plate1-slot1,1,SYN_20250320_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250321_skittle\,casper/rnf,ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),pDQM036(318),pDQM036,pDQM036:318,,,,,,,,2025-03-19,SYN_20250321_plate1,SYN_20250321_plate1-slot1,1,SYN_20250321_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish1_72hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-03-21,SYN_20250324_plate1,SYN_20250324_plate1-slot1,1,SYN_20250324_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish2_72hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-03-21,SYN_20250324_plate1,SYN_20250324_plate1-slot1,1,SYN_20250324_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish3_24hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-03-24,SYN_20250325_plate1,SYN_20250325_plate1-slot1,1,SYN_20250325_plate1-slot1-roi01
