roi_dir,mount_dir_norm,date_experiment,date_mount,fish,roi_name,roi_rel,parent_female,parent_male,genotype_base_codes,genotype_allele_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,all_unique_organelles,all_fluor_organelles
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi2,/abcabc/Korra_Foundation/20250513_skittles/fish4,20250513_skittles,,fish4,roi2,roi2,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi3,/abcabc/Korra_Foundation/20250513_skittles/fish4,20250513_skittles,,fish4,roi3,roi3,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi1,/abcabc/Korra_Foundation/20250513_skittles/fish5,20250513_skittles,,fish5,roi1,roi1,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi2,/abcabc/Korra_Foundation/20250513_skittles/fish5,20250513_skittles,,fish5,roi2,roi2,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi3,/abcabc/Korra_Foundation/20250513_skittles/fish5,20250513_skittles,,fish5,roi3,roi3,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi4,/abcabc/Korra_Foundation/20250513_skittles/fish5,20250513_skittles,,fish5,roi4,roi4,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi5,/abcabc/Korra_Foundation/20250513_skittles/fish5,20250513_skittles,,fish5,roi5,roi5,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi6,/abcabc/Korra_Foundation/20250513_skittles/fish5,20250513_skittles,,fish5,roi6,roi6,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi7,/abcabc/Korra_Foundation/20250513_skittles/fish5,20250513_skittles,,fish5,roi7,roi7,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi1,/abcabc/Korra_Foundation/20250513_skittles/fish6,20250513_skittles,,fish6,roi1,roi1,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi2,/abcabc/Korra_Foundation/20250513_skittles/fish6,20250513_skittles,,fish6,roi2,roi2,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi3,/abcabc/Korra_Foundation/20250513_skittles/fish6,20250513_skittles,,fish6,roi3,roi3,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi4,/abcabc/Korra_Foundation/20250513_skittles/fish6,20250513_skittles,,fish6,roi4,roi4,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish7/roi1_ear_brain,/abcabc/Korra_Foundation/20250513_skittles/fish7,20250513_skittles,,fish7,roi1_ear_brain,roi1_ear_brain,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish7/roi2_brain,/abcabc/Korra_Foundation/20250513_skittles/fish7,20250513_skittles,,fish7,roi2_brain,roi2_brain,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish8/roi1,/abcabc/Korra_Foundation/20250513_skittles/fish8,20250513_skittles,,fish8,roi1,roi1,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish9/roi1,/abcabc/Korra_Foundation/20250513_skittles/fish9,20250513_skittles,,fish9,roi1,roi1,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish2/roi1,/abcabc/Korra_Foundation/20250520_mem_histone/fish2,20250520_mem_histone,2025-05-21,fish2,roi1,roi1,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,pDQM005:301,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,pDQM117,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"histone,membrane","mScarlet3S2(histone),tdmSG(membrane)"
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish2/roi1,/abcabc/Korra_Foundation/20250520_mem_histone/fish2,20250520_mem_histone,2025-05-20,fish2,roi1,roi1,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,pDQM005:301,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,pDQM117,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"histone,membrane","mScarlet3S2(histone),tdmSG(membrane)"
