date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,date_mount,mount_id,ZF female genotype,ZF male genotype,additional plasmids injected,additional mRNAs injected,additonal proteins injected,additonal dye and chemicals,Date born,Time mounted,Mounting Orientation,Date screened/Initial feedback,Date imaged,Time placed in scope,Start of imaging time,End of imaging time,Imaged Locations,Unique Targets with blanks,Unique Targets,Data location
20250513_skittles,fish15,roi2,roi2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi2,korra,2025-10-17,2,casper/rnf,casper/rnf,MGCO54(nuclearenvelope-A2UCOE-attb_entire+pDQM147-LEMD2-mStayGold),,,,2025-10-16,10:00:00,DH,,2025-10-17,,,,,,,X:\abcabc\Aang_Foundation\20251017_nuclear_envelope
20250513_skittles,fish15,roi3,roi3,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi3,korra,2025-10-16,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,2025-10-13,10:00:00,DH,,2025-10-16,,,,"skin, muscle, tail, blood vessel","membrane, nuclei",,X:\abcabc\Korra_Foundation\20251016_mem-histone
20250513_skittles,fish15,roi4,roi4,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi4,korra,2025-10-16,2,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,MGCO-28(ef1a-extended-2Xcox8A-linker-mStayGold-SV40-attb-tol2),,,,2025-10-08,11:00:00,DH,,2025-10-16,,,,blood vessel,"membrane, mitochondria",,X:\abcabc\Aang_Foundation\20251016_mem-mito_v2
20250513_skittles,fish16,roi1_brain,roi1_brain,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish16/roi1_brain,korra,2025-10-15,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,2025-10-13,10:00:00,DH,,2025-10-15,,,,,"membrane, nuclei",,X:\abcabc\Korra_Foundation\20251015_mem-histone
20250513_skittles,fish2,roi1,roi1,17,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi1,korra,2025-10-14,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,2025-10-13,10:00:00,DH,,2025-10-15,,,,,"membrane, nuclei",,X:\abcabc\Aang_Foundation\20251015_mem-histone
20250513_skittles,fish2,roi2,roi2,10,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi2,korra,2025-10-14,2,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,,,,,2025-10-13,10:00:00,DH,,2025-10-16,,,,"skin, muscle","membrane, mitochondria",,X:\abcabc\Aang_Foundation\20251016_mem-mito
20250513_skittles,fish3,roi1,roi1,72,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi1,korra,2025-10-13,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,2025-10-09,09:00:00,DH,,2025-10-13,,,,,"membrane, nuclei",,X:\abcabc\Aang_Foundation\20251013_mem-histone
20250513_skittles,fish3,roi2,roi2,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi2,korra,2025-10-13,2,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,2025-10-09,09:00:00,DH,,2025-10-13,,,,,"membrane, nuclei",,X:\abcabc\Korra_Foundation\20251013_mem-histone
20250513_skittles,fish3,roi3,roi3,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi3,korra,2025-10-10,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,2025-10-09,11:00:00,DH,,,,,,,,,
20250513_skittles,fish3,roi4,roi4,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi4,korra,2025-10-10,2,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,2025-10-09,11:00:00,DH,,2025-10-10,,,,,"membrane, nuclei",,X:\abcabc\Korra_Foundation\20251010_mem-histone
20250513_skittles,fish4,roi1,roi1,38,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi1,korra,2025-10-09,1,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,MGCO-28(ef1a-extended-2Xcox8A-linker-mStayGold-SV40-attb-tol2),,,,2025-10-08,11:00:00,DH,,2025-10-10,,,,,"membrane, mitochondria",,X:\abcabc\Aang_Foundation\20251010_mem-mito
20250513_skittles,fish4,roi2,roi2,72,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi2,korra,2025-10-08,1,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 310),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 317),,,,,2025-10-07,11:00:00,DH,,,,,,,,,
20250513_skittles,fish4,roi3,roi3,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi3,korra,2025-10-08,2,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),,,,,2025-10-07,11:00:00,DH,,,,,,,,,
20250513_skittles,fish5,roi1,roi1,186,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi1,korra,2025-10-08,3,casper/rnf,tdmScarlet3S2 (F1 of allele 325),,,,,2025-10-07,11:00:00,DH,,,,,,,,,
20250513_skittles,fish5,roi2,roi2,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi2,korra,2025-10-07,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),ef1a:2xLynk:tdmSG(J) (F1 of allele 304),,,,,2025-10-05,09:00:00,DH,,,,,,,,,
20250513_skittles,fish5,roi3,roi3,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi3,korra,2025-10-06,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),ef1a:2xLynk:tdmSG(J) (F1 of allele 304),,,,,2025-10-05,09:00:00,DH,,,,,,,,,
20250513_skittles,fish5,roi4,roi4,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi4,korra,2025-10-06,2,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),ef1a:2xLynk:tdmSG(J) (F1 of allele 304),,,,,2025-10-05,09:00:00,DH,,,,,,,,,
20250513_skittles,fish5,roi5,roi5,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi5,korra,2025-10-03,2.1,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,2025-09-30,17:00:00,DH,,,,,,,,,
20250513_skittles,fish5,roi6,roi6,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi6,korra,2025-10-03,2.2,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,2025-09-30,17:00:00,DH,,,,,,,,,
20250513_skittles,fish5,roi7,roi7,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi7,korra,2025-10-03,1.1,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,,MGCO28,,,2025-10-01,10:00:00,DH,,,,,,,,,
20250513_skittles,fish6,roi1,roi1,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi1,korra,2025-10-03,1.2,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,,MGCO28,,,2025-10-01,10:00:00,DH,,,,,,,,,
20250513_skittles,fish6,roi2,roi2,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi2,korra,2025-10-02,1,casper/rnf,tdmScarlet3S2 (F1 of allele 325),,MGCO01,,,2025-10-01,12:00:00,DH,,,,,,,,,
20250513_skittles,fish6,roi3,roi3,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi3,korra,2025-10-02,2,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,,MGCO01,,,2025-10-01,12:00:00,DH,,,,,,,,,
