roi_dir,date_experiment,date_mount,parent_female,parent_male,genotype_base_codes,genotype_allele_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,all_unique_organelles,all_fluor_organelles
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi1,20250513_skittles,2025-10-13,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),pDQM005,pDQM005:301,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,,,membrane,tdmSG(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi2,20250513_skittles,2025-10-13,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),pDQM005,pDQM005:301,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,,,membrane,tdmSG(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi3,20250513_skittles,2025-10-10,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),pDQM005,pDQM005:301,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,,,membrane,tdmSG(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi4,20250513_skittles,2025-10-10,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),pDQM005,pDQM005:301,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,,,membrane,tdmSG(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi1,20250513_skittles,2025-10-09,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,pDQM082,pDQM082:315,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),MGCO-28,,mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmChilada(membrane),mStayGold(mitochondria)"
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi2,20250513_skittles,2025-10-08,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 310),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 317),pDQM034,pDQM034:310,"Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1","Electra2,mCitrine,mKOK,mKate2,mTFP1",,,,,,,,"Electra2,mCitrine,mKOK,mKate2,mTFP1"
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi3,20250513_skittles,2025-10-08,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),pDQM034,pDQM034:310,"Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1","Electra2,mCitrine,mKOK,mKate2,mTFP1",,,,,,,,"Electra2,mCitrine,mKOK,mKate2,mTFP1"
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi1,20250513_skittles,2025-10-08,casper/rnf,tdmScarlet3S2 (F1 of allele 325),pDQM136,pDQM136:325,tdmScarlet3::2xLynk(N),membrane,tdmScarlet3(membrane),tdmScarlet3::2xLynk(N)(membrane),,,,,,,membrane,tdmScarlet3(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi2,20250513_skittles,2025-10-07,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),ef1a:2xLynk:tdmSG(J) (F1 of allele 304),pDQM005,pDQM005:302,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,,,membrane,tdmSG(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi3,20250513_skittles,2025-10-06,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),ef1a:2xLynk:tdmSG(J) (F1 of allele 304),pDQM005,pDQM005:302,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,,,membrane,tdmSG(membrane)
