date_mount,date_mount_yyyymmdd,sheet_row_index,mount_id,Data location,mount_key,slot_index_global,plateN,slotM,plate_id_filled,slot_id_filled
2025-03-14,20250314,168,,U:\Data\20240911_Korra_Foundation\20250313_mSG_skittles\fish3_24hpf,fish3_24hpf,1,1,1,20250314-plate1,20250314-plate1-slot1
2025-03-14,20250314,169,,U:\Data\20240911_Korra_Foundation\20250313_mSG_skittles\fish4_24hpf,fish4_24hpf,2,1,2,20250314-plate1,20250314-plate1-slot2
2025-03-14,20250314,170,,U:\Data\20240911_Korra_Foundation\20250314_mem_histone\fish1_24hpf,fish1_24hpf,3,1,3,20250314-plate1,20250314-plate1-slot3
2025-03-14,20250314,171,,U:\Data\20240911_Korra_Foundation\20250314_mem_histone\fish2_24hpf,fish2_24hpf,4,1,4,20250314-plate1,20250314-plate1-slot4
2025-03-17,20250317,166,,U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish1_72hpf,fish1_72hpf,1,1,1,20250317-plate1,20250317-plate1-slot1
2025-03-17,20250317,167,,U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish2_72hpf,fish2_72hpf,2,1,2,20250317-plate1,20250317-plate1-slot2
2025-03-18,20250318,164,,U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish3_96hpf,fish3_96hpf,1,1,1,20250318-plate1,20250318-plate1-slot1
2025-03-18,20250318,165,,U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish4_24hpf,fish4_24hpf,2,1,2,20250318-plate1,20250318-plate1-slot2
2025-03-19,20250319,162,,U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish5_48hpf,fish5_48hpf,1,1,1,20250319-plate1,20250319-plate1-slot1
2025-03-19,20250319,163,,U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish6_48hpf,fish6_48hpf,2,1,2,20250319-plate1,20250319-plate1-slot2
2025-03-20,20250320,160,,U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish7_48hpf,fish7_48hpf,1,1,1,20250320-plate1,20250320-plate1-slot1
2025-03-20,20250320,161,,U:\Data\20240911_Korra_Foundation\20250317_mem_histone\fish8_48hpf,fish8_48hpf,2,1,2,20250320-plate1,20250320-plate1-slot2
2025-03-21,20250321,159,,U:\Data\20240911_Korra_Foundation\20250321_skittle\,,1,1,1,20250321-plate1,20250321-plate1-slot1
2025-03-24,20250324,157,,U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish1_72hpf,fish1_72hpf,1,1,1,20250324-plate1,20250324-plate1-slot1
2025-03-24,20250324,158,,U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish2_72hpf,fish2_72hpf,2,1,2,20250324-plate1,20250324-plate1-slot2
2025-03-25,20250325,156,,U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish3_24hpf,fish3_24hpf,1,1,1,20250325-plate1,20250325-plate1-slot1
2025-03-26,20250326,155,,U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish4_24hpf,fish4_24hpf,1,1,1,20250326-plate1,20250326-plate1-slot1
2025-03-27,20250327,152,,U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish5_48hpf,fish5_48hpf,1,1,1,20250327-plate1,20250327-plate1-slot1
2025-03-27,20250327,153,,U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish1_24hpf,fish1_24hpf,2,1,2,20250327-plate1,20250327-plate1-slot2
2025-03-27,20250327,154,,U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish2_24hpf,fish2_24hpf,3,1,3,20250327-plate1,20250327-plate1-slot3
2025-03-28,20250328,150,,U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish3_48hpf,fish3_48hpf,1,1,1,20250328-plate1,20250328-plate1-slot1
2025-03-28,20250328,151,,U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish4_48hpf,fish4_48hpf,2,1,2,20250328-plate1,20250328-plate1-slot2
2025-04-01,20250401,149,,U:\Data\20240911_Korra_Foundation\20250401_mem_histone\fish1_24hpf,fish1_24hpf,1,1,1,20250401-plate1,20250401-plate1-slot1
2025-04-03,20250403,148,,U:\Data\20240911_Korra_Foundation\20250401_mem_histone\fish2_72hpf,fish2_72hpf,1,1,1,20250403-plate1,20250403-plate1-slot1
2025-04-04,20250404,147,,U:\Data\20240911_Korra_Foundation\20250401_mem_skittles\fish1_24hpf\roi1,roi1,1,1,1,20250404-plate1,20250404-plate1-slot1
2025-04-07,20250407,146,,U:\Data\20240911_Korra_Foundation\20250401_mem_skittles\fish1_96hpf,fish1_96hpf,1,1,1,20250407-plate1,20250407-plate1-slot1
2025-04-10,20250410,145,,"U:\Data\20240911_Korra_Foundation\20250410_organelle\fish1-fish3, lysosome","fish1-fish3, lysosome",1,1,1,20250410-plate1,20250410-plate1-slot1
2025-04-11,20250411,144,,"U:\Data\20240911_Korra_Foundation\20250410_organelle\fish4-5,, mitochondria","fish4-5,, mitochondria",1,1,1,20250411-plate1,20250411-plate1-slot1
2025-04-14,20250414,143,,U:\Data\20240911_Korra_Foundation\20250414_mem_histone\fish1_72hpf,fish1_72hpf,1,1,1,20250414-plate1,20250414-plate1-slot1
2025-04-18,20250418,142,,U:\Data\20240911_Korra_Foundation\20250418_mem_histone\fish1_newLLStest,fish1_newLLStest,1,1,1,20250418-plate1,20250418-plate1-slot1
2025-04-21,20250421,141,,U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish1_72hpf,fish1_72hpf,1,1,1,20250421-plate1,20250421-plate1-slot1
2025-04-22,20250422,139,,U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish2_24hpf,fish2_24hpf,1,1,1,20250422-plate1,20250422-plate1-slot1
