mount_id,date_mount,zf_female_genotype_text,zf_male_genotype_text,additional_plasmids_raw,additional_rnas_raw,additional_proteins_raw,additional_dyes_raw,imaged_locations_raw,data_location,notes
nan,2025-03-03,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,muscle,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish3_72hpf,
nan,2025-02-28,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,"hindbrain, spinal cord, muscle",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish13_48hpf,
nan,2025-02-28,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,"hindbrain, spinal cord, muscle",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish14_48hpf,
nan,2025-02-27,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish8_24hpf,
nan,2025-02-27,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish7_24hpf,
nan,2025-02-27,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,"eye, brain",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish9_24hpf,
nan,2025-02-27,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,"eye, brain",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish10_24hpf,
nan,2025-02-27,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,"hindbrain, spinal cord, muscle",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish11_24hpf,
nan,2025-02-27,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,"hindbrain, spinal cord, muscle",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish12_24hpf,
nan,2025-02-26,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250225_mem_nuc\fish3_48hpf,
nan,2025-02-26,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250225_mem_nuc\fish4_48hpf,
nan,2025-02-26,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,"hindbrain, spinal cord, muscle",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish5_6_48hpf (roi1-2),
nan,2025-02-26,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,"spinal cord, muscle",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish5_6_48hpf (roi3-4),
nan,2025-02-25,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,"hindbrain, spinal cord, muscle",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish1_24hpf,
nan,2025-02-25,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,nan,nan,
nan,2025-02-25,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,"spinal cord, muscle",U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish2_24hpf,
nan,2025-02-25,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,nan,nan,
nan,2025-02-21,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),nan,phiC mRNA (120 pg),nan,nan,skittles test,U:\Data\20240911_Korra_Foundation\20250220_tg_mem_skittles\fish2_phic_48hpf,
nan,2025-02-21,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),nan,phiC-NLS mRNA (120 pg),nan,nan,skittles test,U:\Data\20240911_Korra_Foundation\20250220_tg_mem_skittles\fish3_phic-nls_48hpf,
nan,2025-02-20,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,JF635 3uM,nan,nan,"muscle, spinal cord, blood vessle",U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish3_72hpf_halo_jfx649,
nan,2025-02-20,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),nan,phiC mRNA (120 pg),nan,nan,skittles test,U:\Data\20240911_Korra_Foundation\20250220_tg_mem_skittles\fish1_phic_24hpf,
nan,2025-02-19,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,JF635 3uM,nan,nan,"brain, ear","U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish2_48hpf_halo_jfx649 (roi1,2,2-2)",
nan,2025-02-19,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,JF635 3uM,nan,nan,"brain, spinal cord, muscle",U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish2_48hpf_halo_jfx649 (roi 3-9),
nan,2025-02-18,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,JF635 3uM,nan,nan,"brain, spinal cord, muscle",U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish1_24hpf_halo_jfx649,
nan,2025-02-13,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,muscle+ neuromast+skin,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish8_72hpf_mYH,
nan,2025-02-13,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,nan,nan,
nan,2025-02-13,nan,nan,nan,mYH:H2B (80 and 120 pg),nan,nan,hindbrain,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish9_10_24hpf_mYH,
nan,2025-02-13,nan,nan,nan,mYH:H2B (80 and 120 pg),nan,nan,"hindbrain, spinal cord, muscle",U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish9_10_24hpf_mYH,
nan,2025-02-12,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,muscle,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish7_48hpf_mYH,
nan,2025-02-12,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,tail (other regions bad quality due to nonideal fish orientation),U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish5_48hpf_mYH,
nan,2025-02-12,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mChilada:H2B (80 and 120 pg),nan,nan,nan,nan,
nan,2025-02-11,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,spinal cord + muscle + skin,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish2_24hpf_mYH,
nan,2025-02-11,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mChilada:H2B (80 and 120 pg),nan,nan,nan,nan,
nan,2025-02-11,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mChilada:H2B (80 and 120 pg),nan,nan,spinal cord + muscle + skin,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish6_48hpf_mchilada,
nan,2025-02-11,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mYH:H2B (80 and 120 pg),nan,nan,spinal cord + muscle + skin,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish4_24hpf_mYH,
nan,2025-02-11,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mChilada:H2B (80 and 120 pg),nan,nan,spinal cord + muscle + skin,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish3_24hpf_mchilada,
nan,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 308),nan,mYH:H2B (80 and 120 pg),nan,nan,nan,nan,
nan,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 308),nan,mYH:H2B (80 and 120 pg),nan,nan,nan,nan,
nan,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 308),nan,mYH:H2B (80 and 120 pg),nan,nan,nan,nan,
nan,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 308),nan,mYH:H2B (80 and 120 pg),nan,nan,nan,nan,
nan,2025-02-07,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,mChilada:H2B (80 pg),nan,nan,continuous AO test,nan,
nan,2025-02-06,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,nan,mYH:H2B (80 pg),nan,nan,spinal cord + muscle + skin,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish6_72hpf_mYH,
nan,2025-02-06,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,nan,mYH:H2B (80 pg),nan,nan,nan,nan,
nan,2025-02-06,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,mChilada:H2B (80 pg),nan,nan,spinal cord + muscle + skin,U:\Data\20240911_Korra_Foundation\20250206_mem_histone\fish1_24hpf_mChilada,
nan,2025-02-06,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,mChilada:H2B (80 pg),nan,nan,spinal cord + muscle + skin,U:\Data\20240911_Korra_Foundation\20250206_mem_histone\fish2_24hpf_mChilada,
nan,2025-02-05,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,nan,mYH:H2B (80 pg),nan,nan,spinal cord + muscle + skin,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish3_48hpf_mYH,
nan,2025-02-05,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,nan,mYH:H2B (80 pg),nan,nan,spinal cord + muscle + skin,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish4_48hpf_mYH,
nan,2025-02-05,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,nan,mYH:H2B (80 pg),nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish5_48hpf_mYH\roi1_mb,
nan,2025-02-05,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,nan,mYH:H2B (80 pg),nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish5_48hpf_mYH\roi2_mb,
nan,2025-02-04,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,nan,mChilada:H2B (80 pg),nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish1_24hpf_mchilada,
nan,2025-02-04,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,nan,mYH:H2B (80 pg),nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish2_24hpf_mYH,
nan,2025-01-31,casper/rnf,casper/rnf,nan,2xLynk:mSG; mChilada:H2B,nan,nan,spinal cord + muscle,U:\Data\20240911_Korra_Foundation\20250131_mem_histone\fish2_24hpf_mChilada,
nan,2025-01-31,casper/rnf,casper/rnf,nan,2xLynk:mSG; mYH:H2B,nan,nan,spinal cord + muscle,U:\Data\20240911_Korra_Foundation\20250131_mem_histone\fish1_24hpf_mYH,
nan,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),tol2 mRNA (40 pg),nan,nan,nan,nan,
nan,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 304),Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),tol2 mRNA (40 pg),nan,nan,nan,nan,
nan,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,nan,mChilada:H2B (80 pg),nan,nan,nan,nan,
nan,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,nan,mYH:H2B (80 pg),nan,nan,nan,nan,
nan,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 305),nan,mChilada:H2B (80 pg),nan,nan,nan,nan,
nan,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 305),nan,mYH:H2B (80 pg),nan,nan,nan,nan,
nan,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 305),Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),tol2 mRNA (40 pg),nan,nan,nan,nan,
nan,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,mChilada:H2B (80 pg),nan,nan,nan,nan,
nan,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,mChilada:H2B (80 pg),nan,nan,nan,nan,
nan,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,mChilada:H2B (80 pg),nan,nan,nan,nan,
nan,,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),nan,mChilada:H2B (80 pg),nan,nan,nan,nan,
nan,,nan,nan,nan,nan,nan,nan,nan,nan,
nan,,nan,nan,nan,nan,nan,nan,nan,nan,
nan,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),nan,phiC-NLS mRNA (120 pg),nan,nan,nan,nan,
