dataset_source,clutch_code,clutch_date,genotype_cross_label,genotype_base_codes,genotype_allele_codes,genotype_pretty,genotype_marker_fluor_codes,genotype_marker_tag_codes,treat_code,treat_text,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_dye_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,sheet_row_index,date_born,zf_female_genotype_text,zf_male_genotype_text,date_mount,mount_id,experimental_plate_id,experimental_slot_id,data_location,roi_index,roi_name,data_path
cluster_linked,IMG_CLT_20250210_01,2025-02-10,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",264,,,,2025-02-13,,20250213-plate1,20250213-plate1-slot1,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish8_72hpf_mYH,,,
cluster_linked,IMG_CLT_20250210_01,2025-02-10,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",265,,,,2025-02-13,,20250213-plate1,20250213-plate1-slot2,,,,
cluster_linked,IMG_CLT_20250210_01,2025-02-10,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",268,,,,2025-02-12,,20250212-plate1,20250212-plate1-slot2,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish7_48hpf_mYH,,,
cluster_linked,IMG_CLT_20250210_01,2025-02-10,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",269,,,,2025-02-12,,20250212-plate1,20250212-plate1-slot1,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish5_48hpf_mYH,,,
cluster_linked,IMG_CLT_20250210_01,2025-02-10,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",270,,,,2025-02-12,,20250212-plate1,20250212-plate1-slot3,,,,
cluster_linked,IMG_CLT_20250210_01,2025-02-10,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",271,,,,2025-02-11,,20250211-plate1,20250211-plate1-slot1,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish2_24hpf_mYH,,,
cluster_linked,IMG_CLT_20250210_01,2025-02-10,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",272,,,,2025-02-11,,20250211-plate1,20250211-plate1-slot5,,,,
cluster_linked,IMG_CLT_20250210_01,2025-02-10,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",273,,,,2025-02-11,,20250211-plate1,20250211-plate1-slot4,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish6_48hpf_mchilada,,,
cluster_linked,IMG_CLT_20250210_01,2025-02-10,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",274,,,,2025-02-11,,20250211-plate1,20250211-plate1-slot3,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish4_24hpf_mYH,,,
cluster_linked,IMG_CLT_20250210_01,2025-02-10,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",275,,,,2025-02-11,,20250211-plate1,20250211-plate1-slot2,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish3_24hpf_mchilada,,,
