dataset_source,clutch_code,clutch_date,genotype_cross_label,genotype_base_codes,genotype_allele_codes,genotype_pretty,genotype_marker_fluor_codes,genotype_marker_tag_codes,treat_code,treat_text,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_dye_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,sheet_row_index,birthday_filled,parent_female_filled,parent_male_filled,date_mount,mount_id,plate_id_filled,slot_id_filled,data_location_filled,roi_index,roi_name,data_path
mem_histone,IMG_CLT_20250224_01,2025-02-24,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",250,2025-02-24,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-26,,SYN_20250226_plate1,SYN_20250226_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250225_mem_nuc\fish4_48hpf,1,U:\Data\20240911_Korra_Foundation\20250225_mem_nuc\fish4_48hpf,U:\Data\20240911_Korra_Foundation\20250225_mem_nuc\fish4_48hpf
mem_histone,IMG_CLT_20250224_01,2025-02-24,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",251,2025-02-24,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-26,,SYN_20250226_plate1,SYN_20250226_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish5_6_48hpf (roi1-2),1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish5_6_48hpf (roi1-2),U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish5_6_48hpf (roi1-2)
mem_histone,IMG_CLT_20250224_01,2025-02-24,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",252,2025-02-24,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-26,,SYN_20250226_plate1,SYN_20250226_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish5_6_48hpf (roi3-4),1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish5_6_48hpf (roi3-4),U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish5_6_48hpf (roi3-4)
mem_histone,IMG_CLT_20250224_01,2025-02-24,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",253,2025-02-24,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-25,,SYN_20250225_plate1,SYN_20250225_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish1_24hpf,1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish1_24hpf,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish1_24hpf
mem_histone,IMG_CLT_20250224_01,2025-02-24,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",255,2025-02-24,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-25,,SYN_20250225_plate1,SYN_20250225_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish2_24hpf,1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish2_24hpf,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish2_24hpf
mem_histone,IMG_CLT_20250226_01,2025-02-26,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",241,2025-02-26,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-28,,SYN_20250228_plate1,SYN_20250228_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish13_48hpf,1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish13_48hpf,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish13_48hpf
mem_histone,IMG_CLT_20250226_01,2025-02-26,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",242,2025-02-26,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-28,,SYN_20250228_plate1,SYN_20250228_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish14_48hpf,1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish14_48hpf,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish14_48hpf
mem_histone,IMG_CLT_20250226_01,2025-02-26,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",243,2025-02-26,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-27,,SYN_20250227_plate1,SYN_20250227_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish8_24hpf,1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish8_24hpf,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish8_24hpf
mem_histone,IMG_CLT_20250226_01,2025-02-26,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",244,2025-02-26,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-27,,SYN_20250227_plate1,SYN_20250227_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish7_24hpf,1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish7_24hpf,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish7_24hpf
mem_histone,IMG_CLT_20250226_01,2025-02-26,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",245,2025-02-26,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-27,,SYN_20250227_plate1,SYN_20250227_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish9_24hpf,1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish9_24hpf,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish9_24hpf
