clutch_code,sheet_row_index,date_born,zf_female_genotype_text,zf_male_genotype_text,date_mount,mount_id,data_location,row_plasmids_text,row_rnas_text,row_proteins_text,row_dyes_text
IMG_CLT_20250217_01,261,2025-02-17,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-19,,"U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish2_48hpf_halo_jfx649 (roi1,2,2-2)",,JF635 3uM,,
IMG_CLT_20250217_01,262,2025-02-17,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-19,,U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish2_48hpf_halo_jfx649 (roi 3-9),,JF635 3uM,,
IMG_CLT_20250217_01,263,2025-02-17,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-18,,U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish1_24hpf_halo_jfx649,,JF635 3uM,,
IMG_CLT_20250210_01,264,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-13,,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish8_72hpf_mYH,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250210_01,265,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-13,,,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250210_01,268,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-12,,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish7_48hpf_mYH,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250210_01,269,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-12,,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish5_48hpf_mYH,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250210_01,270,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-12,,,,mChilada:H2B (80 and 120 pg),,
IMG_CLT_20250210_01,271,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-11,,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish2_24hpf_mYH,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250210_01,272,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-11,,,,mChilada:H2B (80 and 120 pg),,
IMG_CLT_20250210_01,273,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-11,,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish6_48hpf_mchilada,,mChilada:H2B (80 and 120 pg),,
IMG_CLT_20250210_01,274,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-11,,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish4_24hpf_mYH,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250210_01,275,2025-02-10,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-02-11,,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish3_24hpf_mchilada,,mChilada:H2B (80 and 120 pg),,
IMG_CLT_20250207_01,276,2025-02-07,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 308),2025-02-10,,,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250207_01,277,2025-02-07,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 308),2025-02-10,,,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250207_01,278,2025-02-07,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 308),2025-02-10,,,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250207_01,279,2025-02-07,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 308),2025-02-10,,,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250205_01,280,2025-02-05,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-07,,,,mChilada:H2B (80 pg),,
IMG_CLT_20250203_02,281,2025-02-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-02-06,,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish6_72hpf_mYH,,mYH:H2B (80 pg),,
IMG_CLT_20250203_02,282,2025-02-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-02-06,,,,mYH:H2B (80 pg),,
IMG_CLT_20250205_01,283,2025-02-05,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-06,,U:\Data\20240911_Korra_Foundation\20250206_mem_histone\fish1_24hpf_mChilada,,mChilada:H2B (80 pg),,
IMG_CLT_20250205_01,284,2025-02-05,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-06,,U:\Data\20240911_Korra_Foundation\20250206_mem_histone\fish2_24hpf_mChilada,,mChilada:H2B (80 pg),,
IMG_CLT_20250203_02,285,2025-02-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-02-05,,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish3_48hpf_mYH,,mYH:H2B (80 pg),,
IMG_CLT_20250203_02,286,2025-02-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-02-05,,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish4_48hpf_mYH,,mYH:H2B (80 pg),,
IMG_CLT_20250203_02,287,2025-02-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-02-05,,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish5_48hpf_mYH\roi1_mb,,mYH:H2B (80 pg),,
IMG_CLT_20250203_02,288,2025-02-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-02-05,,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish5_48hpf_mYH\roi2_mb,,mYH:H2B (80 pg),,
IMG_CLT_20250203_02,289,2025-02-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-02-04,,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish1_24hpf_mchilada,,mChilada:H2B (80 pg),,
IMG_CLT_20250203_02,290,2025-02-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-02-04,,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish2_24hpf_mYH,,mYH:H2B (80 pg),,
IMG_CLT_20250130_01,291,2025-01-30,casper/rnf,casper/rnf,2025-01-31,,U:\Data\20240911_Korra_Foundation\20250131_mem_histone\fish2_24hpf_mChilada,,2xLynk:mSG; mChilada:H2B,,
IMG_CLT_20250130_01,292,2025-01-30,casper/rnf,casper/rnf,2025-01-31,,U:\Data\20240911_Korra_Foundation\20250131_mem_histone\fish1_24hpf_mYH,,2xLynk:mSG; mYH:H2B,,
IMG_CLT_20250131_02,293,2025-01-31,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,,Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),tol2 mRNA (40 pg),,
IMG_CLT_20250131_01,294,2025-01-31,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 304),,,,Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),tol2 mRNA (40 pg),,
IMG_CLT_20250203_02,295,2025-02-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,,,mChilada:H2B (80 pg),,
IMG_CLT_20250203_02,296,2025-02-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,,,mYH:H2B (80 pg),,
IMG_CLT_20250203_01,297,2025-02-03,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 305),,,,,mChilada:H2B (80 pg),,
IMG_CLT_20250203_01,298,2025-02-03,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 305),,,,,mYH:H2B (80 pg),,
IMG_CLT_20250203_01,299,2025-02-03,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 305),,,,Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),tol2 mRNA (40 pg),,
IMG_CLT_20250205_01,300,2025-02-05,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),,,,,mChilada:H2B (80 pg),,
IMG_CLT_20250205_01,301,2025-02-05,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),,,,,mChilada:H2B (80 pg),,
IMG_CLT_20250205_01,302,2025-02-05,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),,,,,mChilada:H2B (80 pg),,
IMG_CLT_20250205_01,303,2025-02-05,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),,,,,mChilada:H2B (80 pg),,
