clutch_code,sheet_row_index,date_born,zf_female_genotype_text,zf_male_genotype_text,date_mount,mount_id,data_location,row_plasmids_text,row_rnas_text,row_proteins_text,row_dyes_text
IMG_CLT_20250930_01,52,2025-09-30,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),2025-10-01,2,X:\abcabc\Aang_Foundation\20251001_mem-histone,,,,
IMG_CLT_20250924_01,53,2025-09-24,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),2025-09-26,1,X:\abcabc\Aang_Foundation\20250926_mem-mito,,2xCox8A:mSG,,
IMG_CLT_20250923_01,54,2025-09-23,casper/rnf,from Swinburne lab - tank ID 344 (F1 of allele 45385),2025-09-25,2,X:\abcabc\Aang_Foundation\20250925_mem-mito,,2xCox8A:mSG,,
IMG_CLT_20250923_01,55,2025-09-23,casper/rnf,from Swinburne lab - tank ID 344 (F1 of allele 45385),2025-09-24,1,X:\abcabc\Aang_Foundation\20250924_mem-mito,,2xCox8A:mSG,,
IMG_CLT_20250919_01,56,2025-09-19,casper/rnf,tdmScarlet3S2 (F1 of allele 325),2025-09-22,1,X:\abcabc\Aang_Foundation\20250922_mem-mito,,2xCox8A:mSG,,
IMG_CLT_20250917_01,57,2025-09-17,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdmChilada (F1 of allele 315),2025-09-19,1,X:\abcabc\Aang_Foundation\20250919_mem-mito,,2xCox8A:mSG,,
IMG_CLT_20250915_01,58,2025-09-15,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdmChilada (F1 of allele 315),2025-09-18,1,X:\abcabc\Aang_Foundation\20250918_mem-mito,,2xCox8A:mSG,,
IMG_CLT_20250915_01,59,2025-09-15,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdmChilada (F1 of allele 315),2025-09-16,top,X:\abcabc\Aang_Foundation\20250917_mem-mito,,2xCox8A:mSG,,
IMG_CLT_20250915_02,60,2025-09-15,tdmScarlet3S2 (F1 of allele 325),tdmScarlet3S2 (F1 of allele 325),2025-09-16,bottom,X:\abcabc\Aang_Foundation\20250917_mem-mito,,2xCox8A:mSG,,
IMG_CLT_20250912_01,61,2025-09-12,,ef1a:2xLynk:tdm:Halo,2025-09-15,1,X:\abcabc\Aang_Foundation\20250915_mem-mito,,2xCox8A:mSG,,
IMG_CLT_20250909_01,62,2025-09-09,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdmChilada (F1 of allele 315),2025-09-12,2,X:\abcabc\Aang_Foundation\20250912_mem-mito,,2xCox8A:mSG,,
IMG_CLT_20250909_01,63,2025-09-09,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdmChilada (F1 of allele 315),2025-09-11,1,X:\abcabc\Aang_Foundation\20250911_mem-mito,,2xCox8A:mSG,,
IMG_CLT_20250909_01,64,2025-09-09,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdmChilada (F1 of allele 315),2025-09-10,1,X:\abcabc\Aang_Foundation\20250908_mem-mito,,2xCox8A:mSG,,
IMG_CLT_20250908_01,65,2025-09-08,,,2025-09-09,1,,,,,
IMG_CLT_20250908_01,66,2025-09-08,,,2025-09-09,2,,,,,
IMG_CLT_20250905_01,67,2025-09-05,ef1a:2xLynk:tdm:mChilada,ef1a:2xLynk:tdm:mChilada,2025-09-08,1,X:\abcabc\Aang_Foundation\20250908_mem-mito,,2xCox8A:mSG,,
IMG_CLT_20250902_01,68,2025-09-02,casper/rnf,mem:tdmChilada,2025-09-05,1,,,HC-9 Lifeact:mStayGold,,
