clutch_code,clutch_date,estimated_egg_count,source_system,female_genotype_text,male_genotype_text,notes,female_plasmid_base_code,female_allele,male_plasmid_base_code,male_allele,genotype_base_codes,genotype_allele_codes,genotype_pretty,genotype_cross_label,treatment_plasmids_text,treatment_rnas_text,treatment_proteins_text,treatment_dyes_text
IMG_CLT_20250331_01,2025-03-31,1,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mScarlet3-S2:H2B,,
IMG_CLT_20250403_01,2025-04-03,2,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM036,318,"pDQM005,pDQM036","pDQM005:301,pDQM036:318",pDQM005(301)/pDQM036(318),pDQM005_301_318,,phiC-NLS; phiC,,
IMG_CLT_20250409_01,2025-04-09,2,imaging_backfill,casper/rnf,casper/rnf,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,,,,,,,,2xCox8A:mSG; 2xLynk:mChilada; LAMP1:mSG,,
IMG_CLT_20250411_01,2025-04-11,1,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mScarlet3-S2:H2B,,
IMG_CLT_20250414_01,2025-04-14,1,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mScarlet3-S2:H2B,,
IMG_CLT_20250417_01,2025-04-17,1,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mScarlet3-S2:H2B,,
IMG_CLT_20250418_01,2025-04-18,1,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mScarlet3-S2:H2B,,
IMG_CLT_20250421_01,2025-04-21,3,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mScarlet3-S2:H2B,,
IMG_CLT_20250422_01,2025-04-22,3,imaging_backfill,casper/rnf,casper/rnf,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,,,,,,,ef1a:mGold2s; ef1a:mGold2t,,,
IMG_CLT_20250426_01,2025-04-26,1,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mScarlet3-S2:H2B,,
IMG_CLT_20250428_01,2025-04-28,2,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,ef1a:mGold2s,,,
IMG_CLT_20250429_01,2025-04-29,2,imaging_backfill,membrane Halo,membrane Halo,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",Swinburne,Swinburne,Swinburne,Swinburne,Swinburne,Swinburne:Swinburne,Swinburne(Swinburne),Swinburne_Swinburne,ef1a:mGold2s,,,
IMG_CLT_20250504_01,2025-05-04,1,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mScarlet3-S2:H2B,,
IMG_CLT_20250505_01,2025-05-05,2,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,LAMP1:mSG; 2xLynk:mScarlet3-S2; Vimentin:Halo,,
IMG_CLT_20250506_01,2025-05-06,1,imaging_backfill,casper/rnf,casper/rnf,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,,,,,,,,Lifeact:Halo; 2xLynk:mSG,,
IMG_CLT_20250507_01,2025-05-07,2,imaging_backfill,casper/rnf,casper/rnf,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,,,,,,,,2xLynk:mChilada; 2xLynk:mSG,,
IMG_CLT_20250508_01,2025-05-08,2,imaging_backfill,casper/rnf,casper/rnf,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,,,,,,,,2xLynk:mChilada; 2xLynk:mSG; Lifeact:Halo,,
IMG_CLT_20250512_01,2025-05-12,1,imaging_backfill,,,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,,,,,,,,phiC-NLS,,
IMG_CLT_20250513_01,2025-05-13,1,imaging_backfill,,,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,,,,,,,,phiC-NLS,,
IMG_CLT_20250514_01,2025-05-14,1,imaging_backfill,,,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,,,,,,,,phiC-NLS,,
IMG_CLT_20250520_01,2025-05-20,1,imaging_backfill,Dennis (F2 of allele 318),Abe (F2 of allele 309),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM036,318,pDQM034,309,"pDQM034,pDQM036","pDQM036:318,pDQM034:309",pDQM036(318)/pDQM034(309),pDQM034_309_318,,phiC-NLS,,
