roi_dir,slug,mother_fish_manual,father_fish_manual,injection type,injection plasmid
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish4/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish4/roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish5/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish6/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish6/roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi3,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi3,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish9/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250528_skittlez/fish1/roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250528_skittlez/fish1/roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250620_mitomSG/fish1_roi1,mitomSG,pDQM005(302),pDQM005(302),mRNA,MGCO-01
/clusterfs/vast/abcabc/Korra_Foundation/20250625_skittlez/fish1_roi1,skittlez,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250625_skittlez/fish1_roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250625_skittlez/fish3_roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250625_skittlez/fish4_roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250625_skittlez/fish5_roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250625_skittlez/fish5_roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250625_skittlez/fish7_roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250625_skittlez/fish8_roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250625_skittlez/fish8_roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250625_skittlez/fish9_roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish10_roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish1_roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish1_roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish1_roi3,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish2_roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish3_roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish4_roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish4_roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish5_roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish7_roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish8_roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish9_roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250724_mem-mchilada_er-mSG/fish1_24hpf/roi1,mem-mchilada_er-mSG,pDQM082,casper,mRNA,"MGCO-01, MGC)-04"
/clusterfs/vast/abcabc/Korra_Foundation/20250724_mem-mchilada_er-mSG/fish1_24hpf/roi1_2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250724_mem-mchilada_er-mSG/fish1_24hpf/roi1_3,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250724_mem-mchilada_er-mSG/fish1_24hpf/roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250801_mem-histone/fish1_roi1,mem_histone,pDQM005(302),pDQM133(304),NA,NA
/clusterfs/vast/abcabc/Korra_Foundation/20251007_mem-histone/fish1_48hpf_roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20251007_mem-histone/fish1_48hpf_roi1_test,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20251007_mem-histone/fish1_48hpf_roi1test,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20251007_mem-histone/fish3_48hpf_roi1,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20251007_mem-histone/fish3_48hpf_roi1_test,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20251007_mem-histone/fish3_48hpf_roi2,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20251007_mem-histone/fish3_48hpf_roi2_test,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20251009_skittlez/fish1_roi1,skittlez,,,,
/clusterfs/vast/abcabc/Korra_Foundation/analysis_test/fish1_roi1,,,,,
