roi_dir,bruker_roi_id,plate_date,plate_id_filled,slot_id_filled,roi_index_within_slot,dataset_slug,experiment_folder,fish_id,fish_number,fish_age_hpf,roi_anatomy,roi_tiffs,date_experiment,Date imaged,date_mount,ZF female genotype,ZF male genotype,genotype_base_codes,genotype_allele_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,genotype_marker_fluor_codes,genotype_marker_tag_codes,genotype_marker_localizations,genotype_marker_fusion_labels,all_unique_organelles,all_fluor_organelles,link_source,treatment_plasmid_names_sheet,treatment_rna_names_sheet,treatment_protein_names_sheet,treatment_dye_names_sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi2_tailbud,20250513-plate3-slot6-roi2,20250513,3,6,2,20250513_skittles,20250513_skittles,fish14,14.0,,tailbud,18,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi1,20250513-plate4-slot1-roi1,20250513,4,1,1,20250513_skittles,20250513_skittles,fish15,15.0,,,18,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi2,20250513-plate4-slot1-roi2,20250513,4,1,2,20250513_skittles,20250513_skittles,fish15,15.0,,,18,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi3,20250513-plate4-slot1-roi3,20250513,4,1,3,20250513_skittles,20250513_skittles,fish15,15.0,,,18,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi4,20250513-plate4-slot1-roi4,20250513,4,1,4,20250513_skittles,20250513_skittles,fish15,15.0,,,18,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish16/roi1_brain,20250513-plate4-slot2-roi1,20250513,4,2,1,20250513_skittles,20250513_skittles,fish16,16.0,,brain,18,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi1,20250513-plate4-slot3-roi1,20250513,4,3,1,20250513_skittles,20250513_skittles,fish2,2.0,,,17,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi2,20250513-plate4-slot3-roi2,20250513,4,3,2,20250513_skittles,20250513_skittles,fish2,2.0,,,10,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi1,20250513-plate4-slot4-roi1,20250513,4,4,1,20250513_skittles,20250513_skittles,fish3,3.0,,,72,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi2,20250513-plate4-slot4-roi2,20250513,4,4,2,20250513_skittles,20250513_skittles,fish3,3.0,,,36,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi3,20250513-plate4-slot4-roi3,20250513,4,4,3,20250513_skittles,20250513_skittles,fish3,3.0,,,36,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi4,20250513-plate4-slot4-roi4,20250513,4,4,4,20250513_skittles,20250513_skittles,fish3,3.0,,,36,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi1,20250513-plate4-slot5-roi1,20250513,4,5,1,20250513_skittles,20250513_skittles,fish4,4.0,,,38,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi2,20250513-plate4-slot5-roi2,20250513,4,5,2,20250513_skittles,20250513_skittles,fish4,4.0,,,72,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi3,20250513-plate4-slot5-roi3,20250513,4,5,3,20250513_skittles,20250513_skittles,fish4,4.0,,,36,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi1,20250513-plate4-slot6-roi1,20250513,4,6,1,20250513_skittles,20250513_skittles,fish5,5.0,,,186,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi2,20250513-plate4-slot6-roi2,20250513,4,6,2,20250513_skittles,20250513_skittles,fish5,5.0,,,36,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi3,20250513-plate4-slot6-roi3,20250513,4,6,3,20250513_skittles,20250513_skittles,fish5,5.0,,,36,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi4,20250513-plate4-slot6-roi4,20250513,4,6,4,20250513_skittles,20250513_skittles,fish5,5.0,,,36,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi5,20250513-plate4-slot6-roi5,20250513,4,6,5,20250513_skittles,20250513_skittles,fish5,5.0,,,36,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi6,20250513-plate4-slot6-roi6,20250513,4,6,6,20250513_skittles,20250513_skittles,fish5,5.0,,,36,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi7,20250513-plate4-slot6-roi7,20250513,4,6,7,20250513_skittles,20250513_skittles,fish5,5.0,,,36,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi1,20250513-plate5-slot1-roi1,20250513,5,1,1,20250513_skittles,20250513_skittles,fish6,6.0,,,36,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi2,20250513-plate5-slot1-roi2,20250513,5,1,2,20250513_skittles,20250513_skittles,fish6,6.0,,,36,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi3,20250513-plate5-slot1-roi3,20250513,5,1,3,20250513_skittles,20250513_skittles,fish6,6.0,,,36,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi4,20250513-plate5-slot1-roi4,20250513,5,1,4,20250513_skittles,20250513_skittles,fish6,6.0,,,36,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish7/roi1_ear_brain,20250513-plate5-slot2-roi1,20250513,5,2,1,20250513_skittles,20250513_skittles,fish7,7.0,,ear|brain,72,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish7/roi2_brain,20250513-plate5-slot2-roi2,20250513,5,2,2,20250513_skittles,20250513_skittles,fish7,7.0,,brain,36,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish8/roi1,20250513-plate5-slot3-roi1,20250513,5,3,1,20250513_skittles,20250513_skittles,fish8,8.0,,,48,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish9/roi1,20250513-plate5-slot4-roi1,20250513,5,4,1,20250513_skittles,20250513_skittles,fish9,9.0,,,180,20250513_skittles,2025-05-13,2025-05-13,,,,,,,,,,,,,sheet,,phiC-NLS,,
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish2/roi1,20250520-plate6-slot1-roi1,20250520,6,1,1,20250520_mem_histone,20250520_mem_histone,fish2,2.0,,,2048,20250520_mem_histone,2025-05-20,2025-05-20,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane)|mScarlet3S2(histone),sheet,,mScarlet3-S2:H2B,,
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish2/roi1,20250520-plate6-slot1-roi2,20250520,6,1,2,20250520_mem_histone,20250520_mem_histone,fish2,2.0,,,2048,20250520_mem_histone,2025-05-20,2025-05-20,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane)|mScarlet3S2(histone),sheet,,mScarlet3-S2:H2B,,
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish2/roi1,20250520-plate6-slot1-roi3,20250520,6,1,3,20250520_mem_histone,20250520_mem_histone,fish2,2.0,,,2048,20250520_mem_histone,2025-05-20,2025-05-20,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane)|mScarlet3S2(histone),sheet,,mScarlet3-S2:H2B,,
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish4/roi1_tailbud,20250520-plate6-slot2-roi1,20250520,6,2,1,20250520_mem_histone,20250520_mem_histone,fish4,4.0,,tailbud,266,20250520_mem_histone,2025-05-20,2025-05-20,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane)|mScarlet3S2(histone),sheet,,mScarlet3-S2:H2B,,
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish4/roi1_tailbud,20250520-plate6-slot2-roi2,20250520,6,2,2,20250520_mem_histone,20250520_mem_histone,fish4,4.0,,tailbud,266,20250520_mem_histone,2025-05-20,2025-05-20,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane)|mScarlet3S2(histone),sheet,,mScarlet3-S2:H2B,,
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish4/roi1_tailbud,20250520-plate6-slot2-roi3,20250520,6,2,3,20250520_mem_histone,20250520_mem_histone,fish4,4.0,,tailbud,266,20250520_mem_histone,2025-05-20,2025-05-20,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane)|mScarlet3S2(histone),sheet,,mScarlet3-S2:H2B,,
