roi_dir,dataset_slug,experiment_folder,roi_path_date_yyyymmdd,date_mount,Date imaged,mount_id,plate_date,mount_id_inferred,mount_id_source,plate_id_filled,slot_id_filled,roi_index_within_slot,bruker_roi_id,link_source
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish4/roi1_tailbud_2,20250520_mem_histone,20250520_mem_histone,20250520.0,2025-05-20,2025-05-20,,20250520.0,1.0,inferred,6.0,2.0,5.0,20250520-plate6-slot2-roi5,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish4/roi1_tailbud_2,20250520_mem_histone,20250520_mem_histone,20250520.0,2025-05-20,2025-05-20,,20250520.0,1.0,inferred,6.0,2.0,6.0,20250520-plate6-slot2-roi6,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish5/roi1_tailbud,20250520_mem_histone,20250520_mem_histone,20250520.0,2025-05-20,2025-05-20,,20250520.0,1.0,inferred,6.0,3.0,1.0,20250520-plate6-slot3-roi1,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish5/roi1_tailbud,20250520_mem_histone,20250520_mem_histone,20250520.0,2025-05-20,2025-05-20,,20250520.0,1.0,inferred,6.0,3.0,2.0,20250520-plate6-slot3-roi2,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish5/roi1_tailbud,20250520_mem_histone,20250520_mem_histone,20250520.0,2025-05-20,2025-05-20,,20250520.0,1.0,inferred,6.0,3.0,3.0,20250520-plate6-slot3-roi3,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish2/roi1,20250521_skittles_no-membrane,20250521_skittles_no-membrane,20250521.0,2025-05-21,2025-05-21,,20250521.0,1.0,inferred,7.0,1.0,1.0,20250521-plate7-slot1-roi1,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish2/roi2,20250521_skittles_no-membrane,20250521_skittles_no-membrane,20250521.0,2025-05-21,2025-05-21,,20250521.0,1.0,inferred,7.0,1.0,2.0,20250521-plate7-slot1-roi2,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish3/roi1,20250521_skittles_no-membrane,20250521_skittles_no-membrane,20250521.0,2025-05-21,2025-05-21,,20250521.0,1.0,inferred,7.0,2.0,1.0,20250521-plate7-slot2-roi1,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish4/roi1,20250521_skittles_no-membrane,20250521_skittles_no-membrane,20250521.0,2025-05-21,2025-05-21,,20250521.0,1.0,inferred,7.0,3.0,1.0,20250521-plate7-slot3-roi1,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish4/roi2,20250521_skittles_no-membrane,20250521_skittles_no-membrane,20250521.0,2025-05-21,2025-05-21,,20250521.0,1.0,inferred,7.0,3.0,2.0,20250521-plate7-slot3-roi2,sheet
