plasmid_code,plasmid_name,n_fluors_per_plasmid,fluor,tag,tag_pos
pDQM119,SP6:mBeRFP:H2B,1,mBeRFP,H2B,N
pDQM120,ef1a:linker:mBeRFP:linker-attB,1,mBeRFP,,
pDQM121,ef1a:2xLynk:tdmScarlet3-S2-tol2,1,tdmScarlet3,2xLynk,N
pDQM122,ef1a:skittles 3.5 (2xLynk:mSG-attP-Halo-attP-3FPs),1,mSG,2xLynk,N
pDQM123,ef1a:skittles 3.5 (2xLynk:mSG-attP-Halo-attP-3FPs),1,mSG,2xLynk,N
pDQM124,ef1a:linker:mScarlet3-S2:linker-attB (tol2),1,mScarlet3,,
pDQM125,ef1a:2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B,1,tdmSG,2xLynk,N
pDQM126,ef1a:2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B,1,tdmSG,2xLynk,N
pDQM127,ef1a:skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),1,mSG,2xLynk,N
pDQM128,A2UCOE-ef1a-2xLynk:tdmSG-tol2,1,tdmSG,2xLynk,N
pDQM129,ef1a-extended-2xLynk:tdmSG-tol2,1,tdmSG,2xLynk,N
pDQM131,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),2,tdmSG,dhb,N
pDQM131,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),2,tdmChilada,h2b,C
pDQM132,ef1a-extended::2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B-tol2,1,tdmSG,2xLynk,N
pDQM133,ef1a-extened::tdmScarlet3-S2:H2B-tol2,1,tdmScarlet3,,
pDQM134,A2UCOE-ef1a:2xLynk:tdmSG:tPT2A:tdmScarlet3-S2:H2B-tol2,1,tdmSG,2xLynk,N
pDQM135,A2UCOE-ef1a-2xLynk:tdmSG-tol2,1,tdmSG,2xLynk,N
pDQM136,ef1a-extended:2xLynk:tdmScarlet3-S2-tol2,1,tdmScarlet3,2xLynk,N
pDQM137,ef1a:-extended-skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),1,mSG,2xLynk,N
pDQM138,SP6:2xLynk:mGold2s,1,mGold2s,2xLynk,N
pDQM139,SP6:2xLynk:mGold2t,1,mGold2t,2xLynk,N
pDQM140,ef1a:linker:mGold2s:linker-attB (tol2),1,mGold2s,,
pDQM141,ef1a:linker:mGold2t:linker-attB (tol2),1,mGold2t,,
pDQM142,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmScarlet3-S2-h2b (pCM268),1,tdmSG,dhb,N
pDQM144,ef1a:E2Crimson (iCodon),1,E2Crimson,,
pDQM145,ef1a:mCardinal (iCodon),1,mCardinal,,
pDQM146,ef1a-extended:linker:mScarlet3-S2:linker-attB (tol2),1,mScarlet3,,
pDQM147,ef1a-extended:linker:mStayGold:linker-attB (tol2),1,mStayGold,,
pDQM148,ef1a-extended:linker:mStayGold-c4:linker-attB (tol2),1,mStayGold,,
pDQM149,ef1a-extended:linker:Halo:linker-sv40-he1.1-tagbfp2-attB (tol2),2,Halo,,
pDQM149,ef1a-extended:linker:Halo:linker-sv40-he1.1-tagbfp2-attB (tol2),2,tagbfp2,,
pDQM150,ef1a-extended-mSG:CDT1-tPT2A-mYH:GMN (endogenous),2,mSG,CDT1,C
pDQM150,ef1a-extended-mSG:CDT1-tPT2A-mYH:GMN (endogenous),2,mYH,GMN,C
pDQM151,ef1a-extended-mSG:CDT1 (endogenous),1,mSG,,
pDQM152,A2UCOE-ef1a-extended-skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),1,mSG,2xLynk,N
pDQM153,ef1a-extended::DHB:tdmSG:tPT2A:tdmScarlet3-S2:H2B-tol2,1,tdmSG,DHB,N
pDQM154,ef1a-extened::tdmScarlet3-S2:PCNA-tol2,1,tdmScarlet3,,
pDQM155,ef1a-extended:DHB:tdmSG-tol2,1,tdmSG,DHB,N
pDQM156,A2UCOE-loxP-ef1a-extended-2xLynk:tdmSc3S2-SV40-lox2272-attB-tol2,1,tdmSc3S2,2xLynk,N
pDQM157,A2UCOE-FRT-ef1a-extended-2xLynk:tdmSc3S2-SV40-FRT3-attB-tol2,1,tdmSc3S2,2xLynk,N
