plasmid_code,nickname,resistance,notes
pDQM156,A2UCOE-loxP-ef1a-extended-2xLynk:tdmSc3S2-SV40-lox2272-attB-tol2,Amp,nan
pDQM157,A2UCOE-FRT-ef1a-extended-2xLynk:tdmSc3S2-SV40-FRT3-attB-tol2,Amp,nan
pDQM158,A2UCOE-ef1a-extened::tdmScarlet3-S2:PCNA-tol2,Amp,TBD
pDQM159,A2UCOE-ef1a-extended:DHB:tdmSG-tol2,Amp,TBD
pDQM160,ef1a-extended-tdmScarlet3S2::GMN (endogenous),Amp,clones 1 + 2
pDQM161,loxP-ubb-mSG-h2b-lox2272,Amp,nan
pDQM162,FRT3-ubb-mSG-h2b-FRT,Amp,nan
pDQM163,SP6-SB100x,nan,nan
pDQM164,A2UCOE-ef1a-extended-skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),nan,nan
pDQM165,exorH:mScarlet; hsp:phiC(iC)-NLS,nan,nan
pDQM166,exorH:mScarlet; hsp:phiC(iC)-NLS-tPT2A-2xLynk-mSG-ubb,nan,nan
pDQM167,SB-LTR-loxP-ubb-mSG-h2b-SV40-SB-lox2272-LTR,nan,nan
pDQM168,SB-LTR-FRT-ubb-mSG-h2b-SV40-SB-FRT3-LTR,nan,nan
pDQM169,pTwist-SP6-phiC-ERT2-new,nan,nan
