dataset,legacy_fish_label,imaging_nickname,suggested_fish_code,final_fish_code,notes
aang,fish3_48hpf_roi2,mem-mito,FSH_LEGACY_aang_fish3_48hpf_roi2,FSH_LEGACY_aang_fish3_48hpf_roi2,from imaging_slots_standard_from_legacy
korra,fish8,skittlez,FSH_LEGACY_korra_fish8,FSH_LEGACY_korra_fish8,from imaging_slots_standard_from_legacy
aang,fish_48hpf_roi2,mem-mito,FSH_LEGACY_aang_fish_48hpf_roi2,FSH_LEGACY_aang_fish_48hpf_roi2,from imaging_slots_standard_from_legacy
korra,fish5,skittles,FSH_LEGACY_korra_fish5,FSH_LEGACY_korra_fish5,from imaging_slots_standard_from_legacy
aang,fish1_96hpf_roi1,mem-histone,FSH_LEGACY_aang_fish1_96hpf_roi1,FSH_LEGACY_aang_fish1_96hpf_roi1,from imaging_slots_standard_from_legacy
aang,fish1_24hpf_roi3,mem-halo_er-mSG,FSH_LEGACY_aang_fish1_24hpf_roi3,FSH_LEGACY_aang_fish1_24hpf_roi3,from imaging_slots_standard_from_legacy
korra,fish3_96hpf_roi1,mem-histone,FSH_LEGACY_korra_fish3_96hpf_roi1,FSH_LEGACY_korra_fish3_96hpf_roi1,from imaging_slots_standard_from_legacy
aang,fish10_24hpf_roi1,mem_mito,FSH_LEGACY_aang_fish10_24hpf_roi1,FSH_LEGACY_aang_fish10_24hpf_roi1,from imaging_slots_standard_from_legacy
aang,fish1_72hpf_roi1,mem-mito,FSH_LEGACY_aang_fish1_72hpf_roi1,FSH_LEGACY_aang_fish1_72hpf_roi1,from imaging_slots_standard_from_legacy
korra,fish9,skittlez,FSH_LEGACY_korra_fish9,FSH_LEGACY_korra_fish9,from imaging_slots_standard_from_legacy
korra,fish14_roi3,skittlez,FSH_LEGACY_korra_fish14_roi3,FSH_LEGACY_korra_fish14_roi3,from imaging_slots_standard_from_legacy
aang,mito_roi2,72hpf_mrna_mSG_organelle_LLS-SIM,FSH_LEGACY_aang_mito_roi2,FSH_LEGACY_aang_mito_roi2,from imaging_slots_standard_from_legacy
korra,fish2_48hpf_roi1,mem-histone,FSH_LEGACY_korra_fish2_48hpf_roi1,FSH_LEGACY_korra_fish2_48hpf_roi1,from imaging_slots_standard_from_legacy
aang,fish2_24hpf_roi1,mem-mito,FSH_LEGACY_aang_fish2_24hpf_roi1,FSH_LEGACY_aang_fish2_24hpf_roi1,from imaging_slots_standard_from_legacy
aang,fish1_24hpf_roi6,mem_mito,FSH_LEGACY_aang_fish1_24hpf_roi6,FSH_LEGACY_aang_fish1_24hpf_roi6,from imaging_slots_standard_from_legacy
aang,fish1_48hpf_roi1,mem-mito,FSH_LEGACY_aang_fish1_48hpf_roi1,FSH_LEGACY_aang_fish1_48hpf_roi1,from imaging_slots_standard_from_legacy
aang,fish5_72hpf_roi1,mem-mito,FSH_LEGACY_aang_fish5_72hpf_roi1,FSH_LEGACY_aang_fish5_72hpf_roi1,from imaging_slots_standard_from_legacy
aang,fish3_24hpf_mem-mchilada_mito-mSG,mem_organelle,FSH_LEGACY_aang_fish3_24hpf_mem_mchilada_mito_mSG,FSH_LEGACY_aang_fish3_24hpf_mem_mchilada_mito_mSG,from imaging_slots_standard_from_legacy
korra,fish7_roi2,skittlez,FSH_LEGACY_korra_fish7_roi2,FSH_LEGACY_korra_fish7_roi2,from imaging_slots_standard_from_legacy
korra,fish2_48hpf_roi1-2,mem-histone,FSH_LEGACY_korra_fish2_48hpf_roi1_2,FSH_LEGACY_korra_fish2_48hpf_roi1_2,from imaging_slots_standard_from_legacy
aang,fish2_72hpf_roi4,mem-mito,FSH_LEGACY_aang_fish2_72hpf_roi4,FSH_LEGACY_aang_fish2_72hpf_roi4,from imaging_slots_standard_from_legacy
aang,fish4_24hpf_roi3,mem-mito_v2,FSH_LEGACY_aang_fish4_24hpf_roi3,FSH_LEGACY_aang_fish4_24hpf_roi3,from imaging_slots_standard_from_legacy
korra,fish4_roi1,skittlez,FSH_LEGACY_korra_fish4_roi1,FSH_LEGACY_korra_fish4_roi1,from imaging_slots_standard_from_legacy
korra,fish11_72hpf_roi1,mem-histone,FSH_LEGACY_korra_fish11_72hpf_roi1,FSH_LEGACY_korra_fish11_72hpf_roi1,from imaging_slots_standard_from_legacy
aang,fish6_48hpf_roi2,mem_mito,FSH_LEGACY_aang_fish6_48hpf_roi2,FSH_LEGACY_aang_fish6_48hpf_roi2,from imaging_slots_standard_from_legacy
aang,fish1_24hpf_roi3,mem-mito,FSH_LEGACY_aang_fish1_24hpf_roi3,FSH_LEGACY_aang_fish1_24hpf_roi3,from imaging_slots_standard_from_legacy
korra,fish3_48hpf_roi2,mem-histone,FSH_LEGACY_korra_fish3_48hpf_roi2,FSH_LEGACY_korra_fish3_48hpf_roi2,from imaging_slots_standard_from_legacy
aang,fish2_24hpf_roi1,mem_actin,FSH_LEGACY_aang_fish2_24hpf_roi1,FSH_LEGACY_aang_fish2_24hpf_roi1,from imaging_slots_standard_from_legacy
aang,fish4_24hpf_roi3,mem_histone,FSH_LEGACY_aang_fish4_24hpf_roi3,FSH_LEGACY_aang_fish4_24hpf_roi3,from imaging_slots_standard_from_legacy
korra,fish4,skittlez,FSH_LEGACY_korra_fish4,FSH_LEGACY_korra_fish4,from imaging_slots_standard_from_legacy
aang,fish5_24hpf_roi4,mem-histone,FSH_LEGACY_aang_fish5_24hpf_roi4,FSH_LEGACY_aang_fish5_24hpf_roi4,from imaging_slots_standard_from_legacy
korra,fish5_24hpf_roi1,mem-histone,FSH_LEGACY_korra_fish5_24hpf_roi1,FSH_LEGACY_korra_fish5_24hpf_roi1,from imaging_slots_standard_from_legacy
aang,fish5_24hpf_roi2,mem-peroxi,FSH_LEGACY_aang_fish5_24hpf_roi2,FSH_LEGACY_aang_fish5_24hpf_roi2,from imaging_slots_standard_from_legacy
aang,fish4_48hpf_roi6,mem_mito,FSH_LEGACY_aang_fish4_48hpf_roi6,FSH_LEGACY_aang_fish4_48hpf_roi6,from imaging_slots_standard_from_legacy
korra,fish1_mem_sg_mito_msc3,mem_organelle,FSH_LEGACY_korra_fish1_mem_sg_mito_msc3,FSH_LEGACY_korra_fish1_mem_sg_mito_msc3,from imaging_slots_standard_from_legacy
aang,fish3_24hpf_roi2,mem-mito,FSH_LEGACY_aang_fish3_24hpf_roi2,FSH_LEGACY_aang_fish3_24hpf_roi2,from imaging_slots_standard_from_legacy
korra,fish3_48hpf_roi2,mem-mito,FSH_LEGACY_korra_fish3_48hpf_roi2,FSH_LEGACY_korra_fish3_48hpf_roi2,from imaging_slots_standard_from_legacy
aang,fish2_72hpf_roi1,mem-histone,FSH_LEGACY_aang_fish2_72hpf_roi1,FSH_LEGACY_aang_fish2_72hpf_roi1,from imaging_slots_standard_from_legacy
aang,fish3_72hpf_roi11,mem-mito,FSH_LEGACY_aang_fish3_72hpf_roi11,FSH_LEGACY_aang_fish3_72hpf_roi11,from imaging_slots_standard_from_legacy
korra,fish3_72hpf_roi5,mem-histone,FSH_LEGACY_korra_fish3_72hpf_roi5,FSH_LEGACY_korra_fish3_72hpf_roi5,from imaging_slots_standard_from_legacy
aang,fish2_24hpf_roi2,mem-mito,FSH_LEGACY_aang_fish2_24hpf_roi2,FSH_LEGACY_aang_fish2_24hpf_roi2,from imaging_slots_standard_from_legacy
aang,fish3_24hpf_roi1,mito_mem-halo,FSH_LEGACY_aang_fish3_24hpf_roi1,FSH_LEGACY_aang_fish3_24hpf_roi1,from imaging_slots_standard_from_legacy
aang,fish1_24hpf_roi1_test,nuclear_envelope,FSH_LEGACY_aang_fish1_24hpf_roi1_test,FSH_LEGACY_aang_fish1_24hpf_roi1_test,from imaging_slots_standard_from_legacy
aang,fish1_120hpf_roi2,mem-histone,FSH_LEGACY_aang_fish1_120hpf_roi2,FSH_LEGACY_aang_fish1_120hpf_roi2,from imaging_slots_standard_from_legacy
korra,fish6_roi1,skittlez,FSH_LEGACY_korra_fish6_roi1,FSH_LEGACY_korra_fish6_roi1,from imaging_slots_standard_from_legacy
aang,fish2_24hpf_roi1,mito_mem-halo,FSH_LEGACY_aang_fish2_24hpf_roi1,FSH_LEGACY_aang_fish2_24hpf_roi1,from imaging_slots_standard_from_legacy
korra,fish1_48hpf_roi1,mem-histone,FSH_LEGACY_korra_fish1_48hpf_roi1,FSH_LEGACY_korra_fish1_48hpf_roi1,from imaging_slots_standard_from_legacy
aang,fish2_24hpf_roi2,mem-halo_er-mSG,FSH_LEGACY_aang_fish2_24hpf_roi2,FSH_LEGACY_aang_fish2_24hpf_roi2,from imaging_slots_standard_from_legacy
korra,fish1,mem_histone,FSH_LEGACY_korra_fish1,FSH_LEGACY_korra_fish1,from imaging_slots_standard_from_legacy
aang,fish3_48hpf_roi1,mem-mito,FSH_LEGACY_aang_fish3_48hpf_roi1,FSH_LEGACY_aang_fish3_48hpf_roi1,from imaging_slots_standard_from_legacy
korra,fish1,skittles,FSH_LEGACY_korra_fish1,FSH_LEGACY_korra_fish1,from imaging_slots_standard_from_legacy
aang,fish1_24hpf_roi2,mem_mito,FSH_LEGACY_aang_fish1_24hpf_roi2,FSH_LEGACY_aang_fish1_24hpf_roi2,from imaging_slots_standard_from_legacy
aang,fish3_24hpf_roi2,mem_mito,FSH_LEGACY_aang_fish3_24hpf_roi2,FSH_LEGACY_aang_fish3_24hpf_roi2,from imaging_slots_standard_from_legacy
korra,fish10_roi1,skittlez,FSH_LEGACY_korra_fish10_roi1,FSH_LEGACY_korra_fish10_roi1,from imaging_slots_standard_from_legacy
korra,fish12_roi2,skittlez,FSH_LEGACY_korra_fish12_roi2,FSH_LEGACY_korra_fish12_roi2,from imaging_slots_standard_from_legacy
