plate_code,slot_code,roi_code,roi_index,roi_name,roi_dir,date_imaged,notes
aang_20251007_mem_histone_mem_histone,fish2_48hpf_roi2,fish2_48hpf_roi2,5,fish2_48hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish2_48hpf_roi2,9/26/25,
korra_20250618_skittlez_skittlez,fish8_roi2,fish8_roi2,1,fish8_roi2,/clusterfs/vast/abcabc/Korra_Foundation/20250618_skittlez/fish8_roi2,6/27/25,
aang_20251106_mem_mito_mem_mito,fish2_48hpf_roi4,fish2_48hpf_roi4,4,fish2_48hpf_roi4,/clusterfs/vast/abcabc/Aang_Foundation/20251106_mem-mito/fish2_48hpf_roi4,9/26/25,
aang_20251023_mem_mito_mem_mito,fish1_24hpf_roi1,fish1_24hpf_roi1,19,fish1_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251023_mem-mito/fish1_24hpf_roi1,9/8/25,
aang_20251006_mem_histone_mem_histone,fish3_24hpf_roi1,fish3_24hpf_roi1,7,fish3_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish3_24hpf_roi1,,
korra_20250605_skittlez_skittlez,fish9_roi1,fish9_roi1,3,fish9_roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish9_roi1,6/6/25,
aang_20250722_mem_halo_er_mSG_mem_halo_er_mSG,fish1_24hpf_roi1,fish1_24hpf_roi1,1,fish1_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi1,9/8/25,
aang_20250908_mem_mito_mem_mito,fish1_24hpf_roi3,fish1_24hpf_roi3,7,fish1_24hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish1_24hpf_roi3,9/8/25,
aang_20251021_mem_mito_v2_mem_mito_v2,fish2_24hpf_roi1,fish2_24hpf_roi1,14,fish2_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251021_mem-mito_v2/fish2_24hpf_roi1,9/8/25,
aang_20250911_mem_mito_mem_mito,fish1_48hpf_roi1,fish1_48hpf_roi1,2,fish1_48hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250911_mem-mito/fish1_48hpf_roi1,9/26/25,
aang_20250919_mem_mito_mem_mito,fish2_24hpf_roi1,fish2_24hpf_roi1,10,fish2_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250919_mem-mito/fish2_24hpf_roi1,9/8/25,
korra_20250522_skittlez_skittlez,fish3,roi1,6,roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi1,5/28/25,
korra_20250513_skittles_skittles,fish12,roi3,3,roi3,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi3,5/13/25,
korra_20250605_skittlez_skittlez,fish10_roi1,fish10_roi1,3,fish10_roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish10_roi1,6/5/25,
korra_20251020_mem_histone_mem_histone,fish2_72hpf_roi2,fish2_72hpf_roi2,2,fish2_72hpf_roi2,/clusterfs/vast/abcabc/Korra_Foundation/20251020_mem-histone/fish2_72hpf_roi2,10/24/25,
aang_20250922_mem_mito_mem_mito,fish1_72hpf_roi2,fish1_72hpf_roi2,4,fish1_72hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250922_mem-mito/fish1_72hpf_roi2,9/22/25,
aang_20250917_mem_mito_mem_mito,fish3_48hpf_roi1,fish3_48hpf_roi1,3,fish3_48hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish3_48hpf_roi1,9/26/25,
aang_20251001_mem_histone_mem_histone,fish4_24hpf_roi1,fish4_24hpf_roi1,6,fish4_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251001_mem-histone/fish4_24hpf_roi1,9/8/25,
aang_20250922_mem_mito_mem_mito,fish1_72hpf_roi5,fish1_72hpf_roi5,3,fish1_72hpf_roi5,/clusterfs/vast/abcabc/Aang_Foundation/20250922_mem-mito/fish1_72hpf_roi5,9/22/25,
aang_20251105_mem_mito_mem_mito,fish3_24hpf_roi1,fish3_24hpf_roi1,11,fish3_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251105_mem-mito/fish3_24hpf_roi1,11/5/25,
aang_20250808_mem_organelle_mem_organelle,fish2_24hpf_mem_mchilada_lyso_mSG,roi3,3,roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish2_24hpf_mem-mchilada_lyso-mSG/roi3,8/8/25,
aang_20251106_mem_mito_mem_mito,fish2_48hpf_roi2,fish2_48hpf_roi2,6,fish2_48hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251106_mem-mito/fish2_48hpf_roi2,9/26/25,
aang_20251107_mem_mito_mem_mito,fish6_24hpf_roi2,fish6_24hpf_roi2,8,fish6_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-mito/fish6_24hpf_roi2,9/8/25,
korra_20250513_skittles_skittles,fish2,roi1,1,roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi1,5/28/25,
aang_20250819_mem_ER_mem_ER,fish2_24hpf_roi3,fish2_24hpf_roi3,3,fish2_24hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250819_mem_ER/fish2_24hpf_roi3,9/8/25,
korra_20250522_skittlez_skittlez,fish6,roi1,5,roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish6/roi1,5/22/25,
