legacy_pair_id,cross_run_code,dataset,clutch_code,clutch_date,n_embryos,notes
3917aed2-f257-45d4-a287-f1e44e953efd,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle:clutch:5/28/25,5/28/25,,
bcc7dcd1-2dc1-43dc-8942-d9ba1067a487,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/20/25,10/20/25,,
bb2a9aea-98a0-43c5-b990-a45c557478c4,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxef1a:2xLynk:tdmChilada_(F1_of_al,aang,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:9/18/25,9/18/25,,
085520c2-fe20-498c-9d12-9ec18a641001,LEGACY:aang:membrane_mChiladaxmembrane_mChilada,aang,LEGACY:aang:membrane_mChiladaxmembrane_mChilada:clutch:8/8/25,8/8/25,,
2c0b5ff1-1c2c-4f7b-8d19-2ff90638270e,LEGACY:aang:casperxef1a:2xLynk:tdmChilada_(F1_of_al,aang,LEGACY:aang:casperxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:11/6/25,11/6/25,,
5289a823-30b2-4758-a70e-40cf8e449d80,LEGACY:aang:casper/rnfxmem:tdmChilada,aang,LEGACY:aang:casper/rnfxmem:tdmChilada:clutch:8/19/25,8/19/25,,
ac61d244-2899-400c-949e-6db7273d86eb,LEGACY:aang:casper/rnfxtdmScarlet3S2_(F1_of_allele_325),aang,LEGACY:aang:casper/rnfxtdmScarlet3S2_(F1_of_allele_325):clutch:10/21/25,10/21/25,,
81933a40-5a3c-455f-8df3-8f2cccaf67e5,LEGACY:korra:casperxmemrane_tdmScarlet3S2_(F1_of_all,korra,LEGACY:korra:casperxmemrane_tdmScarlet3S2_(F1_of_all:clutch:11/12/25,11/12/25,,
be9ebd22-64f9-42f1-8a62-66e81d348ce0,LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al,aang,LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/13/25,10/13/25,,
736e6a61-5c78-4c67-9546-f799ce548ec7,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle:clutch:6/16/25,6/16/25,,
bb2a9aea-98a0-43c5-b990-a45c557478c4,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxef1a:2xLynk:tdmChilada_(F1_of_al,aang,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:9/11/25,9/11/25,,
5289a823-30b2-4758-a70e-40cf8e449d80,LEGACY:aang:casper/rnfxmem:tdmChilada,aang,LEGACY:aang:casper/rnfxmem:tdmChilada:clutch:8/21/25,8/21/25,,
8c15816f-0a64-4bf9-909c-7306330a969c,LEGACY:korra:NaNxNaN,korra,LEGACY:korra:NaNxNaN:clutch:NaN,,,
c8c0cf48-3905-43a6-aef6-5e9d03796ff3,LEGACY:aang:ef1a:2xLynk:tdm:mChiladaxef1a:2xLynk:tdm:mChilada,aang,LEGACY:aang:ef1a:2xLynk:tdm:mChiladaxef1a:2xLynk:tdm:mChilada:clutch:9/8/25,9/8/25,,
3917aed2-f257-45d4-a287-f1e44e953efd,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle:clutch:5/30/25,5/30/25,,
23f2a174-0828-4b90-af39-d17dbc36b3fe,LEGACY:aang:casper/rnfxfrom_Swinburne_lab_-_tank_ID_344,aang,LEGACY:aang:casper/rnfxfrom_Swinburne_lab_-_tank_ID_344:clutch:9/24/25,9/24/25,,
5ae90338-71a9-47cd-bade-22fa30a64a82,LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allexef1a:2xLynk:tdmSG(J)_(F1_of_alle,aang,LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allexef1a:2xLynk:tdmSG(J)_(F1_of_alle:clutch:10/6/25,10/6/25,,
21790f58-fdca-4657-a113-754eac017bb8,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxcasper/rnf,aang,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxcasper/rnf:clutch:10/22/25,10/22/25,,
da6b5c4f-5e98-4862-8353-dfcbab6f3862,LEGACY:aang:casper/rnfxmemrane_tdmScarlet3S2_(F1_of_all,aang,LEGACY:aang:casper/rnfxmemrane_tdmScarlet3S2_(F1_of_all:clutch:10/29/25,10/29/25,,
4fd0f90e-cc6d-4975-8fac-877e84047e82,LEGACY:korra:Dennis_(F2_of_allele_318)xAbe_(F2_of_allele_309),korra,LEGACY:korra:Dennis_(F2_of_allele_318)xAbe_(F2_of_allele_309):clutch:6/12/25,6/12/25,,
bb2a9aea-98a0-43c5-b990-a45c557478c4,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxef1a:2xLynk:tdmChilada_(F1_of_al,aang,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:9/12/25,9/12/25,,
a4d495b0-bd80-40b1-8df6-e2423a6e8b42,LEGACY:aang:casper/rnfxef1a:2xLynk:tdmChilada_(F1_of_al,aang,LEGACY:aang:casper/rnfxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:8/27/25,8/27/25,,
bcc7dcd1-2dc1-43dc-8942-d9ba1067a487,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/13/25,10/13/25,,
069af4a2-47a4-4f77-b395-012410322af2,LEGACY:korra:Jim_(F2_of_allele_316)xBen_(F2_of_allele_310),korra,LEGACY:korra:Jim_(F2_of_allele_316)xBen_(F2_of_allele_310):clutch:6/27/25,6/27/25,,
5289a823-30b2-4758-a70e-40cf8e449d80,LEGACY:aang:casper/rnfxmem:tdmChilada,aang,LEGACY:aang:casper/rnfxmem:tdmChilada:clutch:9/5/25,9/5/25,,
bf3287af-a9a1-437d-8646-8f7abd532e1d,LEGACY:korra:membrane_mChiladaxmembrane_mChilada,korra,LEGACY:korra:membrane_mChiladaxmembrane_mChilada:clutch:7/24/25,7/24/25,,
55b0933f-4d71-42f1-adfd-08f070a05478,LEGACY:aang:membrane_Haloxmembrane_Halo,aang,LEGACY:aang:membrane_Haloxmembrane_Halo:clutch:8/5/25,8/5/25,,
93b05823-1c0d-484a-9b06-bd34a859c53e,LEGACY:korra:casper/rnfxef1a:2xLynk:tdmSG(J)_(F2_of_alle,korra,LEGACY:korra:casper/rnfxef1a:2xLynk:tdmSG(J)_(F2_of_alle:clutch:6/2/25,6/2/25,,
bcc7dcd1-2dc1-43dc-8942-d9ba1067a487,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/10/25,10/10/25,,
736e6a61-5c78-4c67-9546-f799ce548ec7,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle:clutch:8/1/25,8/1/25,,
736e6a61-5c78-4c67-9546-f799ce548ec7,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle:clutch:5/20/25,5/20/25,,
fdfbdd9d-f724-4cd3-a659-42b94a1b0577,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/24/25,10/24/25,,
736e6a61-5c78-4c67-9546-f799ce548ec7,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle:clutch:7/28/25,7/28/25,,
55b0933f-4d71-42f1-adfd-08f070a05478,LEGACY:aang:membrane_Haloxmembrane_Halo,aang,LEGACY:aang:membrane_Haloxmembrane_Halo:clutch:7/22/25,7/22/25,,
137f4804-aa49-4ca0-a613-aab3214cb31b,LEGACY:aang:casper/rnfxef1a-extended:2xLynk:tdmScarlet3,aang,LEGACY:aang:casper/rnfxef1a-extended:2xLynk:tdmScarlet3:clutch:9/4/25,9/4/25,,
21790f58-fdca-4657-a113-754eac017bb8,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxcasper/rnf,aang,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxcasper/rnf:clutch:10/9/25,10/9/25,,
fdfbdd9d-f724-4cd3-a659-42b94a1b0577,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/22/25,10/22/25,,
a4d495b0-bd80-40b1-8df6-e2423a6e8b42,LEGACY:aang:casper/rnfxef1a:2xLynk:tdmChilada_(F1_of_al,aang,LEGACY:aang:casper/rnfxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:10/23/25,10/23/25,,
d34f0845-f455-480a-9b3d-ef4c5bb2c0c8,LEGACY:aang:NaNxef1a:2xLynk:tdm:Halo,aang,LEGACY:aang:NaNxef1a:2xLynk:tdm:Halo:clutch:9/15/25,9/15/25,,
736e6a61-5c78-4c67-9546-f799ce548ec7,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle:clutch:7/15/25,7/15/25,,
736e6a61-5c78-4c67-9546-f799ce548ec7,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle:clutch:4/28/25,4/28/25,,
bb2a9aea-98a0-43c5-b990-a45c557478c4,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxef1a:2xLynk:tdmChilada_(F1_of_al,aang,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:9/16/25,9/16/25,,
7c1e745a-08c8-4d71-859a-25013d6f5636,LEGACY:korra:Jim_(F2_of_allele_316)xDennis_(F2_of_allele_318),korra,LEGACY:korra:Jim_(F2_of_allele_316)xDennis_(F2_of_allele_318):clutch:6/13/25,6/13/25,,
a62b4a8b-e21c-482e-8591-0c283f0a8d2b,LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al,aang,LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/14/25,10/14/25,,
da6b5c4f-5e98-4862-8353-dfcbab6f3862,LEGACY:aang:casper/rnfxmemrane_tdmScarlet3S2_(F1_of_all,aang,LEGACY:aang:casper/rnfxmemrane_tdmScarlet3S2_(F1_of_all:clutch:10/28/25,10/28/25,,
fdfbdd9d-f724-4cd3-a659-42b94a1b0577,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/27/25,10/27/25,,
72a4146d-555f-4764-947b-e51fc891d513,LEGACY:aang:casper/rnfxcasper/rnf,aang,LEGACY:aang:casper/rnfxcasper/rnf:clutch:10/17/25,10/17/25,,
55b0933f-4d71-42f1-adfd-08f070a05478,LEGACY:aang:membrane_Haloxmembrane_Halo,aang,LEGACY:aang:membrane_Haloxmembrane_Halo:clutch:8/6/25,8/6/25,,
085520c2-fe20-498c-9d12-9ec18a641001,LEGACY:aang:membrane_mChiladaxmembrane_mChilada,aang,LEGACY:aang:membrane_mChiladaxmembrane_mChilada:clutch:7/22/25,7/22/25,,
736e6a61-5c78-4c67-9546-f799ce548ec7,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle:clutch:6/9/25,6/9/25,,
bcc7dcd1-2dc1-43dc-8942-d9ba1067a487,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:11/10/25,11/10/25,,
39e60041-6ce1-45f4-a52e-a55f1828b20f,LEGACY:korra:casper/rnfxcasper/rnf,korra,LEGACY:korra:casper/rnfxcasper/rnf:clutch:10/17/25,10/17/25,,
fdfbdd9d-f724-4cd3-a659-42b94a1b0577,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/16/25,10/16/25,,
63fe6616-f7ad-48e6-863d-33510afd9be8,LEGACY:korra:Liam_(F2_of_allele_321)xChris_(F1_of_allele_317),korra,LEGACY:korra:Liam_(F2_of_allele_321)xChris_(F1_of_allele_317):clutch:6/24/25,6/24/25,,
a4d495b0-bd80-40b1-8df6-e2423a6e8b42,LEGACY:aang:casper/rnfxef1a:2xLynk:tdmChilada_(F1_of_al,aang,LEGACY:aang:casper/rnfxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:9/26/25,9/26/25,,
4fd0f90e-cc6d-4975-8fac-877e84047e82,LEGACY:korra:Dennis_(F2_of_allele_318)xAbe_(F2_of_allele_309),korra,LEGACY:korra:Dennis_(F2_of_allele_318)xAbe_(F2_of_allele_309):clutch:5/21/25,5/21/25,,
34dab0e2-51c4-476a-af5f-023e61ad13b7,LEGACY:korra:membrane_Haloxmembrane_Halo,korra,LEGACY:korra:membrane_Haloxmembrane_Halo:clutch:7/23/25,7/23/25,,
8c15816f-0a64-4bf9-909c-7306330a969c,LEGACY:korra:NaNxNaN,korra,LEGACY:korra:NaNxNaN:clutch:5/28/25,5/28/25,,
5289a823-30b2-4758-a70e-40cf8e449d80,LEGACY:aang:casper/rnfxmem:tdmChilada,aang,LEGACY:aang:casper/rnfxmem:tdmChilada:clutch:8/26/25,8/26/25,,
069af4a2-47a4-4f77-b395-012410322af2,LEGACY:korra:Jim_(F2_of_allele_316)xBen_(F2_of_allele_310),korra,LEGACY:korra:Jim_(F2_of_allele_316)xBen_(F2_of_allele_310):clutch:6/6/25,6/6/25,,
5289a823-30b2-4758-a70e-40cf8e449d80,LEGACY:aang:casper/rnfxmem:tdmChilada,aang,LEGACY:aang:casper/rnfxmem:tdmChilada:clutch:9/3/25,9/3/25,,
fa7ff40e-0306-43e3-85ad-f20e3aec1c89,LEGACY:aang:NaNxNaN,aang,LEGACY:aang:NaNxNaN:clutch:NaN,,,
be9ebd22-64f9-42f1-8a62-66e81d348ce0,LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al,aang,LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/1/25,10/1/25,,
21790f58-fdca-4657-a113-754eac017bb8,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxcasper/rnf,aang,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxcasper/rnf:clutch:10/14/25,10/14/25,,
be9ebd22-64f9-42f1-8a62-66e81d348ce0,LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al,aang,LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/20/25,10/20/25,,
b754a1dc-9cd4-4078-88f1-79d2c1276405,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allexef1a:2xLynk:tdmSG(J)_(F1_of_alle,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allexef1a:2xLynk:tdmSG(J)_(F1_of_alle:clutch:10/7/25,10/7/25,,
63fe6616-f7ad-48e6-863d-33510afd9be8,LEGACY:korra:Liam_(F2_of_allele_321)xChris_(F1_of_allele_317),korra,LEGACY:korra:Liam_(F2_of_allele_321)xChris_(F1_of_allele_317):clutch:6/3/25,6/3/25,,
736e6a61-5c78-4c67-9546-f799ce548ec7,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle:clutch:4/29/25,4/29/25,,
190dcab1-5ce7-4832-9997-2d3145571722,LEGACY:korra:casperxef1a:2xLynk:tdmChilada_(F1_of_al,korra,LEGACY:korra:casperxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:11/5/25,11/5/25,,
4fd0f90e-cc6d-4975-8fac-877e84047e82,LEGACY:korra:Dennis_(F2_of_allele_318)xAbe_(F2_of_allele_309),korra,LEGACY:korra:Dennis_(F2_of_allele_318)xAbe_(F2_of_allele_309):clutch:6/19/25,6/19/25,,
21790f58-fdca-4657-a113-754eac017bb8,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxcasper/rnf,aang,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxcasper/rnf:clutch:10/16/25,10/16/25,,
2c0b5ff1-1c2c-4f7b-8d19-2ff90638270e,LEGACY:aang:casperxef1a:2xLynk:tdmChilada_(F1_of_al,aang,LEGACY:aang:casperxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:11/5/25,11/5/25,,
23f2a174-0828-4b90-af39-d17dbc36b3fe,LEGACY:aang:casper/rnfxfrom_Swinburne_lab_-_tank_ID_344,aang,LEGACY:aang:casper/rnfxfrom_Swinburne_lab_-_tank_ID_344:clutch:9/25/25,9/25/25,,
3917aed2-f257-45d4-a287-f1e44e953efd,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle:clutch:5/23/25,5/23/25,,
21790f58-fdca-4657-a113-754eac017bb8,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxcasper/rnf,aang,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxcasper/rnf:clutch:10/21/25,10/21/25,,
