parent_fish_name,raw_plasmid_base_code,norm_plasmid_base_code,allele_nickname,n_matching_alleles,n_matching_fish,mapped_fish_id,mapped_fish_code
memrane tdmScarlet3S2 (F1 of allele 325),pDQM136,PDQM-136,325,1,6,0440d41b-8386-42fd-b052-1a93201c2e2e,FSH-0440d41b
from Swinburne lab - tank ID 344 (F1 of allele 45385),Swinburne,SWINBURNE,Swinburne,0,0,,
ef1a:2xLynk:tdm:Halo,Swinburne,SWINBURNE,Swinburne,0,0,,
tdmScarlet3S2 (F2 of allele 325),pDQM136,PDQM-136,325,1,6,0440d41b-8386-42fd-b052-1a93201c2e2e,FSH-0440d41b
mem:tdmChilada,pDQM082,PDQM-82,315,1,7,2301c20e-c275-49fe-8b10-308fb2662f6d,FSH-2301c20e
ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),pDQM136,PDQM-136,325,1,6,0440d41b-8386-42fd-b052-1a93201c2e2e,FSH-0440d41b
ef1a:2xLynk:tdmSG(J) (F1 of allele 305),pDQM005,PDQM-5,305,1,2,44adf6f7-422d-4c8e-a395-e16341fa5b82,FSH-44adf6f7
ef1a:2xLynk:tdmSG(J) (F1 of allele 308),pDQM005,PDQM-5,308,1,1,e138a613-4a9d-4f61-91fd-d456f04ddf37,FSH-e138a613
memrane tdmScarlet3S2 (F1 of allele 327),pDQM136,PDQM-136,327,1,2,8bb7e9ad-3b8b-448a-80e5-8f9feb1d908e,FSH-8bb7e9ad
ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),pDQM036,PDQM-36,318,1,3,3847a8c3-37b3-465c-bc1c-89868530a3dd,FSH-3847a8c3
Abe (F2 of allele 309),pDQM034,PDQM-34,309,1,3,a1c68fb5-ba84-44af-8dea-b066f0303e1f,FSH-a1c68fb5
Isaac (F2 of allele 314),pDQM064,PDQM-64,314,0,0,,
Chris (F1 of allele 317),pDQM034,PDQM-34,317,1,2,6703f1ec-33f0-4dab-9dfa-b7c4d7bdaeff,FSH-6703f1ec
ef1a:2xLynk:tdmSG(J) (F1 of allele 304),pDQM005,PDQM-5,304,1,1,aa10b25b-b90e-4d35-b5f0-7155c19def6c,FSH-aa10b25b
ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 317),pDQM034,PDQM-34,317,1,2,6703f1ec-33f0-4dab-9dfa-b7c4d7bdaeff,FSH-6703f1ec
tandem mem:mStayGold; tdmChilada:Histone,"pDQM005, pDQM104","PDQM005, PDQM104","301, n/a",0,0,,
tandem mem:mStayGold; tdmChilada(MAGPV):Histone,"pDQM005, pDQM104","PDQM005, PDQM104","301, n/a",0,0,,
