date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,dataset_slug_raw,dataset_slug_norm,roi_path_date_yyyymmdd,experiment_folder,fish_folder,roi_folder,fish_number,fish_id,fish_age_token,fish_age_hpf,roi_index_token,roi_index,fish_nickname,roi_anatomy_tokens,roi_anatomy,dataset_slug,sheet_slug_norm,date_mount_yyyymmdd,Data location,ZF female genotype,ZF male genotype,additional plasmids injected,additional mRNAs injected,additonal proteins injected,additonal dye and chemicals,link_source,plate_date,mount_id_inferred,mount_id_source,plate_key,plate_id_filled,slot_id_filled,roi_index_within_slot,bruker_roi_id
20250513_skittles,fish3,roi1,roi1,72.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi1,korra,korra,korra,20250513,20250513_skittles,fish3,roi1,3.0,fish3,,,roi1,1.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,6,1,20250513-plate3-slot6-roi1
20250513_skittles,fish3,roi2,roi2,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi2,korra,korra,korra,20250513,20250513_skittles,fish3,roi2,3.0,fish3,,,roi2,2.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,6,2,20250513-plate3-slot6-roi2
20250513_skittles,fish3,roi3,roi3,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi3,korra,korra,korra,20250513,20250513_skittles,fish3,roi3,3.0,fish3,,,roi3,3.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,6,3,20250513-plate3-slot6-roi3
20250513_skittles,fish3,roi4,roi4,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi4,korra,korra,korra,20250513,20250513_skittles,fish3,roi4,3.0,fish3,,,roi4,4.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,6,4,20250513-plate3-slot6-roi4
20250513_skittles,fish4,roi1,roi1,38.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi1,korra,korra,korra,20250513,20250513_skittles,fish4,roi1,4.0,fish4,,,roi1,1.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,1,1,20250513-plate4-slot1-roi1
20250513_skittles,fish4,roi2,roi2,72.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi2,korra,korra,korra,20250513,20250513_skittles,fish4,roi2,4.0,fish4,,,roi2,2.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,1,2,20250513-plate4-slot1-roi2
20250513_skittles,fish4,roi3,roi3,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi3,korra,korra,korra,20250513,20250513_skittles,fish4,roi3,4.0,fish4,,,roi3,3.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,1,3,20250513-plate4-slot1-roi3
20250513_skittles,fish5,roi1,roi1,186.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi1,korra,korra,korra,20250513,20250513_skittles,fish5,roi1,5.0,fish5,,,roi1,1.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,2,1,20250513-plate4-slot2-roi1
20250513_skittles,fish5,roi2,roi2,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi2,korra,korra,korra,20250513,20250513_skittles,fish5,roi2,5.0,fish5,,,roi2,2.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,2,2,20250513-plate4-slot2-roi2
20250513_skittles,fish5,roi3,roi3,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi3,korra,korra,korra,20250513,20250513_skittles,fish5,roi3,5.0,fish5,,,roi3,3.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,2,3,20250513-plate4-slot2-roi3
20250513_skittles,fish5,roi4,roi4,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi4,korra,korra,korra,20250513,20250513_skittles,fish5,roi4,5.0,fish5,,,roi4,4.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,2,4,20250513-plate4-slot2-roi4
20250513_skittles,fish5,roi5,roi5,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi5,korra,korra,korra,20250513,20250513_skittles,fish5,roi5,5.0,fish5,,,roi5,5.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,2,5,20250513-plate4-slot2-roi5
20250513_skittles,fish5,roi6,roi6,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi6,korra,korra,korra,20250513,20250513_skittles,fish5,roi6,5.0,fish5,,,roi6,6.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,2,6,20250513-plate4-slot2-roi6
20250513_skittles,fish5,roi7,roi7,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi7,korra,korra,korra,20250513,20250513_skittles,fish5,roi7,5.0,fish5,,,roi7,7.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,2,7,20250513-plate4-slot2-roi7
20250513_skittles,fish6,roi1,roi1,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi1,korra,korra,korra,20250513,20250513_skittles,fish6,roi1,6.0,fish6,,,roi1,1.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,3,1,20250513-plate4-slot3-roi1
20250513_skittles,fish6,roi2,roi2,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi2,korra,korra,korra,20250513,20250513_skittles,fish6,roi2,6.0,fish6,,,roi2,2.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,3,2,20250513-plate4-slot3-roi2
20250513_skittles,fish6,roi3,roi3,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi3,korra,korra,korra,20250513,20250513_skittles,fish6,roi3,6.0,fish6,,,roi3,3.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,3,3,20250513-plate4-slot3-roi3
20250513_skittles,fish6,roi4,roi4,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi4,korra,korra,korra,20250513,20250513_skittles,fish6,roi4,6.0,fish6,,,roi4,4.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,3,4,20250513-plate4-slot3-roi4
20250513_skittles,fish7,roi1_ear_brain,roi1_ear_brain,72.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish7/roi1_ear_brain,korra,korra,korra,20250513,20250513_skittles,fish7,roi1_ear_brain,7.0,fish7,,,roi1,1.0,,"['ear', 'brain']",ear|brain,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,4,1,20250513-plate4-slot4-roi1
20250513_skittles,fish7,roi2_brain,roi2_brain,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish7/roi2_brain,korra,korra,korra,20250513,20250513_skittles,fish7,roi2_brain,7.0,fish7,,,roi2,2.0,,['brain'],brain,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,4,2,20250513-plate4-slot4-roi2
