roi_dir,experiment_folder,dataset_slug,date_mount,Date imaged,Data location
/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish2_48hpf_roi4,20251007_mem_histone,20251007_mem_histone,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish2_48hpf_roi5,20251007_mem_histone,20251007_mem_histone,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish3_48hpf_roi1,20251007_mem_histone,20251007_mem_histone,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251009_mem-mito/fish3_48hpf_roi1,20251009_mem-mito,20251009_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251009_mem-mito/fish3_48hpf_roi2,20251009_mem-mito,20251009_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251009_mem-mito/fish3_48hpf_roi3,20251009_mem-mito,20251009_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251009_mem-mito/fish3_48hpf_roi4,20251009_mem-mito,20251009_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251021_mem-mito_v2/fish1_24hpf_roi1,20251021_mem-mito_v2,20251021_mem-mito_v2,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251021_mem-mito_v2/fish2_24hpf_roi1,20251021_mem-mito_v2,20251021_mem-mito_v2,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251021_mem-mito_v2/fish2_24hpf_roi2,20251021_mem-mito_v2,20251021_mem-mito_v2,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251021_mem-mito_v2/fish4_24hpf_roi1,20251021_mem-mito_v2,20251021_mem-mito_v2,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251021_mem-mito_v2/fish4_24hpf_roi2,20251021_mem-mito_v2,20251021_mem-mito_v2,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251021_mem-mito_v2/fish4_24hpf_roi3,20251021_mem-mito_v2,20251021_mem-mito_v2,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251021_mem-mito_v2/fish4_24hpf_roi4,20251021_mem-mito_v2,20251021_mem-mito_v2,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251022_mem-mito/fish1_48hpf_roi1,20251022_mem-mito,20251022_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251022_mem-mito/fish3_48hpf_roi1,20251022_mem-mito,20251022_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251022_mem-mito/fish3_48hpf_roi2,20251022_mem-mito,20251022_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251022_mem-mito/fish4_48hpf_roi1,20251022_mem-mito,20251022_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251023_mem-mito/fish1_24hpf_roi1,20251023_mem-mito,20251023_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251023_mem-mito/fish1_24hpf_roi2,20251023_mem-mito,20251023_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251023_mem-mito/fish3_24hpf_roi1,20251023_mem-mito,20251023_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251028_mem-peroxi2/fish1_24hpf_roi1,20251028_mem-peroxi2,20251028_mem-peroxi2,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251028_mem-peroxi2/fish2_24hpf_roi1,20251028_mem-peroxi2,20251028_mem-peroxi2,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251028_mem-peroxi2/fish4_24hpf_roi1,20251028_mem-peroxi2,20251028_mem-peroxi2,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251028_mem-peroxi2/fish5_24hpf_roi1,20251028_mem-peroxi2,20251028_mem-peroxi2,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251028_mem-peroxi2/fish6_24hpf_roi1,20251028_mem-peroxi2,20251028_mem-peroxi2,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251029_peroxi/fish1_roi1,20251029_peroxi,20251029_peroxi,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-kinectocore/fish1_72hpf_roi1,20251107_mem-kinectocore,20251107_mem-kinectocore,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-mito/fish1_24hpf_roi1,20251107_mem-mito,20251107_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-mito/fish1_24hpf_roi1-2,20251107_mem-mito,20251107_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-mito/fish1_24hpf_roi2,20251107_mem-mito,20251107_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-mito/fish1_24hpf_roi3,20251107_mem-mito,20251107_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-mito/fish2_24hpf_roi3,20251107_mem-mito,20251107_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-mito/fish3_24hpf_roi1,20251107_mem-mito,20251107_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-mito/fish3_24hpf_roi2,20251107_mem-mito,20251107_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-mito/fish4_24hpf_roi1,20251107_mem-mito,20251107_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-mito/fish4_24hpf_roi2,20251107_mem-mito,20251107_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-mito/fish5_24hpf_roi1,20251107_mem-mito,20251107_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-mito/fish5_24hpf_roi2,20251107_mem-mito,20251107_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-mito/fish6_24hpf_roi1,20251107_mem-mito,20251107_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-mito/fish6_24hpf_roi2,20251107_mem-mito,20251107_mem-mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251028_peroxi/roi1_560_10ms,20251028_peroxi,20251028_peroxi,,,
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251028_peroxi/roi1_560_76ms,20251028_peroxi,20251028_peroxi,,,
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_peroxi/fish1_roi1,20251029_peroxi,20251029_peroxi,,,
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_peroxi/fish3_roi1,20251029_peroxi,20251029_peroxi,,,
