date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,experiment_folder,roi_path_date_yyyymmdd,fish_folder,roi_folder,fish_id,fish_number,fish_age_hpf,fish_nickname,fish_raw_norm,roi_anatomy_tokens,roi_anatomy,fish_folder_patched,dataset_slug,dataset_slug_norm,sheet_slug_norm,date_mount_yyyymmdd,date_mount,Date imaged,mount_id,ZF female genotype,ZF male genotype,additional plasmids injected,additional mRNAs injected,additonal proteins injected,additonal dye and chemicals,Date born,Imaged Locations,Unique Targets with blanks,Unique Targets,Data location,link_source,plate_date,mount_id_inferred,mount_id_source,plate_key,plate_id_filled,slot_id_filled,roi_index_within_slot,bruker_roi_id
20250513_skittles,fish15,roi3,roi3,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi3,korra,20250513_skittles,20250513,fish15,roi3,fish15,15.0,,,fish15,[],,fish15,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,2,inferred,20250513::20250513_skittles::2,4,1,3,20250513-plate4-slot1-roi3
20250513_skittles,fish15,roi4,roi4,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi4,korra,20250513_skittles,20250513,fish15,roi4,fish15,15.0,,,fish15,[],,fish15,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,2,inferred,20250513::20250513_skittles::2,4,1,4,20250513-plate4-slot1-roi4
20250513_skittles,fish16,roi1_brain,roi1_brain,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish16/roi1_brain,korra,20250513_skittles,20250513,fish16,roi1_brain,fish16,16.0,,,fish16,['brain'],brain,fish16,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,2,inferred,20250513::20250513_skittles::2,4,2,1,20250513-plate4-slot2-roi1
20250513_skittles,fish2,roi1,roi1,17,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi1,korra,20250513_skittles,20250513,fish2,roi1,fish2,2.0,,,fish2,[],,fish2,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,2,inferred,20250513::20250513_skittles::2,4,3,1,20250513-plate4-slot3-roi1
20250513_skittles,fish2,roi2,roi2,10,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi2,korra,20250513_skittles,20250513,fish2,roi2,fish2,2.0,,,fish2,[],,fish2,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,2,inferred,20250513::20250513_skittles::2,4,3,2,20250513-plate4-slot3-roi2
20250513_skittles,fish3,roi1,roi1,72,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi1,korra,20250513_skittles,20250513,fish3,roi1,fish3,3.0,,,fish3,[],,fish3,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,2,inferred,20250513::20250513_skittles::2,4,4,1,20250513-plate4-slot4-roi1
20250513_skittles,fish3,roi2,roi2,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi2,korra,20250513_skittles,20250513,fish3,roi2,fish3,3.0,,,fish3,[],,fish3,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,2,inferred,20250513::20250513_skittles::2,4,4,2,20250513-plate4-slot4-roi2
20250513_skittles,fish3,roi3,roi3,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi3,korra,20250513_skittles,20250513,fish3,roi3,fish3,3.0,,,fish3,[],,fish3,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,2,inferred,20250513::20250513_skittles::2,4,4,3,20250513-plate4-slot4-roi3
20250513_skittles,fish3,roi4,roi4,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi4,korra,20250513_skittles,20250513,fish3,roi4,fish3,3.0,,,fish3,[],,fish3,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,2,inferred,20250513::20250513_skittles::2,4,4,4,20250513-plate4-slot4-roi4
20250513_skittles,fish4,roi1,roi1,38,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi1,korra,20250513_skittles,20250513,fish4,roi1,fish4,4.0,,,fish4,[],,fish4,20250513_skittles,20250513_skittles,20250513_skittles,20250513,2025-05-13,2025-05-13,,,,,phiC-NLS,,,2025-05-12,"spinal_cord, skin, muscle, tail",,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),sheet,20250513,2,inferred,20250513::20250513_skittles::2,4,5,1,20250513-plate4-slot5-roi1
