clutch_code,legacy_clutch_key,date_born,parent_female_genotype_text,parent_male_genotype_text,treatment_rna_rna_base_code,treatment_plasmid_plasmid_base_code,roi_count,datasets
LCL-0278,20251022-plate2|slot3,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,2,20251022_mem-histone
LCL-0279,20251022-plate2|slot4,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,3,20251022_mem-histone
LCL-0280,20251023-plate1|slot1,,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),MGCO-1,,2,20251023_mem-mito
LCL-0281,20251023-plate1|slot2,,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),MGCO-1,,1,20251023_mem-mito
LCL-0282,20251024-plate1|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,3,20251024_mem-histone
LCL-0283,20251024-plate1|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,5,20251024_mem-histone
LCL-0284,20251027-plate1|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,2,20251027_mem-histone
LCL-0285,20251027-plate1|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,11,20251027_mem-histone
LCL-0286,20251028-plate1|slot1,,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),MGCO-1,,1,20251028_mem-mito
LCL-0287,20251028-plate2|slot1,,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-49,1,20251028_mem-peroxi
LCL-0288,20251028-plate2|slot2,,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-49,2,20251028_mem-peroxi
LCL-0289,20251028-plate2|slot3,,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-49,2,20251028_mem-peroxi
LCL-0290,20251028-plate3|slot1,,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-52,1,20251028_mem-peroxi2
LCL-0291,20251028-plate3|slot2,,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-52,1,20251028_mem-peroxi2
LCL-0292,20251028-plate3|slot3,,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-52,1,20251028_mem-peroxi2
LCL-0293,20251028-plate3|slot4,,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-52,1,20251028_mem-peroxi2
LCL-0294,20251028-plate3|slot5,,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-52,1,20251028_mem-peroxi2
LCL-0295,20251029-plate1|slot1,,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-49,1,20251029_peroxi
LCL-0296,20251029-plate2|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),MGCO-1,,1,20251029_mem-histone
LCL-0297,20251029-plate2|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),MGCO-1,,1,20251029_mem-histone
LCL-0298,20251029-plate2|slot3,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),MGCO-1,,2,20251029_mem-histone
LCL-0299,20251105-plate1|slot1,,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),MGCO-1,,1,20251105_mem-mito
LCL-0300,20251105-plate1|slot2,,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),MGCO-1,,3,20251105_mem-mito
LCL-0301,20251105-plate1|slot3,,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),MGCO-1,,2,20251105_mem-mito
LCL-0302,20251105-plate1|slot4,,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),MGCO-1,,2,20251105_mem-mito
LCL-0303,20251105-plate1|slot5,,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),MGCO-1,,2,20251105_mem-mito
LCL-0304,20251106-plate1|slot1,,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),MGCO-1,,9,20251106_mem-mito
LCL-0305,20251106-plate1|slot2,,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),MGCO-1,,9,20251106_mem-mito
LCL-0306,20251106-plate1|slot3,,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),MGCO-1,,3,20251106_mem-mito
LCL-0307,20251106-plate1|slot4,,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),MGCO-1,,4,20251106_mem-mito
LCL-0308,20251106-plate1|slot5,,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),MGCO-1,,3,20251106_mem-mito
LCL-0309,20251107-plate1|slot1,,,,,,1,20251107_mem-kinectocore
LCL-0310,20251107-plate2|slot1,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-1,4,20251107_mem-mito
LCL-0311,20251107-plate2|slot2,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-1,3,20251107_mem-mito
LCL-0312,20251107-plate2|slot3,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-1,2,20251107_mem-mito
LCL-0313,20251107-plate2|slot4,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-1,2,20251107_mem-mito
LCL-0314,20251107-plate2|slot5,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-1,2,20251107_mem-mito
LCL-0315,20251107-plate2|slot6,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-1,2,20251107_mem-mito
LCL-0316,20251110-plate1|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,2,20251110_mem-histone
LCL-0317,20251110-plate1|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,2,20251110_mem-histone
LCL-0318,20251110-plate1|slot3,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,1,20251110_mem-histone
LCL-0319,20251110-plate1|slot4,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,1,20251110_mem-histone
LCL-0320,20251112-plate1|slot1,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-1,3,20251112_mem-mito
LCL-0321,20251112-plate1|slot2,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-1,4,20251112_mem-mito
LCL-0322,20251112-plate1|slot3,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-1,3,20251112_mem-mito
LCL-0323,20251113-plate1|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,1,20251113_mem-histone
LCL-0324,20251113-plate1|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,1,20251113_mem-histone
LCL-0325,20251117-plate1|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,1,20251117_mem-histone
LCL-0326,20251121-plate1|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,3,20251121_mem-histone
LCL-0327,20251121-plate1|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,1,20251121_mem-histone
LCL-0328,20251124-plate1|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,1,20251124_mem-histone
LCL-0329,20251124-plate1|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,1,20251124_mem-histone
LCL-0330,20251125-plate1|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,6,20251125_mem-histone
LCL-0331,20251126-plate1|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,2,20251126_mem-histone
LCL-0332,20251126-plate1|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,3,20251126_mem-histone
LCL-0333,20251128-plate1|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,2,20251128_mem-histone
LCL-0334,20251128-plate1|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,1,20251128_mem-histone
LCL-0335,20251128-plate1|slot3,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,1,20251128_mem-histone
LCL-0336,20251202-plate1|slot1,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,pDQM141,3,20251202_mem-cytosolic
LCL-0337,20251202-plate1|slot2,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,pDQM141,1,20251202_mem-cytosolic
LCL-0338,20251202-plate1|slot3,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,pDQM141,1,20251202_mem-cytosolic
LCL-0339,20251202-plate1|slot4,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,pDQM141,2,20251202_mem-cytosolic
LCL-0340,20251202-plate1|slot5,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,pDQM141,2,20251202_mem-cytosolic
LCL-0341,20251202-plate1|slot6,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,pDQM141,1,20251202_mem-cytosolic
LCL-0342,20251203-plate1|slot1,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,pDQM141,2,20251203_mem-cytosolic
LCL-0343,20251203-plate1|slot2,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,pDQM141,2,20251203_mem-cytosolic
LCL-0344,20251203-plate1|slot3,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,pDQM141,2,20251203_mem-cytosolic
LCL-0345,20251203-plate1|slot4,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,pDQM141,2,20251203_mem-cytosolic
LCL-0346,20251204-plate1|slot1,,Tg(pDQM155)346 ef1a-extended:DHB:tdmSG-tol2 (cell cycle indicator) (F1 of allele 346),memrane tdmScarlet3S2 (F1 of allele 325),pDQM117,,1,20251204_cdk_sensor_red_mem_red_nuc
LCL-0347,20251204-plate1|slot2,,Tg(pDQM155)346 ef1a-extended:DHB:tdmSG-tol2 (cell cycle indicator) (F1 of allele 346),memrane tdmScarlet3S2 (F1 of allele 325),pDQM117,,1,20251204_cdk_sensor_red_mem_red_nuc
LCL-0348,20251204-plate1|slot3,,Tg(pDQM155)346 ef1a-extended:DHB:tdmSG-tol2 (cell cycle indicator) (F1 of allele 346),memrane tdmScarlet3S2 (F1 of allele 325),pDQM117,,1,20251204_cdk_sensor_red_mem_red_nuc
LCL-0349,20251204-plate2|slot1,,tdmScarlet3S2:H2B-tol2 (F1 of allele 324),ef1a:2xLynk:tdmSG(J) (F1 of allele 302),,,9,20251204_mem_histone
