roi_dir,bruker_roi_id,plate_date,plate_id_filled,slot_id_filled,roi_index_within_slot,dataset_slug,experiment_folder,fish_id,fish_number,fish_age_hpf,roi_anatomy,roi_tiffs,date_experiment,Date imaged,date_mount,genotype_base_codes,genotype_allele_codes,treatment_rna_rna_base_code,treatment_plasmid_plasmid_base_code,genotype_marker_fluor_codes,genotype_marker_tag_codes,genotype_marker_localizations,genotype_marker_fusion_labels,treatment_marker_fluor_codes,treatment_marker_tag_codes,treatment_marker_localizations,treatment_marker_fluor_loc_labels,all_unique_organelles,all_fluor_organelles,link_source,day_plate_num
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi5,20250722-plate2-slot2-roi5,20250722,67.0,2.0,5.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish2,2.0,48.0,,72,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,,,MGCO-01,,,,,,mStayGold,2Xcox8A,mitochondria,mStayGold(mitochondria),mitochondria,mStayGold(mitochondria),sheet,2
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi1,20250722-plate2-slot3-roi1,20250722,67.0,3.0,1.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish3,3.0,48.0,,70,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,,,MGCO-01,,,,,,mStayGold,2Xcox8A,mitochondria,mStayGold(mitochondria),mitochondria,mStayGold(mitochondria),sheet,2
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi2,20250722-plate2-slot3-roi2,20250722,67.0,3.0,2.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish3,3.0,48.0,,70,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,,,MGCO-01,,,,,,mStayGold,2Xcox8A,mitochondria,mStayGold(mitochondria),mitochondria,mStayGold(mitochondria),sheet,2
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi3,20250722-plate2-slot3-roi3,20250722,67.0,3.0,3.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish3,3.0,48.0,,70,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,,,MGCO-01,,,,,,mStayGold,2Xcox8A,mitochondria,mStayGold(mitochondria),mitochondria,mStayGold(mitochondria),sheet,2
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi4,20250722-plate2-slot3-roi4,20250722,67.0,3.0,4.0,20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,fish3,3.0,48.0,,70,20250722_mrna_mito-mSG_mem-mChilada,2025-07-22,2025-07-22,,,MGCO-01,,,,,,mStayGold,2Xcox8A,mitochondria,mStayGold(mitochondria),mitochondria,mStayGold(mitochondria),sheet,2
/clusterfs/vast/abcabc/Aang_Foundation/20250723_er-mSG_mem-mChilada/fish1_24hpf_roi1,20250723-plate2-slot1-roi1,20250723,68.0,1.0,1.0,20250723_er-mSG_mem-mChilada,20250723_er-mSG_mem-mChilada,fish1,1.0,24.0,,390,20250723_er-mSG_mem-mChilada,2025-07-23,2025-07-23,pDQM082,315,MGCO-04|MGCO-01,,tdmChilada,2xLynk,membrane,tdmChilada(membrane),mStayGold,sec61b|2Xcox8A,ER|mitochondria,mStayGold(ER)|mStayGold(mitochondria),"membrane,ER,mitochondria","tdmChilada(membrane),mStayGold(ER),mStayGold(mitochondria)",date_match,2
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi1,20250805-plate1-slot1-roi1,20250805,69.0,1.0,1.0,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,fish1,1.0,48.0,,390,20250805_lifeact_mem-halo,,,,,MGCO-24|MGCO-39,,,,,,Halo,lifeact|2Xcox8A,actin|mitochondria,Halo(actin)|Halo(mitochondria),"actin,mitochondria","Halo(actin),Halo(mitochondria)",unmatched,1
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi2,20250805-plate1-slot1-roi2,20250805,69.0,1.0,2.0,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,fish1,1.0,48.0,,390,20250805_lifeact_mem-halo,,,,,MGCO-24|MGCO-39,,,,,,Halo,lifeact|2Xcox8A,actin|mitochondria,Halo(actin)|Halo(mitochondria),"actin,mitochondria","Halo(actin),Halo(mitochondria)",unmatched,1
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi3,20250805-plate1-slot1-roi3,20250805,69.0,1.0,3.0,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,fish1,1.0,48.0,,390,20250805_lifeact_mem-halo,,,,,MGCO-24|MGCO-39,,,,,,Halo,lifeact|2Xcox8A,actin|mitochondria,Halo(actin)|Halo(mitochondria),"actin,mitochondria","Halo(actin),Halo(mitochondria)",unmatched,1
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi4,20250805-plate1-slot1-roi4,20250805,69.0,1.0,4.0,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,fish1,1.0,48.0,,390,20250805_lifeact_mem-halo,,,,,MGCO-24|MGCO-39,,,,,,Halo,lifeact|2Xcox8A,actin|mitochondria,Halo(actin)|Halo(mitochondria),"actin,mitochondria","Halo(actin),Halo(mitochondria)",unmatched,1
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi5,20250805-plate1-slot1-roi5,20250805,69.0,1.0,5.0,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,fish1,1.0,48.0,,390,20250805_lifeact_mem-halo,,,,,MGCO-24|MGCO-39,,,,,,Halo,lifeact|2Xcox8A,actin|mitochondria,Halo(actin)|Halo(mitochondria),"actin,mitochondria","Halo(actin),Halo(mitochondria)",unmatched,1
/clusterfs/vast/abcabc/Aang_Foundation/20250805_mito_mem-halo/fish1_24hpf_roi1,20250805-plate2-slot1-roi1,20250805,70.0,1.0,1.0,20250805_mito_mem-halo,20250805_mito_mem-halo,fish1,1.0,24.0,,390,20250805_mito_mem-halo,2025-08-05,2025-08-05,,,MGCO-01,,,,,,mStayGold,2Xcox8A,mitochondria,mStayGold(mitochondria),mitochondria,mStayGold(mitochondria),sheet,2
/clusterfs/vast/abcabc/Aang_Foundation/20250805_mito_mem-halo/fish1_24hpf_roi2,20250805-plate2-slot1-roi2,20250805,70.0,1.0,2.0,20250805_mito_mem-halo,20250805_mito_mem-halo,fish1,1.0,24.0,,390,20250805_mito_mem-halo,2025-08-05,2025-08-05,,,MGCO-01,,,,,,mStayGold,2Xcox8A,mitochondria,mStayGold(mitochondria),mitochondria,mStayGold(mitochondria),sheet,2
/clusterfs/vast/abcabc/Aang_Foundation/20250805_mito_mem-halo/fish2_24hpf_roi1,20250805-plate2-slot2-roi1,20250805,70.0,2.0,1.0,20250805_mito_mem-halo,20250805_mito_mem-halo,fish2,2.0,24.0,,390,20250805_mito_mem-halo,2025-08-05,2025-08-05,,,MGCO-01,,,,,,mStayGold,2Xcox8A,mitochondria,mStayGold(mitochondria),mitochondria,mStayGold(mitochondria),sheet,2
/clusterfs/vast/abcabc/Aang_Foundation/20250805_mito_mem-halo/fish2_24hpf_roi2,20250805-plate2-slot2-roi2,20250805,70.0,2.0,2.0,20250805_mito_mem-halo,20250805_mito_mem-halo,fish2,2.0,24.0,,390,20250805_mito_mem-halo,2025-08-05,2025-08-05,,,MGCO-01,,,,,,mStayGold,2Xcox8A,mitochondria,mStayGold(mitochondria),mitochondria,mStayGold(mitochondria),sheet,2
/clusterfs/vast/abcabc/Aang_Foundation/20250805_mito_mem-halo/fish2_24hpf_roi3,20250805-plate2-slot2-roi3,20250805,70.0,2.0,3.0,20250805_mito_mem-halo,20250805_mito_mem-halo,fish2,2.0,24.0,,390,20250805_mito_mem-halo,2025-08-05,2025-08-05,,,MGCO-01,,,,,,mStayGold,2Xcox8A,mitochondria,mStayGold(mitochondria),mitochondria,mStayGold(mitochondria),sheet,2
/clusterfs/vast/abcabc/Aang_Foundation/20250805_mito_mem-halo/fish3_24hpf_roi1,20250805-plate2-slot3-roi1,20250805,70.0,3.0,1.0,20250805_mito_mem-halo,20250805_mito_mem-halo,fish3,3.0,24.0,,390,20250805_mito_mem-halo,2025-08-05,2025-08-05,,,MGCO-01,,,,,,mStayGold,2Xcox8A,mitochondria,mStayGold(mitochondria),mitochondria,mStayGold(mitochondria),sheet,2
