date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,roi_path_date_yyyymmdd,experiment_folder,fish_folder,roi_folder,fish_number,fish_id,fish_age_token,fish_age_hpf,roi_index_token,roi_index,fish_nickname,roi_anatomy_tokens,roi_anatomy,dataset_slug,imaging_date_from_sheet,date_mount,Date imaged,Data location,ZF female genotype,ZF male genotype,link_source,plate_date,mount_id_inferred,mount_id_source,plate_key,plate_id_filled,slot_id_filled,roi_index_within_slot,bruker_roi_id,parent_female_name,parent_male_name,parent_female_norm,parent_male_norm,female_parent_name_norm,female_plasmid_base_code,female_allele,female_injected_rna,female_injected_plasmid,male_parent_name_norm,male_plasmid_base_code,male_allele,male_injected_rna,male_injected_plasmid,genotype_base_codes,genotype_allele_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,genotype_marker_fluor_codes,genotype_marker_tag_codes,genotype_marker_localizations,genotype_marker_fusion_labels,all_unique_organelles,all_fluor_organelles,data_location_norm,treatment_plasmid_names_sheet,treatment_rna_names_sheet,treatment_protein_names_sheet,treatment_dye_names_sheet,treatment_rna_names_norm,treatment_plasmid_names_norm,treatment_marker_fluor_codes_x,treatment_marker_tag_codes_x,treatment_marker_localizations_x,treatment_marker_fusion_labels_x,treatment_fluor_organelles_x,treatment_marker_fluor_codes_y,treatment_marker_tag_codes_y,treatment_marker_localizations_y,treatment_marker_fusion_labels_y,treatment_fluor_organelles_y
20250513_skittles,fish1,roi1,roi1,42,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi1,korra,20250513,20250513_skittles,fish1,roi1,1.0,fish1,,,roi1,1.0,,[],,20250513_skittles,20250513,2025-05-13,2025-05-13,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,1,1,20250513-plate3-slot1-roi1,,,,,,,,,,,,,,,,,,,,,,,,,X:/abcabc/Korra_Foundation/20250513_skittles(fish1-3),,phiC-NLS,,,phiC-NLS,,,,,,,,,,,
20250513_skittles,fish1,roi2,roi2,38,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2,korra,20250513,20250513_skittles,fish1,roi2,1.0,fish1,,,roi2,2.0,,[],,20250513_skittles,20250513,2025-05-13,2025-05-13,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,1,2,20250513-plate3-slot1-roi2,,,,,,,,,,,,,,,,,,,,,,,,,X:/abcabc/Korra_Foundation/20250513_skittles(fish1-3),,phiC-NLS,,,phiC-NLS,,,,,,,,,,,
20250513_skittles,fish1,roi2_2,roi2_2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2_2,korra,20250513,20250513_skittles,fish1,roi2_2,1.0,fish1,,,roi2,2.0,,[],,20250513_skittles,20250513,2025-05-13,2025-05-13,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,1,3,20250513-plate3-slot1-roi3,,,,,,,,,,,,,,,,,,,,,,,,,X:/abcabc/Korra_Foundation/20250513_skittles(fish1-3),,phiC-NLS,,,phiC-NLS,,,,,,,,,,,
20250513_skittles,fish10,roi1,roi1,240,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish10/roi1,korra,20250513,20250513_skittles,fish10,roi1,10.0,fish10,,,roi1,1.0,,[],,20250513_skittles,20250513,2025-05-13,2025-05-13,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,2,1,20250513-plate3-slot2-roi1,,,,,,,,,,,,,,,,,,,,,,,,,X:/abcabc/Korra_Foundation/20250513_skittles(fish1-3),,phiC-NLS,,,phiC-NLS,,,,,,,,,,,
20250513_skittles,fish11,roi1,roi1,240,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1,korra,20250513,20250513_skittles,fish11,roi1,11.0,fish11,,,roi1,1.0,,[],,20250513_skittles,20250513,2025-05-13,2025-05-13,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,3,1,20250513-plate3-slot3-roi1,,,,,,,,,,,,,,,,,,,,,,,,,X:/abcabc/Korra_Foundation/20250513_skittles(fish1-3),,phiC-NLS,,,phiC-NLS,,,,,,,,,,,
20250513_skittles,fish11,roi1_test,roi1_test,4,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1_test,korra,20250513,20250513_skittles,fish11,roi1_test,11.0,fish11,,,roi1,1.0,,['test'],test,20250513_skittles,20250513,2025-05-13,2025-05-13,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,3,2,20250513-plate3-slot3-roi2,,,,,,,,,,,,,,,,,,,,,,,,,X:/abcabc/Korra_Foundation/20250513_skittles(fish1-3),,phiC-NLS,,,phiC-NLS,,,,,,,,,,,
20250513_skittles,fish12,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi1,korra,20250513,20250513_skittles,fish12,roi1,12.0,fish12,,,roi1,1.0,,[],,20250513_skittles,20250513,2025-05-13,2025-05-13,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,4,1,20250513-plate3-slot4-roi1,,,,,,,,,,,,,,,,,,,,,,,,,X:/abcabc/Korra_Foundation/20250513_skittles(fish1-3),,phiC-NLS,,,phiC-NLS,,,,,,,,,,,
20250513_skittles,fish12,roi2,roi2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi2,korra,20250513,20250513_skittles,fish12,roi2,12.0,fish12,,,roi2,2.0,,[],,20250513_skittles,20250513,2025-05-13,2025-05-13,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,4,2,20250513-plate3-slot4-roi2,,,,,,,,,,,,,,,,,,,,,,,,,X:/abcabc/Korra_Foundation/20250513_skittles(fish1-3),,phiC-NLS,,,phiC-NLS,,,,,,,,,,,
20250513_skittles,fish12,roi3,roi3,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi3,korra,20250513,20250513_skittles,fish12,roi3,12.0,fish12,,,roi3,3.0,,[],,20250513_skittles,20250513,2025-05-13,2025-05-13,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,4,3,20250513-plate3-slot4-roi3,,,,,,,,,,,,,,,,,,,,,,,,,X:/abcabc/Korra_Foundation/20250513_skittles(fish1-3),,phiC-NLS,,,phiC-NLS,,,,,,,,,,,
20250513_skittles,fish13,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi1,korra,20250513,20250513_skittles,fish13,roi1,13.0,fish13,,,roi1,1.0,,[],,20250513_skittles,20250513,2025-05-13,2025-05-13,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,5,1,20250513-plate3-slot5-roi1,,,,,,,,,,,,,,,,,,,,,,,,,X:/abcabc/Korra_Foundation/20250513_skittles(fish1-3),,phiC-NLS,,,phiC-NLS,,,,,,,,,,,
20250513_skittles,fish13,roi2,roi2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi2,korra,20250513,20250513_skittles,fish13,roi2,13.0,fish13,,,roi2,2.0,,[],,20250513_skittles,20250513,2025-05-13,2025-05-13,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,5,2,20250513-plate3-slot5-roi2,,,,,,,,,,,,,,,,,,,,,,,,,X:/abcabc/Korra_Foundation/20250513_skittles(fish1-3),,phiC-NLS,,,phiC-NLS,,,,,,,,,,,
20250513_skittles,fish13,roi3,roi3,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi3,korra,20250513,20250513_skittles,fish13,roi3,13.0,fish13,,,roi3,3.0,,[],,20250513_skittles,20250513,2025-05-13,2025-05-13,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,5,3,20250513-plate3-slot5-roi3,,,,,,,,,,,,,,,,,,,,,,,,,X:/abcabc/Korra_Foundation/20250513_skittles(fish1-3),,phiC-NLS,,,phiC-NLS,,,,,,,,,,,
20250513_skittles,fish13,roi4,roi4,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi4,korra,20250513,20250513_skittles,fish13,roi4,13.0,fish13,,,roi4,4.0,,[],,20250513_skittles,20250513,2025-05-13,2025-05-13,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,5,4,20250513-plate3-slot5-roi4,,,,,,,,,,,,,,,,,,,,,,,,,X:/abcabc/Korra_Foundation/20250513_skittles(fish1-3),,phiC-NLS,,,phiC-NLS,,,,,,,,,,,
20250513_skittles,fish14,roi1_brain,roi1_brain,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi1_brain,korra,20250513,20250513_skittles,fish14,roi1_brain,14.0,fish14,,,roi1,1.0,,['brain'],brain,20250513_skittles,20250513,2025-05-13,2025-05-13,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,6,1,20250513-plate3-slot6-roi1,,,,,,,,,,,,,,,,,,,,,,,,,X:/abcabc/Korra_Foundation/20250513_skittles(fish1-3),,phiC-NLS,,,phiC-NLS,,,,,,,,,,,
20250513_skittles,fish14,roi2_tailbud,roi2_tailbud,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi2_tailbud,korra,20250513,20250513_skittles,fish14,roi2_tailbud,14.0,fish14,,,roi2,2.0,,['tailbud'],tailbud,20250513_skittles,20250513,2025-05-13,2025-05-13,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,sheet,20250513,1,inferred,20250513::20250513_skittles::1,3,6,2,20250513-plate3-slot6-roi2,,,,,,,,,,,,,,,,,,,,,,,,,X:/abcabc/Korra_Foundation/20250513_skittles(fish1-3),,phiC-NLS,,,phiC-NLS,,,,,,,,,,,
20250513_skittles,fish15,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi1,korra,20250513,20250513_skittles,fish15,roi1,15.0,fish15,,,roi1,1.0,,[],,20250513_skittles,20250513,2025-05-13,2025-05-13,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,sheet,20250513,2,inferred,20250513::20250513_skittles::2,4,1,1,20250513-plate4-slot1-roi1,,,,,,,,,,,,,,,,,,,,,,,,,X:/abcabc/Korra_Foundation/20250513_skittles(fish1-3),,phiC-NLS,,,phiC-NLS,,,,,,,,,,,
20250513_skittles,fish15,roi2,roi2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi2,korra,20250513,20250513_skittles,fish15,roi2,15.0,fish15,,,roi2,2.0,,[],,20250513_skittles,20250513,2025-05-13,2025-05-13,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,sheet,20250513,2,inferred,20250513::20250513_skittles::2,4,1,2,20250513-plate4-slot1-roi2,,,,,,,,,,,,,,,,,,,,,,,,,X:/abcabc/Korra_Foundation/20250513_skittles(fish1-3),,phiC-NLS,,,phiC-NLS,,,,,,,,,,,
20250513_skittles,fish15,roi3,roi3,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi3,korra,20250513,20250513_skittles,fish15,roi3,15.0,fish15,,,roi3,3.0,,[],,20250513_skittles,20250513,2025-05-13,2025-05-13,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,sheet,20250513,2,inferred,20250513::20250513_skittles::2,4,1,3,20250513-plate4-slot1-roi3,,,,,,,,,,,,,,,,,,,,,,,,,X:/abcabc/Korra_Foundation/20250513_skittles(fish1-3),,phiC-NLS,,,phiC-NLS,,,,,,,,,,,
