legacy_pair_id,dataset,zf_female_genotype,zf_male_genotype,pair_code,created_at
93b05823-1c0d-484a-9b06-bd34a859c53e,korra,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),LEGACY:korra:casper/rnfxef1a:2xLynk:tdmSG(J)_(F2_of_alle,2025-11-15 03:08:31.328432+00
190dcab1-5ce7-4832-9997-2d3145571722,korra,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),LEGACY:korra:casperxef1a:2xLynk:tdmChilada_(F1_of_al,2025-11-15 03:08:31.328432+00
81933a40-5a3c-455f-8df3-8f2cccaf67e5,korra,casper,memrane tdmScarlet3S2 (F1 of allele 325),LEGACY:korra:casperxmemrane_tdmScarlet3S2_(F1_of_all,2025-11-15 03:08:31.328432+00
4fd0f90e-cc6d-4975-8fac-877e84047e82,korra,Dennis (F2 of allele 318),Abe (F2 of allele 309),LEGACY:korra:Dennis_(F2_of_allele_318)xAbe_(F2_of_allele_309),2025-11-15 03:08:31.328432+00
b754a1dc-9cd4-4078-88f1-79d2c1276405,korra,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),ef1a:2xLynk:tdmSG(J) (F1 of allele 304),LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allexef1a:2xLynk:tdmSG(J)_(F1_of_alle,2025-11-15 03:08:31.328432+00
fdfbdd9d-f724-4cd3-a659-42b94a1b0577,korra,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al,2025-11-15 03:08:31.328432+00
bcc7dcd1-2dc1-43dc-8942-d9ba1067a487,korra,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al,2025-11-15 03:08:31.328432+00
3917aed2-f257-45d4-a287-f1e44e953efd,korra,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle,2025-11-15 03:08:31.328432+00
736e6a61-5c78-4c67-9546-f799ce548ec7,korra,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle,2025-11-15 03:08:31.328432+00
069af4a2-47a4-4f77-b395-012410322af2,korra,Jim (F2 of allele 316),Ben (F2 of allele 310),LEGACY:korra:Jim_(F2_of_allele_316)xBen_(F2_of_allele_310),2025-11-15 03:08:31.328432+00
7c1e745a-08c8-4d71-859a-25013d6f5636,korra,Jim (F2 of allele 316),Dennis (F2 of allele 318),LEGACY:korra:Jim_(F2_of_allele_316)xDennis_(F2_of_allele_318),2025-11-15 03:08:31.328432+00
7d535825-55ab-4786-8c7d-38a592d5f6a7,korra,Ken (F2 of allele 320),Isaac (F2 of allele 314),LEGACY:korra:Ken_(F2_of_allele_320)xIsaac_(F2_of_allele_314),2025-11-15 03:08:31.328432+00
63fe6616-f7ad-48e6-863d-33510afd9be8,korra,Liam (F2 of allele 321),Chris (F1 of allele 317),LEGACY:korra:Liam_(F2_of_allele_321)xChris_(F1_of_allele_317),2025-11-15 03:08:31.328432+00
34dab0e2-51c4-476a-af5f-023e61ad13b7,korra,membrane Halo,membrane Halo,LEGACY:korra:membrane_Haloxmembrane_Halo,2025-11-15 03:08:31.328432+00
bf3287af-a9a1-437d-8646-8f7abd532e1d,korra,membrane mChilada,membrane mChilada,LEGACY:korra:membrane_mChiladaxmembrane_mChilada,2025-11-15 03:08:31.328432+00
8c15816f-0a64-4bf9-909c-7306330a969c,korra,NaN,NaN,LEGACY:korra:NaNxNaN,2025-11-15 03:08:31.328432+00
