legacy_clutch_id,legacy_pair_id,dataset,date_mount,clutch_code,created_at
c478277f-0a33-46dc-8d58-85bbe20a0e78,72a4146d-555f-4764-947b-e51fc891d513,aang,10/17/25,LEGACY:aang:casper/rnfxcasper/rnf:clutch:10/17/25,2025-11-15 03:08:31.328432+00
c7de8285-e915-42ea-bb48-8e7937061daf,55b0933f-4d71-42f1-adfd-08f070a05478,aang,8/6/25,LEGACY:aang:membrane_Haloxmembrane_Halo:clutch:8/6/25,2025-11-15 03:08:31.328432+00
c8e42746-1f5d-466a-80e3-311eac27c3f5,085520c2-fe20-498c-9d12-9ec18a641001,aang,7/22/25,LEGACY:aang:membrane_mChiladaxmembrane_mChilada:clutch:7/22/25,2025-11-15 03:08:31.328432+00
cb9f0dd9-cf65-4efb-8ffb-a48c0b7ca3e1,736e6a61-5c78-4c67-9546-f799ce548ec7,korra,6/9/25,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle:clutch:6/9/25,2025-11-15 03:08:31.328432+00
cf258600-a4c8-4697-a918-d20dcf4651d3,bcc7dcd1-2dc1-43dc-8942-d9ba1067a487,korra,11/10/25,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:11/10/25,2025-11-15 03:08:31.328432+00
cfdde52a-ee6c-455e-86bb-f42d5114a4b4,39e60041-6ce1-45f4-a52e-a55f1828b20f,korra,10/17/25,LEGACY:korra:casper/rnfxcasper/rnf:clutch:10/17/25,2025-11-15 03:08:31.328432+00
d1dbe748-43c2-42ab-a9d7-abb8ff40beca,fdfbdd9d-f724-4cd3-a659-42b94a1b0577,korra,10/16/25,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/16/25,2025-11-15 03:08:31.328432+00
d2baf1b0-2966-4348-844c-5d174202b3f3,63fe6616-f7ad-48e6-863d-33510afd9be8,korra,6/24/25,LEGACY:korra:Liam_(F2_of_allele_321)xChris_(F1_of_allele_317):clutch:6/24/25,2025-11-15 03:08:31.328432+00
d500e0b5-7d8d-4444-91e3-30deaa475e58,a4d495b0-bd80-40b1-8df6-e2423a6e8b42,aang,9/26/25,LEGACY:aang:casper/rnfxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:9/26/25,2025-11-15 03:08:31.328432+00
d524bbd1-45ac-4148-a62d-d748a4d641ca,4fd0f90e-cc6d-4975-8fac-877e84047e82,korra,5/21/25,LEGACY:korra:Dennis_(F2_of_allele_318)xAbe_(F2_of_allele_309):clutch:5/21/25,2025-11-15 03:08:31.328432+00
d5aeeef4-4c2d-4cdb-a643-c857c94d9706,34dab0e2-51c4-476a-af5f-023e61ad13b7,korra,7/23/25,LEGACY:korra:membrane_Haloxmembrane_Halo:clutch:7/23/25,2025-11-15 03:08:31.328432+00
