roi_path	n_tiffs
/clusterfs/vast/abcabc/Aang_Foundation/20250819_mem_mito/fish6_48hpf_roi4	1044
/clusterfs/vast/abcabc/Aang_Foundation/20250819_mem_mito/fish6_48hpf_roi5	1044
/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish1_24hpf_roi1	1747
/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish1_24hpf_roi2	1740
/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish2_24hpf_roi1	1044
/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish2_24hpf_roi2	1044
/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish3_24hpf_roi1	1740
/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish3_24hpf_roi2	1740
/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish4_24hpf_roi1	1740
/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish4_24hpf_roi2	1740
/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish5_24hpf_roi1	13
/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish6_24hpf_roi1	1740
/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish6_24hpf_roi2	1711
/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish7_48hpf_roi1	1740
/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish7_48hpf_roi2	1740
/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish8_48hpf_roi1	1740
/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish8_48hpf_roi2	1740
/clusterfs/vast/abcabc/Aang_Foundation/20250821_mem_mito/fish8_48hpf_roi3	1500
/clusterfs/vast/abcabc/Aang_Foundation/20250826_mem_actin/fish1_24hpf_roi1	2250
/clusterfs/vast/abcabc/Aang_Foundation/20250826_mem_actin/fish1_24hpf_roi2	1392
/clusterfs/vast/abcabc/Aang_Foundation/20250826_mem_actin/fish2_24hpf_roi1	1008
/clusterfs/vast/abcabc/Aang_Foundation/20250826_mem_actin/fish3_24hpf_roi1	1008
/clusterfs/vast/abcabc/Aang_Foundation/20250826_mem_actin/fish3_24hpf_roi2	1010
/clusterfs/vast/abcabc/Aang_Foundation/20250826_mem_actin/fish5_24hpf_roi1	1008
/clusterfs/vast/abcabc/Aang_Foundation/20250826_mem_actin/fish5_24hpf_roi2	1008
/clusterfs/vast/abcabc/Aang_Foundation/20250826_mem_actin/fish6_24hpf_roi1	1008
/clusterfs/vast/abcabc/Aang_Foundation/20250827_mem_actin/fish3_48hpf_roi1	504
/clusterfs/vast/abcabc/Aang_Foundation/20250827_mem_actin/fish3_48hpf_roi2	504
/clusterfs/vast/abcabc/Aang_Foundation/20250827_mem_actin/fish5_48hpf_roi1	168
/clusterfs/vast/abcabc/Aang_Foundation/20250827_mem_actin/fish5_48hpf_roi2	168
/clusterfs/vast/abcabc/Aang_Foundation/20250827_mem_actin/fish5_48hpf_roi3	168
/clusterfs/vast/abcabc/Aang_Foundation/20250828_mem_actin/fish1_24hpf_roi1	344
/clusterfs/vast/abcabc/Aang_Foundation/20250828_mem_actin/fish1_24hpf_roi1-2	1620
/clusterfs/vast/abcabc/Aang_Foundation/20250828_mem_actin/fish1_24hpf_roi2	720
/clusterfs/vast/abcabc/Aang_Foundation/20250828_mem_actin/fish1_24hpf_roi3	720
/clusterfs/vast/abcabc/Aang_Foundation/20250828_mem_actin/fish2_24hpf_roi1	2117
/clusterfs/vast/abcabc/Aang_Foundation/20250828_mem_actin/fish2_24hpf_roi2	2062
/clusterfs/vast/abcabc/Aang_Foundation/20250828_mem_actin/fish2_24hpf_roi2-2	2160
/clusterfs/vast/abcabc/Aang_Foundation/20250828_mem_actin/fish4_24hpf_roi1	2160
/clusterfs/vast/abcabc/Aang_Foundation/20250828_mem_actin/fish4_24hpf_roi2	2160
/clusterfs/vast/abcabc/Aang_Foundation/20250828_mem_actin/fish5_24hpf_roi1	720
/clusterfs/vast/abcabc/Aang_Foundation/20250828_mem_actin/fish5_24hpf_roi2	720
/clusterfs/vast/abcabc/Aang_Foundation/20250828_mem_actin/fish5_24hpf_roi3	720
/clusterfs/vast/abcabc/Aang_Foundation/20250828_mem_actin/fish6_24hpf_roi1	2160
/clusterfs/vast/abcabc/Aang_Foundation/20250828_mem_actin/fish6_24hpf_roi2	2160
/clusterfs/vast/abcabc/Aang_Foundation/20250903_lifeact-mSG/fish1_24hpf_roi1	464
/clusterfs/vast/abcabc/Aang_Foundation/20250903_lifeact-mSG/fish1_24hpf_roi2	720
/clusterfs/vast/abcabc/Aang_Foundation/20250903_lifeact-mSG/fish1_24hpf_roi3	146
/clusterfs/vast/abcabc/Aang_Foundation/20250903_lifeact-mSG/fish1_24hpf_roi3_2	1504
/clusterfs/vast/abcabc/Aang_Foundation/20250903_lifeact-mSG/fish2_24hpf_roi1	720
/clusterfs/vast/abcabc/Aang_Foundation/20250903_lifeact-mSG/fish2_24hpf_roi2	720
/clusterfs/vast/abcabc/Aang_Foundation/20250904_lifeact-mSG/fish1_24hpf_roi1	784
/clusterfs/vast/abcabc/Aang_Foundation/20250904_lifeact-mSG/fish1_24hpf_roi2	100
/clusterfs/vast/abcabc/Aang_Foundation/20250904_lifeact-mSG/fish1_24hpf_roi3	720
/clusterfs/vast/abcabc/Aang_Foundation/20250904_lifeact-mSG/fish1_24hpf_roi4	720
/clusterfs/vast/abcabc/Aang_Foundation/20250904_lifeact-mSG/fish1_24hpf_roi5	720
/clusterfs/vast/abcabc/Aang_Foundation/20250905_lifeact-mSG/fish2_72hpf_roi1	730
/clusterfs/vast/abcabc/Aang_Foundation/20250905_lifeact-mSG/fish2_72hpf_roi2	321
/clusterfs/vast/abcabc/Aang_Foundation/20250905_lifeact-mSG/fish2_72hpf_roi3	1008
/clusterfs/vast/abcabc/Aang_Foundation/20250905_lifeact-mSG/fish2_72hpf_roi4	1008
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish1_24hpf_roi1	547
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish1_24hpf_roi2	1332
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish1_24hpf_roi3	522
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish1_24hpf_roi4	522
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish2_24hpf_roi1	522
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish2_24hpf_roi2	348
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish2_24hpf_roi3	52
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish2_72hpf_roi1	2342
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish2_72hpf_roi2	1392
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish2_72hpf_roi3	1392
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish2_72hpf_roi4	1392
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish2_72hpf_roi5	1392
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish4_24hpf_roi1	348
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish4_24hpf_roi2	348
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish4_24hpf_roi3	348
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish5_24hpf_roi1	348
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish5_24hpf_roi2	348
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish5_24hpf_roi3	348
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish5_24hpf_roi4	348
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish6_24hpf_roi1	348
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish6_24hpf_roi2	348
/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish6_24hpf_roi3	348
/clusterfs/vast/abcabc/Aang_Foundation/20250911_mem-mito/fish1_48hpf_roi1	464
/clusterfs/vast/abcabc/Aang_Foundation/20250911_mem-mito/fish1_48hpf_roi2	464
/clusterfs/vast/abcabc/Aang_Foundation/20250911_mem-mito/fish1_48hpf_roi3	464
/clusterfs/vast/abcabc/Aang_Foundation/20250911_mem-mito/fish1_48hpf_roi4	464
/clusterfs/vast/abcabc/Aang_Foundation/20250911_mem-mito/fish1_48hpf_roi5	464
/clusterfs/vast/abcabc/Aang_Foundation/20250911_mem-mito/fish2_48hpf_roi1	464
/clusterfs/vast/abcabc/Aang_Foundation/20250911_mem-mito/fish2_48hpf_roi2	464
/clusterfs/vast/abcabc/Aang_Foundation/20250911_mem-mito/fish2_48hpf_roi3	464
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish1_72hpf_roi1	464
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish1_72hpf_roi2	248
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish1_72hpf_roi3	410
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish1_72hpf_roi4	410
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish2_72hpf_roi1	410
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish2_72hpf_roi2	248
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish2_72hpf_roi3	464
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish2_72hpf_roi4	410
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi1	464
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi10	356
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi11	464
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi12	464
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi2	410
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi3	464
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi4	464
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi5	464
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi6	464
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi7	464
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi8	464
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi9	410
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish4_72hpf_roi1	464
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish4_72hpf_roi2	356
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish4_72hpf_roi3	248
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish4_72hpf_roi4	248
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish4_72hpf_roi5	356
/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish4_72hpf_roi6	410
/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish1_72hpf_roi1	302
/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish1_72hpf_roi2	302
/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish1_72hpf_roi3	248
/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish1_72hpf_roi4	410
/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish1_72hpf_roi5	248
/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish2_72hpf_roi1	410
/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish2_72hpf_roi2	302
/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish2_72hpf_roi3	264
/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi1	302
/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi2	464
/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi3	356
/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi4	464
/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi5	302
/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi6	464
/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi7	248
/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish5_72hpf_roi1	285
/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish5_72hpf_roi2	356
/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish5_72hpf_roi3	410
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish1_48hpf_roi1	359
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish1_48hpf_roi2	252
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish2_48hpf_roi1	356
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish2_48hpf_roi2	302
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish3_48hpf_roi1	464
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish3_48hpf_roi2	464
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish3_48hpf_roi3	410
